question,answer,transition,concept,top,dis,dir
Is Golborne and Lowton West north of Wednesfield South?,Yes,no_change,1,0,0,1
Is Golborne and Lowton West south of Wednesfield South?,No,replace_dir_token,1,0,0,1
Is Wharfedale north of Balderstone and Kirkholt?,Yes,no_change,1,0,0,1
Is Balderstone and Kirkholt north of Wharfedale?,No,flip_place,1,0,0,1
Is Tynemouth north of Cleadon and East Boldon?,Yes,no_change,1,0,0,1
Is Cleadon and East Boldon north of Tynemouth?,No,flip_place,1,0,0,1
Is Parklands north of Molyneux?,Yes,no_change,1,0,0,1
Is Parklands south of Molyneux?,No,replace_dir_token,1,0,0,1
Is Birtley north of South Elmsall and South Kirkby?,Yes,no_change,1,0,0,1
Is Birtley south of South Elmsall and South Kirkby?,No,replace_dir_token,1,0,0,1
Is Chapel Allerton north of Brinnington and Central?,Yes,no_change,1,0,0,1
Is Brinnington and Central north of Chapel Allerton?,No,flip_place,1,0,0,1
Is Pelaw and Heworth north of Crosland Moor and Netherton?,Yes,no_change,1,0,0,1
Is Crosland Moor and Netherton north of Pelaw and Heworth?,No,flip_place,1,0,0,1
Is Town north of St. Peter's?,Yes,no_change,1,0,0,1
Is St. Peter's north of Town?,No,flip_place,1,0,0,1
Is High Fell north of Davyhulme East?,Yes,no_change,1,0,0,1
Is High Fell south of Davyhulme East?,No,replace_dir_token,1,0,0,1
Is Dewsbury West north of Streetly?,Yes,no_change,1,0,0,1
Is Streetly north of Dewsbury West?,No,flip_place,1,0,0,1
Is Greenhead north of Upper Stoke?,Yes,no_change,1,0,0,1
Is Upper Stoke north of Greenhead?,No,flip_place,1,0,0,1
Is Davyhulme West north of Bournville?,Yes,no_change,1,0,0,1
Is Bournville north of Davyhulme West?,No,flip_place,1,0,0,1
Is St. Michael's north of Rastrick?,Yes,no_change,1,0,0,1
Is St. Michael's south of Rastrick?,No,replace_dir_token,1,0,0,1
Is St. Chad's north of Halliwell?,Yes,no_change,1,0,0,1
Is Halliwell north of St. Chad's?,No,flip_place,1,0,0,1
Is Wallsend north of East Ecclesfield?,Yes,no_change,1,0,0,1
Is East Ecclesfield north of Wallsend?,No,flip_place,1,0,0,1
Is Heatons North north of Kingstanding?,Yes,no_change,1,0,0,1
Is Heatons North south of Kingstanding?,No,replace_dir_token,1,0,0,1
Is Low Fell north of Headingley?,Yes,no_change,1,0,0,1
Is Low Fell south of Headingley?,No,replace_dir_token,1,0,0,1
Is St. Chad's north of Ossett?,Yes,no_change,1,0,0,1
Is St. Chad's south of Ossett?,No,replace_dir_token,1,0,0,1
Is Charlestown north of Sutton Four Oaks?,Yes,no_change,1,0,0,1
Is Sutton Four Oaks north of Charlestown?,No,flip_place,1,0,0,1
Is Handsworth Wood north of Smethwick?,Yes,no_change,1,0,0,1
Is Handsworth Wood south of Smethwick?,No,replace_dir_token,1,0,0,1
Is Harton north of Quinton?,Yes,no_change,1,0,0,1
Is Quinton north of Harton?,No,flip_place,1,0,0,1
Is Burmantofts and Richmond Hill north of Wakefield South?,Yes,no_change,1,0,0,1
Is Wakefield South north of Burmantofts and Richmond Hill?,No,flip_place,1,0,0,1
Is Wakefield East north of Newton?,Yes,no_change,1,0,0,1
Is Newton north of Wakefield East?,No,flip_place,1,0,0,1
Is Batley West north of Great Barr with Yew Tree?,Yes,no_change,1,0,0,1
Is Great Barr with Yew Tree north of Batley West?,No,flip_place,1,0,0,1
Is Preston north of Town?,Yes,no_change,1,0,0,1
Is Town north of Preston?,No,flip_place,1,0,0,1
Is Pendlebury north of Nechells?,Yes,no_change,1,0,0,1
Is Pendlebury south of Nechells?,No,replace_dir_token,1,0,0,1
Is Hendon north of Sharston?,Yes,no_change,1,0,0,1
Is Sharston north of Hendon?,No,flip_place,1,0,0,1
Is Boothstown and Ellenbrook north of Bordesley Green?,Yes,no_change,1,0,0,1
Is Bordesley Green north of Boothstown and Ellenbrook?,No,flip_place,1,0,0,1
Is Bingley north of Castle and Priory?,Yes,no_change,1,0,0,1
Is Castle and Priory north of Bingley?,No,flip_place,1,0,0,1
Is Dunston Hill and Whickham East north of Milkstone and Deeplish?,Yes,no_change,1,0,0,1
Is Dunston Hill and Whickham East south of Milkstone and Deeplish?,No,replace_dir_token,1,0,0,1
Is Washington West north of Wickersley?,Yes,no_change,1,0,0,1
Is Washington West south of Wickersley?,No,replace_dir_token,1,0,0,1
Is Richmond south of Rastrick?,Yes,no_change,1,0,0,1
Is Rastrick south of Richmond?,No,flip_place,1,0,0,1
Is Norwood south of Whickham North?,Yes,no_change,1,0,0,1
Is Norwood north of Whickham North?,No,replace_dir_token,1,0,0,1
Is Shirley East south of East Park?,Yes,no_change,1,0,0,1
Is Shirley East north of East Park?,No,replace_dir_token,1,0,0,1
Is Whoberley south of East Ecclesfield?,Yes,no_change,1,0,0,1
Is Whoberley north of East Ecclesfield?,No,replace_dir_token,1,0,0,1
Is Altrincham south of Ryburn?,Yes,no_change,1,0,0,1
Is Ryburn south of Altrincham?,No,flip_place,1,0,0,1
Is Sedgley south of Little Horton?,Yes,no_change,1,0,0,1
Is Little Horton south of Sedgley?,No,flip_place,1,0,0,1
Is Acocks Green south of Wednesfield South?,Yes,no_change,1,0,0,1
Is Wednesfield South south of Acocks Green?,No,flip_place,1,0,0,1
Is Lower Stoke south of Wigan Central?,Yes,no_change,1,0,0,1
Is Wigan Central south of Lower Stoke?,No,flip_place,1,0,0,1
Is Hall Green south of Central?,Yes,no_change,1,0,0,1
Is Hall Green north of Central?,No,replace_dir_token,1,0,0,1
Is Guiseley and Rawdon south of Whickham South and Sunniside?,Yes,no_change,1,0,0,1
Is Whickham South and Sunniside south of Guiseley and Rawdon?,No,flip_place,1,0,0,1
Is Tipton Green south of Tickhill & Wadsworth?,Yes,no_change,1,0,0,1
Is Tipton Green north of Tickhill & Wadsworth?,No,replace_dir_token,1,0,0,1
Is Sherbourne Warwickshire south of East Gosforth?,Yes,no_change,1,0,0,1
Is Sherbourne Warwickshire north of East Gosforth?,No,replace_dir_token,1,0,0,1
Is Silverwood south of Chowdene?,Yes,no_change,1,0,0,1
Is Silverwood north of Chowdene?,No,replace_dir_token,1,0,0,1
Is Cheylesmore south of Bablake?,Yes,no_change,1,0,0,1
Is Bablake south of Cheylesmore?,No,flip_place,1,0,0,1
Is Birkenhead and Tranmere south of Wallasey?,Yes,no_change,1,0,0,1
Is Birkenhead and Tranmere north of Wallasey?,No,replace_dir_token,1,0,0,1
Is Bebington south of Westoe?,Yes,no_change,1,0,0,1
Is Westoe south of Bebington?,No,flip_place,1,0,0,1
Is Soho south of Pensby and Thingwall?,Yes,no_change,1,0,0,1
Is Pensby and Thingwall south of Soho?,No,flip_place,1,0,0,1
Is West Bromwich Central south of Otley and Yeadon?,Yes,no_change,1,0,0,1
Is West Bromwich Central north of Otley and Yeadon?,No,replace_dir_token,1,0,0,1
Is Edgbaston south of Calder?,Yes,no_change,1,0,0,1
Is Calder south of Edgbaston?,No,flip_place,1,0,0,1
Is Lye and Stourbridge North south of Walkley?,Yes,no_change,1,0,0,1
Is Lye and Stourbridge North north of Walkley?,No,replace_dir_token,1,0,0,1
Is Cambridge south of High Fell?,Yes,no_change,1,0,0,1
Is High Fell south of Cambridge?,No,flip_place,1,0,0,1
Is Oldbury south of Royston?,Yes,no_change,1,0,0,1
Is Royston south of Oldbury?,No,flip_place,1,0,0,1
Is Park south of Wavertree?,Yes,no_change,1,0,0,1
Is Park north of Wavertree?,No,replace_dir_token,1,0,0,1
Is Halewood south of Warbreck?,Yes,no_change,1,0,0,1
Is Warbreck south of Halewood?,No,flip_place,1,0,0,1
Is Belle Vale south of Parklands?,Yes,no_change,1,0,0,1
Is Parklands south of Belle Vale?,No,flip_place,1,0,0,1
Is Little Hulton south of Wallsend?,Yes,no_change,1,0,0,1
Is Little Hulton north of Wallsend?,No,replace_dir_token,1,0,0,1
Is Lyndon south of West Park?,Yes,no_change,1,0,0,1
Is West Park south of Lyndon?,No,flip_place,1,0,0,1
Is Westwood south of Calder?,Yes,no_change,1,0,0,1
Is Westwood north of Calder?,No,replace_dir_token,1,0,0,1
Is Bentley and Darlaston North south of Castle Eden?,Yes,no_change,1,0,0,1
Is Castle Eden south of Bentley and Darlaston North?,No,flip_place,1,0,0,1
Is Erdington south of Hebburn North?,Yes,no_change,1,0,0,1
Is Hebburn North south of Erdington?,No,flip_place,1,0,0,1
Is Wibsey south of Keighley?,Yes,no_change,1,0,0,1
Is Keighley south of Wibsey?,No,flip_place,1,0,0,1
Is Failsworth West south of Queensbury?,Yes,no_change,1,0,0,1
Is Queensbury south of Failsworth West?,No,flip_place,1,0,0,1
Is Beighton south of Howdon?,Yes,no_change,1,0,0,1
Is Beighton north of Howdon?,No,replace_dir_token,1,0,0,1
Is Abbey south of Adwick le Street & Carcroft?,Yes,no_change,1,0,0,1
Is Adwick le Street & Carcroft south of Abbey?,No,flip_place,1,0,0,1
Is Rother Vale south of Tynemouth?,Yes,no_change,1,0,0,1
Is Tynemouth south of Rother Vale?,No,flip_place,1,0,0,1
Is Fallings Park south of West Park?,Yes,no_change,1,0,0,1
Is Fallings Park north of West Park?,No,replace_dir_token,1,0,0,1
Is Oldbury south of Crawcrook and Greenside?,Yes,no_change,1,0,0,1
Is Crawcrook and Greenside south of Oldbury?,No,flip_place,1,0,0,1
Is Finningley south of Kenton?,Yes,no_change,1,0,0,1
Is Kenton south of Finningley?,No,flip_place,1,0,0,1
Is Sheldon south of Weaste and Seedley?,Yes,no_change,1,0,0,1
Is Weaste and Seedley south of Sheldon?,No,flip_place,1,0,0,1
Is Northfield south of Fazakerley?,Yes,no_change,1,0,0,1
Is Fazakerley south of Northfield?,No,flip_place,1,0,0,1
Is Graiseley south of Old Town?,Yes,no_change,1,0,0,1
Is Graiseley north of Old Town?,No,replace_dir_token,1,0,0,1
Is Bentley and Darlaston North south of Dearne South?,Yes,no_change,1,0,0,1
Is Bentley and Darlaston North north of Dearne South?,No,replace_dir_token,1,0,0,1
Is Willenhall North south of Hellaby?,Yes,no_change,1,0,0,1
Is Willenhall North north of Hellaby?,No,replace_dir_token,1,0,0,1
Is Blackheath south of Bushbury North?,Yes,no_change,1,0,0,1
Is Bushbury North south of Blackheath?,No,flip_place,1,0,0,1
Is Cudworth south of Dewsbury East?,Yes,no_change,1,0,0,1
Is Cudworth north of Dewsbury East?,No,replace_dir_token,1,0,0,1
Is Longdendale south of Alwoodley?,Yes,no_change,1,0,0,1
Is Longdendale north of Alwoodley?,No,replace_dir_token,1,0,0,1
Is Norton south of Westerhope?,Yes,no_change,1,0,0,1
Is Westerhope south of Norton?,No,flip_place,1,0,0,1
Is Timperley south of Tynemouth?,Yes,no_change,1,0,0,1
Is Timperley north of Tynemouth?,No,replace_dir_token,1,0,0,1
Is Darlaston South south of Walkden South?,Yes,no_change,1,0,0,1
Is Darlaston South north of Walkden South?,No,replace_dir_token,1,0,0,1
Is St. Alphege south of City and Hunslet?,Yes,no_change,1,0,0,1
Is City and Hunslet south of St. Alphege?,No,flip_place,1,0,0,1
Is Bloxwich West south of Colne Valley?,Yes,no_change,1,0,0,1
Is Bloxwich West north of Colne Valley?,No,replace_dir_token,1,0,0,1
Is Bournville south of Keighley West?,Yes,no_change,1,0,0,1
Is Bournville north of Keighley West?,No,replace_dir_token,1,0,0,1
Is Smethwick south of Greasby Frankby and Irby?,Yes,no_change,1,0,0,1
Is Smethwick north of Greasby Frankby and Irby?,No,replace_dir_token,1,0,0,1
Is Saddleworth south of Adel and Wharfedale?,Yes,no_change,1,0,0,1
Is Adel and Wharfedale south of Saddleworth?,No,flip_place,1,0,0,1
Is Southey south of Eccleshill?,Yes,no_change,1,0,0,1
Is Southey north of Eccleshill?,No,replace_dir_token,1,0,0,1
Is Edgbaston south of West Derby?,Yes,no_change,1,0,0,1
Is West Derby south of Edgbaston?,No,flip_place,1,0,0,1
Is City south of Preston?,Yes,no_change,1,0,0,1
Is Preston south of City?,No,flip_place,1,0,0,1
Is Erdington south of Westerhope?,Yes,no_change,1,0,0,1
Is Westerhope south of Erdington?,No,flip_place,1,0,0,1
Is Wainbody south of Prenton?,Yes,no_change,1,0,0,1
Is Wainbody north of Prenton?,No,replace_dir_token,1,0,0,1
Is Acocks Green south of Sudell?,Yes,no_change,1,0,0,1
Is Sudell south of Acocks Green?,No,flip_place,1,0,0,1
Is Hazel Grove south of Chadderton South?,Yes,no_change,1,0,0,1
Is Hazel Grove north of Chadderton South?,No,replace_dir_token,1,0,0,1
Is South Yardley south of Bebington?,Yes,no_change,1,0,0,1
Is Bebington south of South Yardley?,No,flip_place,1,0,0,1
Is Lower Stoke south of Calverley and Farsley?,Yes,no_change,1,0,0,1
Is Calverley and Farsley south of Lower Stoke?,No,flip_place,1,0,0,1
Is Northenden south of Simonside and Rekendyke?,Yes,no_change,1,0,0,1
Is Northenden north of Simonside and Rekendyke?,No,replace_dir_token,1,0,0,1
Is Pedmore and Stourbridge East south of North Manor?,Yes,no_change,1,0,0,1
Is North Manor south of Pedmore and Stourbridge East?,No,flip_place,1,0,0,1
Is Sutton Vesey south of Royton North?,Yes,no_change,1,0,0,1
Is Royton North south of Sutton Vesey?,No,flip_place,1,0,0,1
Is Cradley Heath and Old Hill south of North Manor?,Yes,no_change,1,0,0,1
Is Cradley Heath and Old Hill north of North Manor?,No,replace_dir_token,1,0,0,1
Is Burnage south of St. James'?,Yes,no_change,1,0,0,1
Is Burnage north of St. James'?,No,replace_dir_token,1,0,0,1
Is Tipton Green south of Craven?,Yes,no_change,1,0,0,1
Is Craven south of Tipton Green?,No,flip_place,1,0,0,1
Is Ladywood south of Ainsdale?,Yes,no_change,1,0,0,1
Is Ladywood north of Ainsdale?,No,replace_dir_token,1,0,0,1
Is Fazakerley south of Tynemouth?,Yes,no_change,1,0,0,1
Is Fazakerley north of Tynemouth?,No,replace_dir_token,1,0,0,1
Is Darlaston South south of Nether Edge & Sharrow?,Yes,no_change,1,0,0,1
Is Nether Edge & Sharrow south of Darlaston South?,No,flip_place,1,0,0,1
Is Saddleworth West and Lees south of Valley?,Yes,no_change,1,0,0,1
Is Saddleworth West and Lees north of Valley?,No,replace_dir_token,1,0,0,1
Is Radcliffe East south of Monkseaton South?,Yes,no_change,1,0,0,1
Is Monkseaton South south of Radcliffe East?,No,flip_place,1,0,0,1
Is Halesowen South south of Unsworth?,Yes,no_change,1,0,0,1
Is Halesowen South north of Unsworth?,No,replace_dir_token,1,0,0,1
Is Cheadle Hulme North south of Werneth?,Yes,no_change,1,0,0,1
Is Cheadle Hulme North north of Werneth?,No,replace_dir_token,1,0,0,1
Is Fallings Park south of Hale Barns?,Yes,no_change,1,0,0,1
Is Fallings Park north of Hale Barns?,No,replace_dir_token,1,0,0,1
Is Charlemont with Grove Vale south of Hulme?,Yes,no_change,1,0,0,1
Is Charlemont with Grove Vale north of Hulme?,No,replace_dir_token,1,0,0,1
Is Chadderton South south of Dunston and Teams?,Yes,no_change,1,0,0,1
Is Chadderton South north of Dunston and Teams?,No,replace_dir_token,1,0,0,1
Is Ettingshall south of Harton?,Yes,no_change,1,0,0,1
Is Harton south of Ettingshall?,No,flip_place,1,0,0,1
Is Chorlton Park south of Tong?,Yes,no_change,1,0,0,1
Is Tong south of Chorlton Park?,No,flip_place,1,0,0,1
Is Manor south of Felling?,Yes,no_change,1,0,0,1
Is Felling south of Manor?,No,flip_place,1,0,0,1
Is Netherton Woodside and St. Andrews south of Brinnington and Central?,Yes,no_change,1,0,0,1
Is Brinnington and Central south of Netherton Woodside and St. Andrews?,No,flip_place,1,0,0,1
Is Coldhurst south of Bradford Moor?,Yes,no_change,1,0,0,1
Is Bradford Moor south of Coldhurst?,No,flip_place,1,0,0,1
Is Cradley and Wollescote south of Dewsbury West?,Yes,no_change,1,0,0,1
Is Dewsbury West south of Cradley and Wollescote?,No,flip_place,1,0,0,1
Is Gipton and Harehills south of Hendon?,Yes,no_change,1,0,0,1
Is Hendon south of Gipton and Harehills?,No,flip_place,1,0,0,1
Is Medlock Vale south of Craven?,Yes,no_change,1,0,0,1
Is Craven south of Medlock Vale?,No,flip_place,1,0,0,1
Is Great Barr with Yew Tree south of Greasby Frankby and Irby?,Yes,no_change,1,0,0,1
Is Great Barr with Yew Tree north of Greasby Frankby and Irby?,No,replace_dir_token,1,0,0,1
Is St. Peter's south of Altrincham?,Yes,no_change,1,0,0,1
Is Altrincham south of St. Peter's?,No,flip_place,1,0,0,1
Is West Park south of Dene?,Yes,no_change,1,0,0,1
Is Dene south of West Park?,No,flip_place,1,0,0,1
Is Kingswinford South south of Bentley and Darlaston North?,Yes,no_change,1,0,0,1
Is Kingswinford South north of Bentley and Darlaston North?,No,replace_dir_token,1,0,0,1
Is Denton West south of Werneth?,Yes,no_change,1,0,0,1
Is Werneth south of Denton West?,No,flip_place,1,0,0,1
Is Rotherham West south of Idle and Thackley?,Yes,no_change,1,0,0,1
Is Rotherham West north of Idle and Thackley?,No,replace_dir_token,1,0,0,1
Is Upper Gornal and Woodsetton south of Bryn?,Yes,no_change,1,0,0,1
Is Bryn south of Upper Gornal and Woodsetton?,No,flip_place,1,0,0,1
Is Kingswinford North and Wall Heath south of Bushbury South and Low Hill?,Yes,no_change,1,0,0,1
Is Bushbury South and Low Hill south of Kingswinford North and Wall Heath?,No,flip_place,1,0,0,1
Is Handsworth Wood south of Almondbury?,Yes,no_change,1,0,0,1
Is Handsworth Wood north of Almondbury?,No,replace_dir_token,1,0,0,1
Is Stocksbridge & Upper Don south of Blakelaw and North Fenham?,Yes,no_change,1,0,0,1
Is Stocksbridge & Upper Don north of Blakelaw and North Fenham?,No,replace_dir_token,1,0,0,1
Is Greenbank south of Prescot?,Yes,no_change,1,0,0,1
Is Greenbank north of Prescot?,No,replace_dir_token,1,0,0,1
Is Bowling and Barkerend south of Denton?,Yes,no_change,1,0,0,1
Is Bowling and Barkerend north of Denton?,No,replace_dir_token,1,0,0,1
Is Pheasey Park Farm south of Hexthorpe & Balby North?,Yes,no_change,1,0,0,1
Is Pheasey Park Farm north of Hexthorpe & Balby North?,No,replace_dir_token,1,0,0,1
Is Kirkburton south of Wallsend?,Yes,no_change,1,0,0,1
Is Wallsend south of Kirkburton?,No,flip_place,1,0,0,1
Is Cradley and Wollescote south of Ryton Crookhill and Stella?,Yes,no_change,1,0,0,1
Is Ryton Crookhill and Stella south of Cradley and Wollescote?,No,flip_place,1,0,0,1
Is Gornal south of Birstall and Birkenshaw?,Yes,no_change,1,0,0,1
Is Birstall and Birkenshaw south of Gornal?,No,flip_place,1,0,0,1
Is Longdendale south of Woolsington?,Yes,no_change,1,0,0,1
Is Longdendale north of Woolsington?,No,replace_dir_token,1,0,0,1
Is Mossley south of Toller?,Yes,no_change,1,0,0,1
Is Mossley north of Toller?,No,replace_dir_token,1,0,0,1
Is Lyndon south of Bradshaw?,Yes,no_change,1,0,0,1
Is Lyndon north of Bradshaw?,No,replace_dir_token,1,0,0,1
Is Richmond south of Crofton Ryhill and Walton?,Yes,no_change,1,0,0,1
Is Richmond north of Crofton Ryhill and Walton?,No,replace_dir_token,1,0,0,1
Is Killingbeck and Seacroft south of Dunston Hill and Whickham East?,Yes,no_change,1,0,0,1
Is Killingbeck and Seacroft north of Dunston Hill and Whickham East?,No,replace_dir_token,1,0,0,1
Is Crumpsall south of Millfield?,Yes,no_change,1,0,0,1
Is Crumpsall north of Millfield?,No,replace_dir_token,1,0,0,1
Is Town south of Ryhope?,Yes,no_change,1,0,0,1
Is Ryhope south of Town?,No,flip_place,1,0,0,1
Is Stockland Green south of Sutton Trinity?,Yes,no_change,1,0,0,1
Is Stockland Green north of Sutton Trinity?,No,replace_dir_token,1,0,0,1
Is Bloxwich West south of Altrincham?,Yes,no_change,1,0,0,1
Is Altrincham south of Bloxwich West?,No,flip_place,1,0,0,1
Is Cradley and Wollescote south of Heaton?,Yes,no_change,1,0,0,1
Is Cradley and Wollescote north of Heaton?,No,replace_dir_token,1,0,0,1
Is Blakenall south of Fellgate and Hedworth?,Yes,no_change,1,0,0,1
Is Fellgate and Hedworth south of Blakenall?,No,flip_place,1,0,0,1
Is Pheasey Park Farm south of Denby Dale?,Yes,no_change,1,0,0,1
Is Denby Dale south of Pheasey Park Farm?,No,flip_place,1,0,0,1
Is Stockland Green south of Atherton?,Yes,no_change,1,0,0,1
Is Stockland Green north of Atherton?,No,replace_dir_token,1,0,0,1
Is Heatons North south of Biddick and All Saints?,Yes,no_change,1,0,0,1
Is Biddick and All Saints south of Heatons North?,No,flip_place,1,0,0,1
Is Amblecote south of Hellaby?,Yes,no_change,1,0,0,1
Is Amblecote north of Hellaby?,No,replace_dir_token,1,0,0,1
Is Tipton Green south of North Manor?,Yes,no_change,1,0,0,1
Is Tipton Green north of North Manor?,No,replace_dir_token,1,0,0,1
Is Westwood south of Kew?,Yes,no_change,1,0,0,1
Is Westwood north of Kew?,No,replace_dir_token,1,0,0,1
Is Reddish North south of Ashton Hurst?,Yes,no_change,1,0,0,1
Is Reddish North north of Ashton Hurst?,No,replace_dir_token,1,0,0,1
Is Stechford and Yardley North south of Deckham?,Yes,no_change,1,0,0,1
Is Stechford and Yardley North north of Deckham?,No,replace_dir_token,1,0,0,1
Is West Bromwich Central south of Halliwell?,Yes,no_change,1,0,0,1
Is West Bromwich Central north of Halliwell?,No,replace_dir_token,1,0,0,1
Is Holyrood south of Walker?,Yes,no_change,1,0,0,1
Is Holyrood north of Walker?,No,replace_dir_token,1,0,0,1
Is Wheatley Hills & Intake south of Sandhill?,Yes,no_change,1,0,0,1
Is Wheatley Hills & Intake north of Sandhill?,No,replace_dir_token,1,0,0,1
Is Parr south of Byker?,Yes,no_change,1,0,0,1
Is Byker south of Parr?,No,flip_place,1,0,0,1
Is Oldbury south of Greenbank?,Yes,no_change,1,0,0,1
Is Oldbury north of Greenbank?,No,replace_dir_token,1,0,0,1
Is Pelsall south of Denton West?,Yes,no_change,1,0,0,1
Is Pelsall north of Denton West?,No,replace_dir_token,1,0,0,1
Is Smethwick south of Hopwood Hall?,Yes,no_change,1,0,0,1
Is Hopwood Hall south of Smethwick?,No,flip_place,1,0,0,1
Is Park south of Manor Castle?,Yes,no_change,1,0,0,1
Is Manor Castle south of Park?,No,flip_place,1,0,0,1
Is Shirley East south of Chelmsley Wood?,Yes,no_change,1,0,0,1
Is Shirley East north of Chelmsley Wood?,No,replace_dir_token,1,0,0,1
Is Bloxwich East south of Cleadon Park?,Yes,no_change,1,0,0,1
Is Cleadon Park south of Bloxwich East?,No,flip_place,1,0,0,1
Is Whoberley south of Headingley?,Yes,no_change,1,0,0,1
Is Headingley south of Whoberley?,No,flip_place,1,0,0,1
Is Blakenall south of Crompton?,Yes,no_change,1,0,0,1
Is Crompton south of Blakenall?,No,flip_place,1,0,0,1
Is Sutton Four Oaks south of Litherland?,Yes,no_change,1,0,0,1
Is Sutton Four Oaks north of Litherland?,No,replace_dir_token,1,0,0,1
Is Acocks Green south of Roundhay?,Yes,no_change,1,0,0,1
Is Acocks Green north of Roundhay?,No,replace_dir_token,1,0,0,1
Is Sherbourne Warwickshire south of Garforth and Swillington?,Yes,no_change,1,0,0,1
Is Garforth and Swillington south of Sherbourne Warwickshire?,No,flip_place,1,0,0,1
Is Bablake south of Firth Park?,Yes,no_change,1,0,0,1
Is Firth Park south of Bablake?,No,flip_place,1,0,0,1
Is Brandwood south of Wetherby?,Yes,no_change,1,0,0,1
Is Brandwood north of Wetherby?,No,replace_dir_token,1,0,0,1
Is Timperley south of Miles Platting and Newton Heath?,Yes,no_change,1,0,0,1
Is Miles Platting and Newton Heath south of Timperley?,No,flip_place,1,0,0,1
Is Hazel Grove south of Newsome?,Yes,no_change,1,0,0,1
Is Hazel Grove north of Newsome?,No,replace_dir_token,1,0,0,1
Is Langley south of Irlam?,Yes,no_change,1,0,0,1
Is Irlam south of Langley?,No,flip_place,1,0,0,1
Is Dukinfield Stalybridge south of Brighouse?,Yes,no_change,1,0,0,1
Is Brighouse south of Dukinfield Stalybridge?,No,flip_place,1,0,0,1
Is Kingstanding south of Hebburn South?,Yes,no_change,1,0,0,1
Is Hebburn South south of Kingstanding?,No,flip_place,1,0,0,1
Is Palfrey south of Wingfield?,Yes,no_change,1,0,0,1
Is Wingfield south of Palfrey?,No,flip_place,1,0,0,1
Is Wednesbury South south of Knotty Ash?,Yes,no_change,1,0,0,1
Is Wednesbury South north of Knotty Ash?,No,replace_dir_token,1,0,0,1
Is Halesowen South south of Bradford Moor?,Yes,no_change,1,0,0,1
Is Halesowen South north of Bradford Moor?,No,replace_dir_token,1,0,0,1
Is Silhill south of Litherland?,Yes,no_change,1,0,0,1
Is Silhill north of Litherland?,No,replace_dir_token,1,0,0,1
Is Willenhall North south of Keppel?,Yes,no_change,1,0,0,1
Is Keppel south of Willenhall North?,No,flip_place,1,0,0,1
Is Farnworth south of Camperdown?,Yes,no_change,1,0,0,1
Is Camperdown south of Farnworth?,No,flip_place,1,0,0,1
Is Elmdon south of Bridges?,Yes,no_change,1,0,0,1
Is Bridges south of Elmdon?,No,flip_place,1,0,0,1
Is Belle Vale south of Kenton?,Yes,no_change,1,0,0,1
Is Belle Vale north of Kenton?,No,replace_dir_token,1,0,0,1
Is Chorlton Park south of Newburn?,Yes,no_change,1,0,0,1
Is Chorlton Park north of Newburn?,No,replace_dir_token,1,0,0,1
Is Sparkbrook south of Alwoodley?,Yes,no_change,1,0,0,1
Is Alwoodley south of Sparkbrook?,No,flip_place,1,0,0,1
Is Henley south of Castle?,Yes,no_change,1,0,0,1
Is Henley north of Castle?,No,replace_dir_token,1,0,0,1
Is Colne Valley south of Hipperholme and Lightcliffe?,Yes,no_change,1,0,0,1
Is Hipperholme and Lightcliffe south of Colne Valley?,No,flip_place,1,0,0,1
Is Lye and Stourbridge North south of Parr?,Yes,no_change,1,0,0,1
Is Parr south of Lye and Stourbridge North?,No,flip_place,1,0,0,1
Is Levenshulme south of Central Rochdale?,Yes,no_change,1,0,0,1
Is Central Rochdale south of Levenshulme?,No,flip_place,1,0,0,1
Is Paddock south of Moortown?,Yes,no_change,1,0,0,1
Is Paddock north of Moortown?,No,replace_dir_token,1,0,0,1
Is Maltby South Yorkshire south of Wakefield West?,Yes,no_change,1,0,0,1
Is Wakefield West south of Maltby South Yorkshire?,No,flip_place,1,0,0,1
Is Brinnington and Central south of Ovenden?,Yes,no_change,1,0,0,1
Is Ovenden south of Brinnington and Central?,No,flip_place,1,0,0,1
Is Selly Oak south of Hateley Heath?,Yes,no_change,1,0,0,1
Is Hateley Heath south of Selly Oak?,No,flip_place,1,0,0,1
Is Castleton south of Shiney Row?,Yes,no_change,1,0,0,1
Is Castleton north of Shiney Row?,No,replace_dir_token,1,0,0,1
Is Earlestown south of Low Fell?,Yes,no_change,1,0,0,1
Is Low Fell south of Earlestown?,No,flip_place,1,0,0,1
Is Fallings Park south of Colne Valley?,Yes,no_change,1,0,0,1
Is Fallings Park north of Colne Valley?,No,replace_dir_token,1,0,0,1
Is Kingswinford South south of Hopwood Hall?,Yes,no_change,1,0,0,1
Is Hopwood Hall south of Kingswinford South?,No,flip_place,1,0,0,1
Is Dearne North south of Dunston Hill and Whickham East?,Yes,no_change,1,0,0,1
Is Dunston Hill and Whickham East south of Dearne North?,No,flip_place,1,0,0,1
Is Dukinfield Stalybridge south of Royds?,Yes,no_change,1,0,0,1
Is Dukinfield Stalybridge north of Royds?,No,replace_dir_token,1,0,0,1
Is Longford south of Valley?,Yes,no_change,1,0,0,1
Is Valley south of Longford?,No,flip_place,1,0,0,1
Is Wednesbury South south of Leigh West?,Yes,no_change,1,0,0,1
Is Leigh West south of Wednesbury South?,No,flip_place,1,0,0,1
Is Dorridge and Hockley Heath south of Byker?,Yes,no_change,1,0,0,1
