place1,relation,place2,question,answer,transition
Netherton Woodside and St. Andrews,south,Belle Vale,Is Netherton Woodside and St. Andrews north of Belle Vale?,No,replace_dir_token
Ettingshall,south,Bredbury and Woodley,Is Ettingshall south of Bredbury and Woodley?,Yes,no_change
Ettingshall,south,Bredbury and Woodley,Is Ettingshall north of Bredbury and Woodley?,No,replace_dir_token
Washwood Heath,south,Halewood North,Is Washwood Heath south of Halewood North?,Yes,no_change
Washwood Heath,south,Halewood North,Is Halewood North south of Washwood Heath?,No,flip_place
Blythe,south,Tonge with the Haulgh,Is Blythe south of Tonge with the Haulgh?,Yes,no_change
Blythe,south,Tonge with the Haulgh,Is Blythe north of Tonge with the Haulgh?,No,replace_dir_token
Aston,south,Kingstanding,Is Aston south of Kingstanding?,Yes,no_change
Aston,south,Kingstanding,Is Aston north of Kingstanding?,No,replace_dir_token
Brownhills,south,Sowerby Bridge,Is Brownhills south of Sowerby Bridge?,Yes,no_change
Brownhills,south,Sowerby Bridge,Is Sowerby Bridge south of Brownhills?,No,flip_place
Droylsden West,south,Doxford,Is Droylsden West south of Doxford?,Yes,no_change
Droylsden West,south,Doxford,Is Doxford south of Droylsden West?,No,flip_place
Rushall-Shelfield,south,Cheadle Hulme North,Is Rushall-Shelfield south of Cheadle Hulme North?,Yes,no_change
Rushall-Shelfield,south,Cheadle Hulme North,Is Rushall-Shelfield north of Cheadle Hulme North?,No,replace_dir_token
Kings Norton,south,Dinnington St. John's,Is Kings Norton south of Dinnington St. John's?,Yes,no_change
Kings Norton,south,Dinnington St. John's,Is Kings Norton north of Dinnington St. John's?,No,replace_dir_token
Marple North,south,Ashton Hurst,Is Marple North south of Ashton Hurst?,Yes,no_change
Marple North,south,Ashton Hurst,Is Marple North north of Ashton Hurst?,No,replace_dir_token
Merry Hill,south,Boston Castle,Is Merry Hill south of Boston Castle?,Yes,no_change
Merry Hill,south,Boston Castle,Is Merry Hill north of Boston Castle?,No,replace_dir_token
Pelsall,south,Low Fell,Is Pelsall south of Low Fell?,Yes,no_change
Pelsall,south,Low Fell,Is Pelsall north of Low Fell?,No,replace_dir_token
Westhoughton North and Chew Moor,south,Weetslade,Is Westhoughton North and Chew Moor south of Weetslade?,Yes,no_change
Westhoughton North and Chew Moor,south,Weetslade,Is Westhoughton North and Chew Moor north of Weetslade?,No,replace_dir_token
Didsbury West,south,Bingley Rural,Is Didsbury West south of Bingley Rural?,Yes,no_change
Didsbury West,south,Bingley Rural,Is Didsbury West north of Bingley Rural?,No,replace_dir_token
Winton,south,Guiseley and Rawdon,Is Winton south of Guiseley and Rawdon?,Yes,no_change
Winton,south,Guiseley and Rawdon,Is Winton north of Guiseley and Rawdon?,No,replace_dir_token
Aldridge Central and South,south,Clifford,Is Aldridge Central and South south of Clifford?,Yes,no_change
Aldridge Central and South,south,Clifford,Is Clifford south of Aldridge Central and South?,No,flip_place
Dorridge and Hockley Heath,south,Westhoughton North and Chew Moor,Is Dorridge and Hockley Heath south of Westhoughton North and Chew Moor?,Yes,no_change
Dorridge and Hockley Heath,south,Westhoughton North and Chew Moor,Is Westhoughton North and Chew Moor south of Dorridge and Hockley Heath?,No,flip_place
Handsworth Wood,south,Keighley,Is Handsworth Wood south of Keighley?,Yes,no_change
Handsworth Wood,south,Keighley,Is Keighley south of Handsworth Wood?,No,flip_place
Wednesfield South,south,Biddick and All Saints,Is Wednesfield South south of Biddick and All Saints?,Yes,no_change
Wednesfield South,south,Biddick and All Saints,Is Biddick and All Saints south of Wednesfield South?,No,flip_place
Quinton,south,Ryhope,Is Quinton south of Ryhope?,Yes,no_change
Quinton,south,Ryhope,Is Ryhope south of Quinton?,No,flip_place
Bede,south,Monkseaton South,Is Bede south of Monkseaton South?,Yes,no_change
Bede,south,Monkseaton South,Is Bede north of Monkseaton South?,No,replace_dir_token
Baguley,south,Headingley,Is Baguley south of Headingley?,Yes,no_change
Baguley,south,Headingley,Is Headingley south of Baguley?,No,flip_place
Bowling and Barkerend,south,Winlaton and High Spen,Is Bowling and Barkerend south of Winlaton and High Spen?,Yes,no_change
Bowling and Barkerend,south,Winlaton and High Spen,Is Winlaton and High Spen south of Bowling and Barkerend?,No,flip_place
Edgbaston,south,Bushbury North,Is Edgbaston south of Bushbury North?,Yes,no_change
Edgbaston,south,Bushbury North,Is Bushbury North south of Edgbaston?,No,flip_place
Brandwood,south,Sandhill,Is Brandwood south of Sandhill?,Yes,no_change
Brandwood,south,Sandhill,Is Sandhill south of Brandwood?,No,flip_place
Tettenhall Regis,south,Bingley,Is Tettenhall Regis south of Bingley?,Yes,no_change
Tettenhall Regis,south,Bingley,Is Tettenhall Regis north of Bingley?,No,replace_dir_token
Knowle,south,Tyburn,Is Knowle south of Tyburn?,Yes,no_change
Knowle,south,Tyburn,Is Tyburn south of Knowle?,No,flip_place
Edgbaston,south,Stocksbridge & Upper Don,Is Edgbaston south of Stocksbridge & Upper Don?,Yes,no_change
Edgbaston,south,Stocksbridge & Upper Don,Is Edgbaston north of Stocksbridge & Upper Don?,No,replace_dir_token
Friar Park,south,Headingley,Is Friar Park south of Headingley?,Yes,no_change
Friar Park,south,Headingley,Is Friar Park north of Headingley?,No,replace_dir_token
Hazel Grove,south,Hyde Newton,Is Hazel Grove south of Hyde Newton?,Yes,no_change
Hazel Grove,south,Hyde Newton,Is Hazel Grove north of Hyde Newton?,No,replace_dir_token
Swinton South,south,Pelaw and Heworth,Is Swinton South south of Pelaw and Heworth?,Yes,no_change
Swinton South,south,Pelaw and Heworth,Is Pelaw and Heworth south of Swinton South?,No,flip_place
Gorton South,south,Illingworth and Mixenden,Is Gorton South south of Illingworth and Mixenden?,Yes,no_change
Gorton South,south,Illingworth and Mixenden,Is Illingworth and Mixenden south of Gorton South?,No,flip_place
Wainbody,south,Copt Hill,Is Wainbody south of Copt Hill?,Yes,no_change
Wainbody,south,Copt Hill,Is Wainbody north of Copt Hill?,No,replace_dir_token
Bradford Moor,south,Shiney Row,Is Bradford Moor south of Shiney Row?,Yes,no_change
Bradford Moor,south,Shiney Row,Is Shiney Row south of Bradford Moor?,No,flip_place
St. Thomas's,south,Ravenmeols,Is St. Thomas's south of Ravenmeols?,Yes,no_change
St. Thomas's,south,Ravenmeols,Is Ravenmeols south of St. Thomas's?,No,flip_place
Blakenhall,south,Rumworth,Is Blakenhall south of Rumworth?,Yes,no_change
Blakenhall,south,Rumworth,Is Rumworth south of Blakenhall?,No,flip_place
Dorridge and Hockley Heath,south,Kingstanding,Is Dorridge and Hockley Heath south of Kingstanding?,Yes,no_change
Dorridge and Hockley Heath,south,Kingstanding,Is Dorridge and Hockley Heath north of Kingstanding?,No,replace_dir_token
Tividale,south,East Gosforth,Is Tividale south of East Gosforth?,Yes,no_change
Tividale,south,East Gosforth,Is Tividale north of East Gosforth?,No,replace_dir_token
Newton,south,Ashton Waterloo,Is Newton south of Ashton Waterloo?,Yes,no_change
Newton,south,Ashton Waterloo,Is Newton north of Ashton Waterloo?,No,replace_dir_token
Doxey,south,Tuebrook and Stoneycroft,Is Doxey south of Tuebrook and Stoneycroft?,Yes,no_change
Doxey,south,Tuebrook and Stoneycroft,Is Tuebrook and Stoneycroft south of Doxey?,No,flip_place
Penn,south,Silksworth,Is Penn south of Silksworth?,Yes,no_change
Penn,south,Silksworth,Is Silksworth south of Penn?,No,flip_place
Gorton South,south,Byker,Is Gorton South south of Byker?,Yes,no_change
Gorton South,south,Byker,Is Byker south of Gorton South?,No,flip_place
Keighley East,south,Bridges,Is Keighley East south of Bridges?,Yes,no_change
Keighley East,south,Bridges,Is Keighley East north of Bridges?,No,replace_dir_token
Brandwood,south,Wakefield South,Is Brandwood south of Wakefield South?,Yes,no_change
Brandwood,south,Wakefield South,Is Wakefield South south of Brandwood?,No,flip_place
Kingswinford North and Wall Heath,south,Conisbrough Parks,Is Kingswinford North and Wall Heath south of Conisbrough Parks?,Yes,no_change
Kingswinford North and Wall Heath,south,Conisbrough Parks,Is Conisbrough Parks south of Kingswinford North and Wall Heath?,No,flip_place
Kingstanding,south,Central,Is Kingstanding south of Central?,Yes,no_change
Kingstanding,south,Central,Is Central south of Kingstanding?,No,flip_place
Smith's Wood,south,Didsbury West,Is Smith's Wood south of Didsbury West?,Yes,no_change
Smith's Wood,south,Didsbury West,Is Smith's Wood north of Didsbury West?,No,replace_dir_token
Upper Gornal and Woodsetton,south,Heatons North,Is Upper Gornal and Woodsetton south of Heatons North?,Yes,no_change
Upper Gornal and Woodsetton,south,Heatons North,Is Heatons North south of Upper Gornal and Woodsetton?,No,flip_place
Kings Norton,south,Heaton and Lostock,Is Kings Norton south of Heaton and Lostock?,Yes,no_change
Kings Norton,south,Heaton and Lostock,Is Kings Norton north of Heaton and Lostock?,No,replace_dir_token
Springfield,south,Sedgley,Is Springfield south of Sedgley?,Yes,no_change
Springfield,south,Sedgley,Is Sedgley south of Springfield?,No,flip_place
Brooklands,south,Lamesley,Is Brooklands south of Lamesley?,Yes,no_change
Brooklands,south,Lamesley,Is Brooklands north of Lamesley?,No,replace_dir_token
Bilston North,south,St. Mary's,Is Bilston North south of St. Mary's?,Yes,no_change
Bilston North,south,St. Mary's,Is St. Mary's south of Bilston North?,No,flip_place
Norwood,south,Windy Nook and Whitehills,Is Norwood south of Windy Nook and Whitehills?,Yes,no_change
Norwood,south,Windy Nook and Whitehills,Is Norwood north of Windy Nook and Whitehills?,No,replace_dir_token
Cressington,south,Orrell,Is Cressington south of Orrell?,Yes,no_change
Cressington,south,Orrell,Is Orrell south of Cressington?,No,flip_place
Belle Vale,south,Dewsbury West,Is Belle Vale south of Dewsbury West?,Yes,no_change
Belle Vale,south,Dewsbury West,Is Belle Vale north of Dewsbury West?,No,replace_dir_token
Keppel,south,Calverley and Farsley,Is Keppel south of Calverley and Farsley?,Yes,no_change
Keppel,south,Calverley and Farsley,Is Keppel north of Calverley and Farsley?,No,replace_dir_token
Hyde Werneth,south,Wardle and West Littleborough,Is Hyde Werneth south of Wardle and West Littleborough?,Yes,no_change
Hyde Werneth,south,Wardle and West Littleborough,Is Wardle and West Littleborough south of Hyde Werneth?,No,flip_place
Droylsden East,south,Hebburn South,Is Droylsden East south of Hebburn South?,Yes,no_change
Droylsden East,south,Hebburn South,Is Hebburn South south of Droylsden East?,No,flip_place
Mexborough,south,Ryton Crookhill and Stella,Is Mexborough south of Ryton Crookhill and Stella?,Yes,no_change
Mexborough,south,Ryton Crookhill and Stella,Is Ryton Crookhill and Stella south of Mexborough?,No,flip_place
Nechells,south,St. Gabriels,Is Nechells south of St. Gabriels?,Yes,no_change
Nechells,south,St. Gabriels,Is Nechells north of St. Gabriels?,No,replace_dir_token
Finstall,south,Atherleigh,Is Finstall south of Atherleigh?,Yes,no_change
Finstall,south,Atherleigh,Is Finstall north of Atherleigh?,No,replace_dir_token
Princes End,south,Morley South,Is Princes End south of Morley South?,Yes,no_change
Princes End,south,Morley South,Is Princes End north of Morley South?,No,replace_dir_token
Sudell,south,Chopwell and Rowlands Gill,Is Sudell south of Chopwell and Rowlands Gill?,Yes,no_change
Sudell,south,Chopwell and Rowlands Gill,Is Sudell north of Chopwell and Rowlands Gill?,No,replace_dir_token
Cheadle Hulme North,south,Crompton,Is Cheadle Hulme North south of Crompton?,Yes,no_change
Cheadle Hulme North,south,Crompton,Is Crompton south of Cheadle Hulme North?,No,flip_place
Holbrook,south,Ravenmeols,Is Holbrook south of Ravenmeols?,Yes,no_change
Holbrook,south,Ravenmeols,Is Ravenmeols south of Holbrook?,No,flip_place
Great Barr with Yew Tree,south,Old Moat,Is Great Barr with Yew Tree south of Old Moat?,Yes,no_change
Great Barr with Yew Tree,south,Old Moat,Is Great Barr with Yew Tree north of Old Moat?,No,replace_dir_token
Elmdon,south,Ancoats and Clayton,Is Elmdon south of Ancoats and Clayton?,Yes,no_change
Elmdon,south,Ancoats and Clayton,Is Elmdon north of Ancoats and Clayton?,No,replace_dir_token
North Manor,south,Ramsbottom,Is North Manor south of Ramsbottom?,Yes,no_change
North Manor,south,Ramsbottom,Is North Manor north of Ramsbottom?,No,replace_dir_token
Davenport and Cale Green,south,Weaste and Seedley,Is Davenport and Cale Green south of Weaste and Seedley?,Yes,no_change
Davenport and Cale Green,south,Weaste and Seedley,Is Weaste and Seedley south of Davenport and Cale Green?,No,flip_place
Redvales,south,Kenton,Is Redvales south of Kenton?,Yes,no_change
Redvales,south,Kenton,Is Redvales north of Kenton?,No,replace_dir_token
Knowle,south,Atherton,Is Knowle south of Atherton?,Yes,no_change
Knowle,south,Atherton,Is Knowle north of Atherton?,No,replace_dir_token
Woodhouse,south,Little Horton,Is Woodhouse south of Little Horton?,Yes,no_change
Woodhouse,south,Little Horton,Is Little Horton south of Woodhouse?,No,flip_place
St. Oswald,south,Chopwell and Rowlands Gill,Is St. Oswald south of Chopwell and Rowlands Gill?,Yes,no_change
St. Oswald,south,Chopwell and Rowlands Gill,Is St. Oswald north of Chopwell and Rowlands Gill?,No,replace_dir_token
Shirley East,south,Crofton Ryhill and Walton,Is Shirley East south of Crofton Ryhill and Walton?,Yes,no_change
Shirley East,south,Crofton Ryhill and Walton,Is Crofton Ryhill and Walton south of Shirley East?,No,flip_place
Higher Blackley,south,Ilkley,Is Higher Blackley south of Ilkley?,Yes,no_change
Higher Blackley,south,Ilkley,Is Higher Blackley north of Ilkley?,No,replace_dir_token
Bushbury South and Low Hill,south,Warbreck,Is Bushbury South and Low Hill south of Warbreck?,Yes,no_change
Bushbury South and Low Hill,south,Warbreck,Is Warbreck south of Bushbury South and Low Hill?,No,flip_place
Norwood,south,Beacon and Bents,Is Norwood south of Beacon and Bents?,Yes,no_change
Norwood,south,Beacon and Bents,Is Beacon and Bents south of Norwood?,No,flip_place
Oscott,south,Village,Is Oscott south of Village?,Yes,no_change
Oscott,south,Village,Is Oscott north of Village?,No,replace_dir_token
Pedmore and Stourbridge East,south,Southwick,Is Pedmore and Stourbridge East south of Southwick?,Yes,no_change
Pedmore and Stourbridge East,south,Southwick,Is Southwick south of Pedmore and Stourbridge East?,No,flip_place
Finstall,south,Bloxwich West,Is Finstall south of Bloxwich West?,Yes,no_change
Finstall,south,Bloxwich West,Is Bloxwich West south of Finstall?,No,flip_place
Sutton Vesey,south,Knottingley,Is Sutton Vesey south of Knottingley?,Yes,no_change
Sutton Vesey,south,Knottingley,Is Knottingley south of Sutton Vesey?,No,flip_place
Bournville,south,Houghton,Is Bournville south of Houghton?,Yes,no_change
Bournville,south,Houghton,Is Houghton south of Bournville?,No,flip_place
Moseley and Kings Heath,south,Castle,Is Moseley and Kings Heath south of Castle?,Yes,no_change
Moseley and Kings Heath,south,Castle,Is Castle south of Moseley and Kings Heath?,No,flip_place
Darlaston South,south,Pendlebury,Is Darlaston South south of Pendlebury?,Yes,no_change
Darlaston South,south,Pendlebury,Is Darlaston South north of Pendlebury?,No,replace_dir_token
Short Heath,south,Wyke,Is Short Heath south of Wyke?,Yes,no_change
Short Heath,south,Wyke,Is Wyke south of Short Heath?,No,flip_place
Great Bridge,south,Holme Valley,Is Great Bridge south of Holme Valley?,Yes,no_change
Great Bridge,south,Holme Valley,Is Great Bridge north of Holme Valley?,No,replace_dir_token
Whalley Range,south,Wibsey,Is Whalley Range south of Wibsey?,Yes,no_change
Whalley Range,south,Wibsey,Is Wibsey south of Whalley Range?,No,flip_place
Dorridge and Hockley Heath,south,Reddish North,Is Dorridge and Hockley Heath south of Reddish North?,Yes,no_change
Dorridge and Hockley Heath,south,Reddish North,Is Reddish North south of Dorridge and Hockley Heath?,No,flip_place
Short Heath,south,Beauchief & Greenhill,Is Short Heath south of Beauchief & Greenhill?,Yes,no_change
Short Heath,south,Beauchief & Greenhill,Is Short Heath north of Beauchief & Greenhill?,No,replace_dir_token
Weoley,south,Harpurhey,Is Weoley south of Harpurhey?,Yes,no_change
Weoley,south,Harpurhey,Is Weoley north of Harpurhey?,No,replace_dir_token
Cheadle and Gatley,south,Chapel Allerton,Is Cheadle and Gatley south of Chapel Allerton?,Yes,no_change
Cheadle and Gatley,south,Chapel Allerton,Is Cheadle and Gatley north of Chapel Allerton?,No,replace_dir_token
Wallasey,south,Park,Is Wallasey south of Park?,Yes,no_change
Wallasey,south,Park,Is Wallasey north of Park?,No,replace_dir_token
Harborne,south,High Fell,Is Harborne south of High Fell?,Yes,no_change
Harborne,south,High Fell,Is High Fell south of Harborne?,No,flip_place
Wyken,south,Cleckheaton,Is Wyken south of Cleckheaton?,Yes,no_change
Wyken,south,Cleckheaton,Is Cleckheaton south of Wyken?,No,flip_place
Ardsley and Robin Hood,south,Doxford,Is Ardsley and Robin Hood south of Doxford?,Yes,no_change
Ardsley and Robin Hood,south,Doxford,Is Ardsley and Robin Hood north of Doxford?,No,replace_dir_token
Hall Green,south,Manor Castle,Is Hall Green south of Manor Castle?,Yes,no_change
Hall Green,south,Manor Castle,Is Hall Green north of Manor Castle?,No,replace_dir_token
Bushbury South and Low Hill,south,Roman Ridge,Is Bushbury South and Low Hill south of Roman Ridge?,Yes,no_change
Bushbury South and Low Hill,south,Roman Ridge,Is Roman Ridge south of Bushbury South and Low Hill?,No,flip_place
Bournville,south,Warbreck,Is Bournville south of Warbreck?,Yes,no_change
Bournville,south,Warbreck,Is Bournville north of Warbreck?,No,replace_dir_token
Blakenhall,south,Greenhead,Is Blakenhall south of Greenhead?,Yes,no_change
Blakenhall,south,Greenhead,Is Greenhead south of Blakenhall?,No,flip_place
Brooklands,south,Kersal,Is Brooklands south of Kersal?,Yes,no_change
Brooklands,south,Kersal,Is Kersal south of Brooklands?,No,flip_place
Stocksbridge & Upper Don,south,St. Peter's,Is Stocksbridge & Upper Don south of St. Peter's?,Yes,no_change
Stocksbridge & Upper Don,south,St. Peter's,Is St. Peter's south of Stocksbridge & Upper Don?,No,flip_place
Worsbrough,south,Wakefield West,Is Worsbrough south of Wakefield West?,Yes,no_change
Worsbrough,south,Wakefield West,Is Wakefield West south of Worsbrough?,No,flip_place
Manor,south,Ouseburn,Is Manor south of Ouseburn?,Yes,no_change
Manor,south,Ouseburn,Is Manor north of Ouseburn?,No,replace_dir_token
Bickenhill,south,Fellgate and Hedworth,Is Bickenhill south of Fellgate and Hedworth?,Yes,no_change
Bickenhill,south,Fellgate and Hedworth,Is Bickenhill north of Fellgate and Hedworth?,No,replace_dir_token
Blackheath,south,Horsley Hill,Is Blackheath south of Horsley Hill?,Yes,no_change
Blackheath,south,Horsley Hill,Is Blackheath north of Horsley Hill?,No,replace_dir_token
Halesowen North,south,Chadderton South,Is Halesowen North south of Chadderton South?,Yes,no_change
Halesowen North,south,Chadderton South,Is Halesowen North north of Chadderton South?,No,replace_dir_token
Belle Vale,south,Westgate,Is Belle Vale south of Westgate?,Yes,no_change
Belle Vale,south,Westgate,Is Westgate south of Belle Vale?,No,flip_place
Manor,south,Chirton,Is Manor south of Chirton?,Yes,no_change
Manor,south,Chirton,Is Chirton south of Manor?,No,flip_place
Knowle,south,Rusholme,Is Knowle south of Rusholme?,Yes,no_change
Knowle,south,Rusholme,Is Rusholme south of Knowle?,No,flip_place
Tickhill & Wadsworth,south,Chopwell and Rowlands Gill,Is Tickhill & Wadsworth south of Chopwell and Rowlands Gill?,Yes,no_change
Tickhill & Wadsworth,south,Chopwell and Rowlands Gill,Is Chopwell and Rowlands Gill south of Tickhill & Wadsworth?,No,flip_place
Graiseley,south,Woolsington,Is Graiseley south of Woolsington?,Yes,no_change
Graiseley,south,Woolsington,Is Woolsington south of Graiseley?,No,flip_place
Coseley East,south,Duke's,Is Coseley East south of Duke's?,Yes,no_change
Coseley East,south,Duke's,Is Coseley East north of Duke's?,No,replace_dir_token
Birchills Leamore,south,Sprotbrough and Cusworth,Is Birchills Leamore south of Sprotbrough and Cusworth?,Yes,no_change
Birchills Leamore,south,Sprotbrough and Cusworth,Is Sprotbrough and Cusworth south of Birchills Leamore?,No,flip_place
Whiteleas,south,Beacon and Bents,Is Whiteleas south of Beacon and Bents?,Yes,no_change
Whiteleas,south,Beacon and Bents,Is Beacon and Bents south of Whiteleas?,No,flip_place
Edgbaston,south,Whitley Bay,Is Edgbaston south of Whitley Bay?,Yes,no_change
Edgbaston,south,Whitley Bay,Is Edgbaston north of Whitley Bay?,No,replace_dir_token
Shard End,south,Davyhulme East,Is Shard End south of Davyhulme East?,Yes,no_change
Shard End,south,Davyhulme East,Is Shard End north of Davyhulme East?,No,replace_dir_token
Blakenall,south,Stocksbridge & Upper Don,Is Blakenall south of Stocksbridge & Upper Don?,Yes,no_change
Blakenall,south,Stocksbridge & Upper Don,Is Stocksbridge & Upper Don south of Blakenall?,No,flip_place
Upton,south,St. Chad's,Is Upton south of St. Chad's?,Yes,no_change
Upton,south,St. Chad's,Is Upton north of St. Chad's?,No,replace_dir_token
Foleshill,south,Broughton,Is Foleshill south of Broughton?,Yes,no_change
Foleshill,south,Broughton,Is Broughton south of Foleshill?,No,flip_place
Hayley Green and Cradley South,south,Broughton,Is Hayley Green and Cradley South south of Broughton?,Yes,no_change
Hayley Green and Cradley South,south,Broughton,Is Broughton south of Hayley Green and Cradley South?,No,flip_place
Lower Stoke,south,Shaw,Is Lower Stoke south of Shaw?,Yes,no_change
Lower Stoke,south,Shaw,Is Shaw south of Lower Stoke?,No,flip_place
Stannington,south,Ryburn,Is Stannington south of Ryburn?,Yes,no_change
Stannington,south,Ryburn,Is Stannington north of Ryburn?,No,replace_dir_token
Chelmsley Wood,south,Royston,Is Chelmsley Wood south of Royston?,Yes,no_change
Chelmsley Wood,south,Royston,Is Royston south of Chelmsley Wood?,No,flip_place
Selly Oak,south,Horwich and Blackrod,Is Selly Oak south of Horwich and Blackrod?,Yes,no_change
Selly Oak,south,Horwich and Blackrod,Is Horwich and Blackrod south of Selly Oak?,No,flip_place
Rowley,south,Tipton Green,Is Rowley south of Tipton Green?,Yes,no_change
Rowley,south,Tipton Green,Is Rowley north of Tipton Green?,No,replace_dir_token
Shirley West,south,Houghton,Is Shirley West south of Houghton?,Yes,no_change
Shirley West,south,Houghton,Is Houghton south of Shirley West?,No,flip_place
Darnall,south,Rothwell,Is Darnall south of Rothwell?,Yes,no_change
Darnall,south,Rothwell,Is Darnall north of Rothwell?,No,replace_dir_token
Belle Vale,south,Horbury and South Ossett,Is Belle Vale south of Horbury and South Ossett?,Yes,no_change
Belle Vale,south,Horbury and South Ossett,Is Horbury and South Ossett south of Belle Vale?,No,flip_place
Elmdon,south,Dore & Totley,Is Elmdon south of Dore & Totley?,Yes,no_change
Elmdon,south,Dore & Totley,Is Elmdon north of Dore & Totley?,No,replace_dir_token
Lye and Stourbridge North,south,Chopwell and Rowlands Gill,Is Lye and Stourbridge North south of Chopwell and Rowlands Gill?,Yes,no_change
Lye and Stourbridge North,south,Chopwell and Rowlands Gill,Is Lye and Stourbridge North north of Chopwell and Rowlands Gill?,No,replace_dir_token
Village,south,Wardley and Leam Lane,Is Village south of Wardley and Leam Lane?,Yes,no_change
Village,south,Wardley and Leam Lane,Is Village north of Wardley and Leam Lane?,No,replace_dir_token
Timperley,south,South Middleton,Is Timperley south of South Middleton?,Yes,no_change
Timperley,south,South Middleton,Is Timperley north of South Middleton?,No,replace_dir_token
Olton,south,Cleckheaton,Is Olton south of Cleckheaton?,Yes,no_change
Olton,south,Cleckheaton,Is Cleckheaton south of Olton?,No,flip_place
Quinton,south,Didsbury East,Is Quinton south of Didsbury East?,Yes,no_change
Quinton,south,Didsbury East,Is Didsbury East south of Quinton?,No,flip_place
Wath,south,West Gosforth,Is Wath south of West Gosforth?,Yes,no_change
Wath,south,West Gosforth,Is Wath north of West Gosforth?,No,replace_dir_token
Kersal,south,Spotland and Falinge,Is Kersal south of Spotland and Falinge?,Yes,no_change
Kersal,south,Spotland and Falinge,Is Kersal north of Spotland and Falinge?,No,replace_dir_token
Dorridge and Hockley Heath,south,Horsforth,Is Dorridge and Hockley Heath south of Horsforth?,Yes,no_change
Dorridge and Hockley Heath,south,Horsforth,Is Horsforth south of Dorridge and Hockley Heath?,No,flip_place
Tyburn,south,Knottingley,Is Tyburn south of Knottingley?,Yes,no_change
Tyburn,south,Knottingley,Is Knottingley south of Tyburn?,No,flip_place
Golcar,south,Town,Is Golcar south of Town?,Yes,no_change
Golcar,south,Town,Is Golcar north of Town?,No,replace_dir_token
Horwich,south,Dene,Is Horwich south of Dene?,Yes,no_change
Horwich,south,Dene,Is Dene south of Horwich?,No,flip_place
Kippax West Yorkshire,south,Sandhill,Is Kippax West Yorkshire south of Sandhill?,Yes,no_change
Kippax West Yorkshire,south,Sandhill,Is Kippax West Yorkshire north of Sandhill?,No,replace_dir_token
Orgreave South Yorkshire,south,Dunston and Teams,Is Orgreave South Yorkshire south of Dunston and Teams?,Yes,no_change
Orgreave South Yorkshire,south,Dunston and Teams,Is Orgreave South Yorkshire north of Dunston and Teams?,No,replace_dir_token
Ovenden,south,Birtley,Is Ovenden south of Birtley?,Yes,no_change
Ovenden,south,Birtley,Is Ovenden north of Birtley?,No,replace_dir_token
Great Bridge,south,Little Lever and Darcy Lever,Is Great Bridge south of Little Lever and Darcy Lever?,Yes,no_change
Great Bridge,south,Little Lever and Darcy Lever,Is Great Bridge north of Little Lever and Darcy Lever?,No,replace_dir_token
Belle Vale,south,Millfield,Is Belle Vale south of Millfield?,Yes,no_change
Belle Vale,south,Millfield,Is Millfield south of Belle Vale?,No,flip_place
Pelsall,south,Park & Arbourthorne,Is Pelsall south of Park & Arbourthorne?,Yes,no_change
Pelsall,south,Park & Arbourthorne,Is Park & Arbourthorne south of Pelsall?,No,flip_place
Stockland Green,south,Heswall,Is Stockland Green south of Heswall?,Yes,no_change
Stockland Green,south,Heswall,Is Stockland Green north of Heswall?,No,replace_dir_token
Soho,south,Ravenmeols,Is Soho south of Ravenmeols?,Yes,no_change
Soho,south,Ravenmeols,Is Soho north of Ravenmeols?,No,replace_dir_token
Stretford,south,Adel and Wharfedale,Is Stretford south of Adel and Wharfedale?,Yes,no_change
Stretford,south,Adel and Wharfedale,Is Adel and Wharfedale south of Stretford?,No,flip_place
Kirkstall,south,Westoe,Is Kirkstall south of Westoe?,Yes,no_change
Kirkstall,south,Westoe,Is Kirkstall north of Westoe?,No,replace_dir_token
Windhill and Wrose,south,Lamesley,Is Windhill and Wrose south of Lamesley?,Yes,no_change
Windhill and Wrose,south,Lamesley,Is Lamesley south of Windhill and Wrose?,No,flip_place
Leigh West,south,Sandhill,Is Leigh West south of Sandhill?,Yes,no_change
Leigh West,south,Sandhill,Is Leigh West north of Sandhill?,No,replace_dir_token
City,south,Bridges,Is City south of Bridges?,Yes,no_change
City,south,Bridges,Is City north of Bridges?,No,replace_dir_token
Tonge with the Haulgh,south,North Jesmond,Is Tonge with the Haulgh south of North Jesmond?,Yes,no_change
Tonge with the Haulgh,south,North Jesmond,Is Tonge with the Haulgh north of North Jesmond?,No,replace_dir_token
Lower Stoke,south,Temple Newsam,Is Lower Stoke south of Temple Newsam?,Yes,no_change
Lower Stoke,south,Temple Newsam,Is Temple Newsam south of Lower Stoke?,No,flip_place
Sutton Trinity,south,West Derby,Is Sutton Trinity south of West Derby?,Yes,no_change
Sutton Trinity,south,West Derby,Is Sutton Trinity north of West Derby?,No,replace_dir_token
Wickersley,south,Dewsbury South,Is Wickersley south of Dewsbury South?,Yes,no_change
Wickersley,south,Dewsbury South,Is Dewsbury South south of Wickersley?,No,flip_place
Great Lever,south,Crompton,Is Great Lever south of Crompton?,Yes,no_change
Great Lever,south,Crompton,Is Crompton south of Great Lever?,No,flip_place
Garforth and Swillington,south,Lemington,Is Garforth and Swillington south of Lemington?,Yes,no_change
Garforth and Swillington,south,Lemington,Is Lemington south of Garforth and Swillington?,No,flip_place
Winton,south,Norden,Is Winton south of Norden?,Yes,no_change
