place1,dir,place2_Y,top,place2_Z,triplet,question,answer,transition
Holme Valley,south,Hipperholme and Lightcliffe,borders,Kirkburton,"Holme Valley is south Hipperholme and Lightcliffe, borders Kirkburton",Is Holme Valley south of Hipperholme and Lightcliffe and borders Kirkburton?,Yes,no_change
Holme Valley,south,Hipperholme and Lightcliffe,borders,Kirkburton,"Holme Valley is south Hipperholme and Lightcliffe, borders Kirkburton",Is Holme Valley north of Hipperholme and Lightcliffe and borders Kirkburton?,No,replace_dir_token
Weaste and Seedley,west,Stalybridge North,within,City of Salford,"Weaste and Seedley is west Stalybridge North, within City of Salford",Is Weaste and Seedley west of Stalybridge North and within City of Salford?,Yes,no_change
Weaste and Seedley,west,Stalybridge North,within,City of Salford,"Weaste and Seedley is west Stalybridge North, within City of Salford",Is Weaste and Seedley east of Stalybridge North and within City of Salford?,No,replace_dir_token
Weaste and Seedley,east,West Park,borders,Ordsall,"Weaste and Seedley is east West Park, borders Ordsall",Is Weaste and Seedley east of West Park and borders Ordsall?,Yes,no_change
Weaste and Seedley,east,West Park,borders,Ordsall,"Weaste and Seedley is east West Park, borders Ordsall",Is West Park east of Weaste and Seedley and borders Ordsall?,No,flip_place_y
Merry Hill,south,Washington East,within,Wolverhampton,"Merry Hill is south Washington East, within Wolverhampton",Is Merry Hill south of Washington East and within Wolverhampton?,Yes,no_change
Merry Hill,south,Washington East,within,Wolverhampton,"Merry Hill is south Washington East, within Wolverhampton",Is Washington East south of Merry Hill and within Wolverhampton?,No,flip_place_y
Merry Hill,west,Erdington,borders,Tettenhall Wightwick,"Merry Hill is west Erdington, borders Tettenhall Wightwick",Is Merry Hill west of Erdington and borders Tettenhall Wightwick?,Yes,no_change
Merry Hill,west,Erdington,borders,Tettenhall Wightwick,"Merry Hill is west Erdington, borders Tettenhall Wightwick",Is Merry Hill west of Erdington and within Tettenhall Wightwick?,No,replace_top_token
East Gosforth,north,Langley,within,Newcastle upon Tyne,"East Gosforth is north Langley, within Newcastle upon Tyne",Is East Gosforth north of Langley and within Newcastle upon Tyne?,Yes,no_change
East Gosforth,north,Langley,within,Newcastle upon Tyne,"East Gosforth is north Langley, within Newcastle upon Tyne",Is Newcastle upon Tyne north of Langley and within East Gosforth?,No,flip_place_z
East Gosforth,east,Blaydon,borders,Parklands,"East Gosforth is east Blaydon, borders Parklands",Is East Gosforth east of Blaydon and borders Parklands?,Yes,no_change
East Gosforth,east,Blaydon,borders,Parklands,"East Gosforth is east Blaydon, borders Parklands",Is Blaydon east of East Gosforth and borders Parklands?,No,flip_place_y
Middleton Park,east,Shaw,within,County Borough of Leeds,"Middleton Park is east Shaw, within County Borough of Leeds",Is Middleton Park east of Shaw and within County Borough of Leeds?,Yes,no_change
Middleton Park,east,Shaw,within,County Borough of Leeds,"Middleton Park is east Shaw, within County Borough of Leeds",Is County Borough of Leeds east of Shaw and within Middleton Park?,No,flip_place_z
Middleton Park,south,Camperdown,borders,Morley South,"Middleton Park is south Camperdown, borders Morley South",Is Middleton Park south of Camperdown and borders Morley South?,Yes,no_change
Middleton Park,south,Camperdown,borders,Morley South,"Middleton Park is south Camperdown, borders Morley South",Is Middleton Park north of Camperdown and borders Morley South?,No,replace_dir_token
Golborne and Lowton West,west,Wardle and West Littleborough,within,North West Euro Region,"Golborne and Lowton West is west Wardle and West Littleborough, within North West Euro Region",Is Golborne and Lowton West west of Wardle and West Littleborough and within North West Euro Region?,Yes,no_change
Golborne and Lowton West,west,Wardle and West Littleborough,within,North West Euro Region,"Golborne and Lowton West is west Wardle and West Littleborough, within North West Euro Region",Is North West Euro Region west of Wardle and West Littleborough and within Golborne and Lowton West?,No,flip_place_z
Golborne and Lowton West,east,Northwood,borders,Abram,"Golborne and Lowton West is east Northwood, borders Abram",Is Golborne and Lowton West east of Northwood and borders Abram?,Yes,no_change
Golborne and Lowton West,east,Northwood,borders,Abram,"Golborne and Lowton West is east Northwood, borders Abram",Is Golborne and Lowton West east of Northwood and within Abram?,No,replace_top_token
Davenport and Cale Green,north,Earlsdon,within,North West Euro Region,"Davenport and Cale Green is north Earlsdon, within North West Euro Region",Is Davenport and Cale Green north of Earlsdon and within North West Euro Region?,Yes,no_change
Davenport and Cale Green,north,Earlsdon,within,North West Euro Region,"Davenport and Cale Green is north Earlsdon, within North West Euro Region",Is North West Euro Region north of Earlsdon and within Davenport and Cale Green?,No,flip_place_z
Davenport and Cale Green,west,Broomhill & Sharrow Vale,borders,Edgeley and Cheadle Heath,"Davenport and Cale Green is west Broomhill & Sharrow Vale, borders Edgeley and Cheadle Heath",Is Davenport and Cale Green west of Broomhill & Sharrow Vale and borders Edgeley and Cheadle Heath?,Yes,no_change
Davenport and Cale Green,west,Broomhill & Sharrow Vale,borders,Edgeley and Cheadle Heath,"Davenport and Cale Green is west Broomhill & Sharrow Vale, borders Edgeley and Cheadle Heath",Is Edgeley and Cheadle Heath west of Broomhill & Sharrow Vale and borders Davenport and Cale Green?,No,flip_place_z
Wavertree,west,Hulme,within,Liverpool,"Wavertree is west Hulme, within Liverpool",Is Wavertree west of Hulme and within Liverpool?,Yes,no_change
Wavertree,west,Hulme,within,Liverpool,"Wavertree is west Hulme, within Liverpool",Is Hulme west of Wavertree and within Liverpool?,No,flip_place_y
Wavertree,south,Croxteth,borders,Church,"Wavertree is south Croxteth, borders Church",Is Wavertree south of Croxteth and borders Church?,Yes,no_change
Wavertree,south,Croxteth,borders,Church,"Wavertree is south Croxteth, borders Church",Is Wavertree north of Croxteth and borders Church?,No,replace_dir_token
Windle St Helens,north,Woolton,borders,Rainford,"Windle St Helens is north Woolton, borders Rainford",Is Windle St Helens north of Woolton and borders Rainford?,Yes,no_change
Windle St Helens,north,Woolton,borders,Rainford,"Windle St Helens is north Woolton, borders Rainford",Is Woolton north of Windle St Helens and borders Rainford?,No,flip_place_y
Winstanley,north,Wordsley,within,Metropolitan Borough of Wigan,"Winstanley is north Wordsley, within Metropolitan Borough of Wigan",Is Winstanley north of Wordsley and within Metropolitan Borough of Wigan?,Yes,no_change
Winstanley,north,Wordsley,within,Metropolitan Borough of Wigan,"Winstanley is north Wordsley, within Metropolitan Borough of Wigan",Is Wordsley north of Winstanley and within Metropolitan Borough of Wigan?,No,flip_place_y
Winstanley,west,Mossley,borders,Bryn,"Winstanley is west Mossley, borders Bryn",Is Winstanley west of Mossley and borders Bryn?,Yes,no_change
Winstanley,west,Mossley,borders,Bryn,"Winstanley is west Mossley, borders Bryn",Is Winstanley east of Mossley and borders Bryn?,No,replace_dir_token
Whitefield,west,Kirkstall,within,Metropolitan Borough of Knowsley,"Whitefield is west Kirkstall, within Metropolitan Borough of Knowsley",Is Whitefield west of Kirkstall and within Metropolitan Borough of Knowsley?,Yes,no_change
Whitefield,west,Kirkstall,within,Metropolitan Borough of Knowsley,"Whitefield is west Kirkstall, within Metropolitan Borough of Knowsley",Is Whitefield east of Kirkstall and within Metropolitan Borough of Knowsley?,No,replace_dir_token
Whitefield,north,Shirley East,borders,Shevington,"Whitefield is north Shirley East, borders Shevington",Is Whitefield north of Shirley East and borders Shevington?,Yes,no_change
Whitefield,north,Shirley East,borders,Shevington,"Whitefield is north Shirley East, borders Shevington",Is Shirley East north of Whitefield and borders Shevington?,No,flip_place_y
Norwood,west,Wrenthorpe and Outwood West,within,Metropolitan Borough of Sefton,"Norwood is west Wrenthorpe and Outwood West, within Metropolitan Borough of Sefton",Is Norwood west of Wrenthorpe and Outwood West and within Metropolitan Borough of Sefton?,Yes,no_change
Norwood,west,Wrenthorpe and Outwood West,within,Metropolitan Borough of Sefton,"Norwood is west Wrenthorpe and Outwood West, within Metropolitan Borough of Sefton",Is Metropolitan Borough of Sefton west of Wrenthorpe and Outwood West and within Norwood?,No,flip_place_z
Norwood,north,Perry Barr,borders,Cambridge,"Norwood is north Perry Barr, borders Cambridge",Is Norwood north of Perry Barr and borders Cambridge?,Yes,no_change
Norwood,north,Perry Barr,borders,Cambridge,"Norwood is north Perry Barr, borders Cambridge",Is Cambridge north of Perry Barr and borders Norwood?,No,flip_place_z
Sharston,south,Wyke,within,Manchester,"Sharston is south Wyke, within Manchester",Is Sharston south of Wyke and within Manchester?,Yes,no_change
Sharston,south,Wyke,within,Manchester,"Sharston is south Wyke, within Manchester",Is Sharston south of Wyke and borders Manchester?,No,replace_top_token
Sharston,north,Cradley Heath and Old Hill,borders,Baguley,"Sharston is north Cradley Heath and Old Hill, borders Baguley",Is Sharston north of Cradley Heath and Old Hill and borders Baguley?,Yes,no_change
Sharston,north,Cradley Heath and Old Hill,borders,Baguley,"Sharston is north Cradley Heath and Old Hill, borders Baguley",Is Sharston north of Cradley Heath and Old Hill and within Baguley?,No,replace_top_token
Hoylake and Meols,west,Redvales,within,Metropolitan Borough of Wirral,"Hoylake and Meols is west Redvales, within Metropolitan Borough of Wirral",Is Hoylake and Meols west of Redvales and within Metropolitan Borough of Wirral?,Yes,no_change
Hoylake and Meols,west,Redvales,within,Metropolitan Borough of Wirral,"Hoylake and Meols is west Redvales, within Metropolitan Borough of Wirral",Is Metropolitan Borough of Wirral west of Redvales and within Hoylake and Meols?,No,flip_place_z
Hoylake and Meols,south,Whitley Bay,borders,West Kirby and Thurstaston,"Hoylake and Meols is south Whitley Bay, borders West Kirby and Thurstaston",Is Hoylake and Meols south of Whitley Bay and borders West Kirby and Thurstaston?,Yes,no_change
Hoylake and Meols,south,Whitley Bay,borders,West Kirby and Thurstaston,"Hoylake and Meols is south Whitley Bay, borders West Kirby and Thurstaston",Is Whitley Bay south of Hoylake and Meols and borders West Kirby and Thurstaston?,No,flip_place_y
Almondbury,south,Keighley East,within,Yorkshire and the Humber Euro Region,"Almondbury is south Keighley East, within Yorkshire and the Humber Euro Region",Is Almondbury south of Keighley East and within Yorkshire and the Humber Euro Region?,Yes,no_change
Almondbury,south,Keighley East,within,Yorkshire and the Humber Euro Region,"Almondbury is south Keighley East, within Yorkshire and the Humber Euro Region",Is Yorkshire and the Humber Euro Region south of Keighley East and within Almondbury?,No,flip_place_z
Almondbury,east,Pensby and Thingwall,borders,Newsome,"Almondbury is east Pensby and Thingwall, borders Newsome",Is Almondbury east of Pensby and Thingwall and borders Newsome?,Yes,no_change
Almondbury,east,Pensby and Thingwall,borders,Newsome,"Almondbury is east Pensby and Thingwall, borders Newsome",Is Newsome east of Pensby and Thingwall and borders Almondbury?,No,flip_place_z
Parklands,north,East Gosforth,within,Newcastle upon Tyne,"Parklands is north East Gosforth, within Newcastle upon Tyne",Is Parklands north of East Gosforth and within Newcastle upon Tyne?,Yes,no_change
Parklands,north,East Gosforth,within,Newcastle upon Tyne,"Parklands is north East Gosforth, within Newcastle upon Tyne",Is Parklands south of East Gosforth and within Newcastle upon Tyne?,No,replace_dir_token
Parklands,west,Primrose,borders,Weetslade,"Parklands is west Primrose, borders Weetslade",Is Parklands west of Primrose and borders Weetslade?,Yes,no_change
Parklands,west,Primrose,borders,Weetslade,"Parklands is west Primrose, borders Weetslade",Is Parklands west of Primrose and within Weetslade?,No,replace_top_token
Claughton,south,Preston,within,Metropolitan Borough of Wirral,"Claughton is south Preston, within Metropolitan Borough of Wirral",Is Claughton south of Preston and within Metropolitan Borough of Wirral?,Yes,no_change
Claughton,south,Preston,within,Metropolitan Borough of Wirral,"Claughton is south Preston, within Metropolitan Borough of Wirral",Is Preston south of Claughton and within Metropolitan Borough of Wirral?,No,flip_place_y
Claughton,north,Blythe,borders,Birkenhead and Tranmere,"Claughton is north Blythe, borders Birkenhead and Tranmere",Is Claughton north of Blythe and borders Birkenhead and Tranmere?,Yes,no_change
Claughton,north,Blythe,borders,Birkenhead and Tranmere,"Claughton is north Blythe, borders Birkenhead and Tranmere",Is Blythe north of Claughton and borders Birkenhead and Tranmere?,No,flip_place_y
Healey,north,Ladywood,within,North West Euro Region,"Healey is north Ladywood, within North West Euro Region",Is Healey north of Ladywood and within North West Euro Region?,Yes,no_change
Healey,north,Ladywood,within,North West Euro Region,"Healey is north Ladywood, within North West Euro Region",Is Healey south of Ladywood and within North West Euro Region?,No,replace_dir_token
Healey,east,Bebington,borders,Wardle and West Littleborough,"Healey is east Bebington, borders Wardle and West Littleborough",Is Healey east of Bebington and borders Wardle and West Littleborough?,Yes,no_change
Healey,east,Bebington,borders,Wardle and West Littleborough,"Healey is east Bebington, borders Wardle and West Littleborough",Is Bebington east of Healey and borders Wardle and West Littleborough?,No,flip_place_y
Windhill and Wrose,east,Winstanley,within,City of Bradford,"Windhill and Wrose is east Winstanley, within City of Bradford",Is Windhill and Wrose east of Winstanley and within City of Bradford?,Yes,no_change
Windhill and Wrose,east,Winstanley,within,City of Bradford,"Windhill and Wrose is east Winstanley, within City of Bradford",Is Windhill and Wrose west of Winstanley and within City of Bradford?,No,replace_dir_token
Windhill and Wrose,north,Longford,borders,Idle and Thackley,"Windhill and Wrose is north Longford, borders Idle and Thackley",Is Windhill and Wrose north of Longford and borders Idle and Thackley?,Yes,no_change
Windhill and Wrose,north,Longford,borders,Idle and Thackley,"Windhill and Wrose is north Longford, borders Idle and Thackley",Is Longford north of Windhill and Wrose and borders Idle and Thackley?,No,flip_place_y
Manor,east,Harington,within,Metropolitan Borough of Sefton,"Manor is east Harington, within Metropolitan Borough of Sefton",Is Manor east of Harington and within Metropolitan Borough of Sefton?,Yes,no_change
Manor,east,Harington,within,Metropolitan Borough of Sefton,"Manor is east Harington, within Metropolitan Borough of Sefton",Is Manor east of Harington and borders Metropolitan Borough of Sefton?,No,replace_top_token
Manor,north,Blakenall,borders,Bredbury Green and Romiley,"Manor is north Blakenall, borders Bredbury Green and Romiley",Is Manor north of Blakenall and borders Bredbury Green and Romiley?,Yes,no_change
Manor,north,Blakenall,borders,Bredbury Green and Romiley,"Manor is north Blakenall, borders Bredbury Green and Romiley",Is Manor north of Blakenall and within Bredbury Green and Romiley?,No,replace_top_token
Elmdon,east,St. Pauls,within,Metropolitan Borough of Solihull,"Elmdon is east St. Pauls, within Metropolitan Borough of Solihull",Is Elmdon east of St. Pauls and within Metropolitan Borough of Solihull?,Yes,no_change
Elmdon,east,St. Pauls,within,Metropolitan Borough of Solihull,"Elmdon is east St. Pauls, within Metropolitan Borough of Solihull",Is Elmdon east of St. Pauls and borders Metropolitan Borough of Solihull?,No,replace_top_token
Elmdon,south,Bamford,borders,Lyndon,"Elmdon is south Bamford, borders Lyndon",Is Elmdon south of Bamford and borders Lyndon?,Yes,no_change
Elmdon,south,Bamford,borders,Lyndon,"Elmdon is south Bamford, borders Lyndon",Is Lyndon south of Bamford and borders Elmdon?,No,flip_place_z
Milnrow and Newhey,south,West Gosforth,within,Metropolitan Borough of Rochdale,"Milnrow and Newhey is south West Gosforth, within Metropolitan Borough of Rochdale",Is Milnrow and Newhey south of West Gosforth and within Metropolitan Borough of Rochdale?,Yes,no_change
Milnrow and Newhey,south,West Gosforth,within,Metropolitan Borough of Rochdale,"Milnrow and Newhey is south West Gosforth, within Metropolitan Borough of Rochdale",Is Metropolitan Borough of Rochdale south of West Gosforth and within Milnrow and Newhey?,No,flip_place_z
Milnrow and Newhey,east,Davyhulme East,borders,Saddleworth North,"Milnrow and Newhey is east Davyhulme East, borders Saddleworth North",Is Milnrow and Newhey east of Davyhulme East and borders Saddleworth North?,Yes,no_change
Milnrow and Newhey,east,Davyhulme East,borders,Saddleworth North,"Milnrow and Newhey is east Davyhulme East, borders Saddleworth North",Is Milnrow and Newhey east of Davyhulme East and within Saddleworth North?,No,replace_top_token
Illingworth and Mixenden,south,Blaydon,within,Calderdale,"Illingworth and Mixenden is south Blaydon, within Calderdale",Is Illingworth and Mixenden south of Blaydon and within Calderdale?,Yes,no_change
Illingworth and Mixenden,south,Blaydon,within,Calderdale,"Illingworth and Mixenden is south Blaydon, within Calderdale",Is Illingworth and Mixenden north of Blaydon and within Calderdale?,No,replace_dir_token
Illingworth and Mixenden,west,Roman Ridge,borders,Luddendenfoot,"Illingworth and Mixenden is west Roman Ridge, borders Luddendenfoot",Is Illingworth and Mixenden west of Roman Ridge and borders Luddendenfoot?,Yes,no_change
Illingworth and Mixenden,west,Roman Ridge,borders,Luddendenfoot,"Illingworth and Mixenden is west Roman Ridge, borders Luddendenfoot",Is Roman Ridge west of Illingworth and Mixenden and borders Luddendenfoot?,No,flip_place_y
Norton & Askern,east,Ashton Waterloo,within,Metropolitan Borough of Doncaster,"Norton & Askern is east Ashton Waterloo, within Metropolitan Borough of Doncaster",Is Norton & Askern east of Ashton Waterloo and within Metropolitan Borough of Doncaster?,Yes,no_change
Norton & Askern,east,Ashton Waterloo,within,Metropolitan Borough of Doncaster,"Norton & Askern is east Ashton Waterloo, within Metropolitan Borough of Doncaster",Is Norton & Askern west of Ashton Waterloo and within Metropolitan Borough of Doncaster?,No,replace_dir_token
Norton & Askern,north,Sheldon,borders,Stainforth & Barnby Dun,"Norton & Askern is north Sheldon, borders Stainforth & Barnby Dun",Is Norton & Askern north of Sheldon and borders Stainforth & Barnby Dun?,Yes,no_change
Norton & Askern,north,Sheldon,borders,Stainforth & Barnby Dun,"Norton & Askern is north Sheldon, borders Stainforth & Barnby Dun",Is Norton & Askern south of Sheldon and borders Stainforth & Barnby Dun?,No,replace_dir_token
Winlaton and High Spen,north,Luddendenfoot,within,Metropolitan Borough of Gateshead,"Winlaton and High Spen is north Luddendenfoot, within Metropolitan Borough of Gateshead",Is Winlaton and High Spen north of Luddendenfoot and within Metropolitan Borough of Gateshead?,Yes,no_change
Winlaton and High Spen,north,Luddendenfoot,within,Metropolitan Borough of Gateshead,"Winlaton and High Spen is north Luddendenfoot, within Metropolitan Borough of Gateshead",Is Winlaton and High Spen north of Luddendenfoot and borders Metropolitan Borough of Gateshead?,No,replace_top_token
Winlaton and High Spen,west,West Gosforth,borders,Blaydon,"Winlaton and High Spen is west West Gosforth, borders Blaydon",Is Winlaton and High Spen west of West Gosforth and borders Blaydon?,Yes,no_change
Winlaton and High Spen,west,West Gosforth,borders,Blaydon,"Winlaton and High Spen is west West Gosforth, borders Blaydon",Is Blaydon west of West Gosforth and borders Winlaton and High Spen?,No,flip_place_z
Silksworth,north,Ravenmeols,within,City of Sunderland,"Silksworth is north Ravenmeols, within City of Sunderland",Is Silksworth north of Ravenmeols and within City of Sunderland?,Yes,no_change
Silksworth,north,Ravenmeols,within,City of Sunderland,"Silksworth is north Ravenmeols, within City of Sunderland",Is City of Sunderland north of Ravenmeols and within Silksworth?,No,flip_place_z
Silksworth,east,Shiney Row,borders,Doxford,"Silksworth is east Shiney Row, borders Doxford",Is Silksworth east of Shiney Row and borders Doxford?,Yes,no_change
Silksworth,east,Shiney Row,borders,Doxford,"Silksworth is east Shiney Row, borders Doxford",Is Doxford east of Shiney Row and borders Silksworth?,No,flip_place_z
Radcliffe West,east,Blackrod,within,Metropolitan Borough of Bury,"Radcliffe West is east Blackrod, within Metropolitan Borough of Bury",Is Radcliffe West east of Blackrod and within Metropolitan Borough of Bury?,Yes,no_change
Radcliffe West,east,Blackrod,within,Metropolitan Borough of Bury,"Radcliffe West is east Blackrod, within Metropolitan Borough of Bury",Is Radcliffe West west of Blackrod and within Metropolitan Borough of Bury?,No,replace_dir_token
Radcliffe West,north,St. Alphege,borders,Radcliffe North,"Radcliffe West is north St. Alphege, borders Radcliffe North",Is Radcliffe West north of St. Alphege and borders Radcliffe North?,Yes,no_change
Radcliffe West,north,St. Alphege,borders,Radcliffe North,"Radcliffe West is north St. Alphege, borders Radcliffe North",Is Radcliffe West north of St. Alphege and within Radcliffe North?,No,replace_top_token
Normanton West Yorkshire,south,Washington West,borders,Wakefield South,"Normanton West Yorkshire is south Washington West, borders Wakefield South",Is Normanton West Yorkshire south of Washington West and borders Wakefield South?,Yes,no_change
Normanton West Yorkshire,south,Washington West,borders,Wakefield South,"Normanton West Yorkshire is south Washington West, borders Wakefield South",Is Washington West south of Normanton West Yorkshire and borders Wakefield South?,No,flip_place_y
Chadderton South,north,Hulme,within,Metropolitan Borough of Oldham,"Chadderton South is north Hulme, within Metropolitan Borough of Oldham",Is Chadderton South north of Hulme and within Metropolitan Borough of Oldham?,Yes,no_change
Chadderton South,north,Hulme,within,Metropolitan Borough of Oldham,"Chadderton South is north Hulme, within Metropolitan Borough of Oldham",Is Chadderton South south of Hulme and within Metropolitan Borough of Oldham?,No,replace_dir_token
Chadderton South,east,Victoria,borders,Hollinwood,"Chadderton South is east Victoria, borders Hollinwood",Is Chadderton South east of Victoria and borders Hollinwood?,Yes,no_change
Chadderton South,east,Victoria,borders,Hollinwood,"Chadderton South is east Victoria, borders Hollinwood",Is Chadderton South west of Victoria and borders Hollinwood?,No,replace_dir_token
St. Alphege,south,Croxteth,within,Metropolitan Borough of Solihull,"St. Alphege is south Croxteth, within Metropolitan Borough of Solihull",Is St. Alphege south of Croxteth and within Metropolitan Borough of Solihull?,Yes,no_change
St. Alphege,south,Croxteth,within,Metropolitan Borough of Solihull,"St. Alphege is south Croxteth, within Metropolitan Borough of Solihull",Is St. Alphege north of Croxteth and within Metropolitan Borough of Solihull?,No,replace_dir_token
St. Alphege,east,Northfield,borders,Blythe,"St. Alphege is east Northfield, borders Blythe",Is St. Alphege east of Northfield and borders Blythe?,Yes,no_change
St. Alphege,east,Northfield,borders,Blythe,"St. Alphege is east Northfield, borders Blythe",Is St. Alphege east of Northfield and within Blythe?,No,replace_top_token
Houghton,north,Springfield,within,City of Sunderland,"Houghton is north Springfield, within City of Sunderland",Is Houghton north of Springfield and within City of Sunderland?,Yes,no_change
Houghton,north,Springfield,within,City of Sunderland,"Houghton is north Springfield, within City of Sunderland",Is Houghton north of Springfield and borders City of Sunderland?,No,replace_top_token
Houghton,south,Pelaw and Heworth,borders,Hetton-le-Hole,"Houghton is south Pelaw and Heworth, borders Hetton-le-Hole",Is Houghton south of Pelaw and Heworth and borders Hetton-le-Hole?,Yes,no_change
Houghton,south,Pelaw and Heworth,borders,Hetton-le-Hole,"Houghton is south Pelaw and Heworth, borders Hetton-le-Hole",Is Hetton-le-Hole south of Pelaw and Heworth and borders Houghton?,No,flip_place_z
South Yardley,south,Kenton,within,West Midlands Euro Region,"South Yardley is south Kenton, within West Midlands Euro Region",Is South Yardley south of Kenton and within West Midlands Euro Region?,Yes,no_change
South Yardley,south,Kenton,within,West Midlands Euro Region,"South Yardley is south Kenton, within West Midlands Euro Region",Is West Midlands Euro Region south of Kenton and within South Yardley?,No,flip_place_z
South Yardley,east,Upper Gornal and Woodsetton,borders,Stechford and Yardley North,"South Yardley is east Upper Gornal and Woodsetton, borders Stechford and Yardley North",Is South Yardley east of Upper Gornal and Woodsetton and borders Stechford and Yardley North?,Yes,no_change
South Yardley,east,Upper Gornal and Woodsetton,borders,Stechford and Yardley North,"South Yardley is east Upper Gornal and Woodsetton, borders Stechford and Yardley North",Is South Yardley west of Upper Gornal and Woodsetton and borders Stechford and Yardley North?,No,replace_dir_token
Everton,south,St. Michael's,within,North West Euro Region,"Everton is south St. Michael's, within North West Euro Region",Is Everton south of St. Michael's and within North West Euro Region?,Yes,no_change
Everton,south,St. Michael's,within,North West Euro Region,"Everton is south St. Michael's, within North West Euro Region",Is St. Michael's south of Everton and within North West Euro Region?,No,flip_place_y
Everton,west,Atherleigh,borders,Kensington and Fairfield,"Everton is west Atherleigh, borders Kensington and Fairfield",Is Everton west of Atherleigh and borders Kensington and Fairfield?,Yes,no_change
Everton,west,Atherleigh,borders,Kensington and Fairfield,"Everton is west Atherleigh, borders Kensington and Fairfield",Is Atherleigh west of Everton and borders Kensington and Fairfield?,No,flip_place_y
Hoober,east,Longford,within,Yorkshire and the Humber Euro Region,"Hoober is east Longford, within Yorkshire and the Humber Euro Region",Is Hoober east of Longford and within Yorkshire and the Humber Euro Region?,Yes,no_change
Hoober,east,Longford,within,Yorkshire and the Humber Euro Region,"Hoober is east Longford, within Yorkshire and the Humber Euro Region",Is Hoober west of Longford and within Yorkshire and the Humber Euro Region?,No,replace_dir_token
Hoober,north,Coseley East,borders,Wingfield,"Hoober is north Coseley East, borders Wingfield",Is Hoober north of Coseley East and borders Wingfield?,Yes,no_change
Hoober,north,Coseley East,borders,Wingfield,"Hoober is north Coseley East, borders Wingfield",Is Coseley East north of Hoober and borders Wingfield?,No,flip_place_y
Halesowen South,west,Elmdon,within,Metropolitan Borough of Dudley,"Halesowen South is west Elmdon, within Metropolitan Borough of Dudley",Is Halesowen South west of Elmdon and within Metropolitan Borough of Dudley?,Yes,no_change
Halesowen South,west,Elmdon,within,Metropolitan Borough of Dudley,"Halesowen South is west Elmdon, within Metropolitan Borough of Dudley",Is Metropolitan Borough of Dudley west of Elmdon and within Halesowen South?,No,flip_place_z
Halesowen South,south,Didsbury West,borders,Quinton,"Halesowen South is south Didsbury West, borders Quinton",Is Halesowen South south of Didsbury West and borders Quinton?,Yes,no_change
Halesowen South,south,Didsbury West,borders,Quinton,"Halesowen South is south Didsbury West, borders Quinton",Is Quinton south of Didsbury West and borders Halesowen South?,No,flip_place_z
Hazel Grove,north,Birchills Leamore,within,North West Euro Region,"Hazel Grove is north Birchills Leamore, within North West Euro Region",Is Hazel Grove north of Birchills Leamore and within North West Euro Region?,Yes,no_change
Hazel Grove,north,Birchills Leamore,within,North West Euro Region,"Hazel Grove is north Birchills Leamore, within North West Euro Region",Is Birchills Leamore north of Hazel Grove and within North West Euro Region?,No,flip_place_y
Hazel Grove,south,Castle Eden,borders,Stepping Hill,"Hazel Grove is south Castle Eden, borders Stepping Hill",Is Hazel Grove south of Castle Eden and borders Stepping Hill?,Yes,no_change
Hazel Grove,south,Castle Eden,borders,Stepping Hill,"Hazel Grove is south Castle Eden, borders Stepping Hill",Is Hazel Grove north of Castle Eden and borders Stepping Hill?,No,replace_dir_token
Dukinfield,south,Lamesley,within,Tameside,"Dukinfield is south Lamesley, within Tameside",Is Dukinfield south of Lamesley and within Tameside?,Yes,no_change
Dukinfield,south,Lamesley,within,Tameside,"Dukinfield is south Lamesley, within Tameside",Is Dukinfield north of Lamesley and within Tameside?,No,replace_dir_token
Dukinfield,north,Aldridge North and Walsall Wood,borders,Ashton St. Michael's,"Dukinfield is north Aldridge North and Walsall Wood, borders Ashton St. Michael's",Is Dukinfield north of Aldridge North and Walsall Wood and borders Ashton St. Michael's?,Yes,no_change
Dukinfield,north,Aldridge North and Walsall Wood,borders,Ashton St. Michael's,"Dukinfield is north Aldridge North and Walsall Wood, borders Ashton St. Michael's",Is Dukinfield south of Aldridge North and Walsall Wood and borders Ashton St. Michael's?,No,replace_dir_token
Pelaw and Heworth,north,Wetherby,within,Metropolitan Borough of Gateshead,"Pelaw and Heworth is north Wetherby, within Metropolitan Borough of Gateshead",Is Pelaw and Heworth north of Wetherby and within Metropolitan Borough of Gateshead?,Yes,no_change
Pelaw and Heworth,north,Wetherby,within,Metropolitan Borough of Gateshead,"Pelaw and Heworth is north Wetherby, within Metropolitan Borough of Gateshead",Is Pelaw and Heworth south of Wetherby and within Metropolitan Borough of Gateshead?,No,replace_dir_token
Pelaw and Heworth,east,Dunston Hill and Whickham East,borders,Felling,"Pelaw and Heworth is east Dunston Hill and Whickham East, borders Felling",Is Pelaw and Heworth east of Dunston Hill and Whickham East and borders Felling?,Yes,no_change
Pelaw and Heworth,east,Dunston Hill and Whickham East,borders,Felling,"Pelaw and Heworth is east Dunston Hill and Whickham East, borders Felling",Is Dunston Hill and Whickham East east of Pelaw and Heworth and borders Felling?,No,flip_place_y
Valley,east,Everton,within,North Tyneside,"Valley is east Everton, within North Tyneside",Is Valley east of Everton and within North Tyneside?,Yes,no_change
Valley,east,Everton,within,North Tyneside,"Valley is east Everton, within North Tyneside",Is Valley west of Everton and within North Tyneside?,No,replace_dir_token
