place1,dir,place2_Y,top,place2_Z,dis,place2_W,triplet,question,answer,transition
Perry Barr,north,Shirley South,borders,Lozells and East Handsworth,far,Rainhill,"Perry Barr is borders Lozells and East Handsworth, far to Rainhill, and north of Shirley South",Does Perry Barr border Lozells and East Handsworth and far to Rainhill and south of Shirley South?,No,replace_dir_token
Central Rochdale,north,Lower Stoke,borders,Spotland and Falinge,far,Doxey,"Central Rochdale is borders Spotland and Falinge, far to Doxey, and north of Lower Stoke",Does Central Rochdale border Spotland and Falinge and far to Doxey and north of Lower Stoke?,Yes,no_change
Central Rochdale,north,Lower Stoke,borders,Spotland and Falinge,far,Doxey,"Central Rochdale is borders Spotland and Falinge, far to Doxey, and north of Lower Stoke",Does Central Rochdale border Spotland and Falinge and near to Doxey and north of Lower Stoke?,No,replace_dis_token
Marple North,north,Cradley and Wollescote,borders,Marple South,far,Yew Tree,"Marple North is borders Marple South, far to Yew Tree, and north of Cradley and Wollescote",Does Marple North border Marple South and far to Yew Tree and north of Cradley and Wollescote?,Yes,no_change
Marple North,north,Cradley and Wollescote,borders,Marple South,far,Yew Tree,"Marple North is borders Marple South, far to Yew Tree, and north of Cradley and Wollescote",Does Marple North border Marple South and near to Yew Tree and north of Cradley and Wollescote?,No,replace_dis_token
Wardley and Leam Lane,north,Northwood,borders,Fellgate and Hedworth,far,Penistone,"Wardley and Leam Lane is borders Fellgate and Hedworth, far to Penistone, and north of Northwood",Does Wardley and Leam Lane border Fellgate and Hedworth and far to Penistone and north of Northwood?,Yes,no_change
Wardley and Leam Lane,north,Northwood,borders,Fellgate and Hedworth,far,Penistone,"Wardley and Leam Lane is borders Fellgate and Hedworth, far to Penistone, and north of Northwood",Does Wardley and Leam Lane border Fellgate and Hedworth and far to Penistone and south of Northwood?,No,replace_dir_token
Fazakerley,north,Smethwick,borders,Molyneux,far,Whitburn and Marsden,"Fazakerley is borders Molyneux, far to Whitburn and Marsden, and north of Smethwick",Does Fazakerley border Molyneux and far to Whitburn and Marsden and north of Smethwick?,Yes,no_change
Fazakerley,north,Smethwick,borders,Molyneux,far,Whitburn and Marsden,"Fazakerley is borders Molyneux, far to Whitburn and Marsden, and north of Smethwick",Does Fazakerley border Molyneux and near to Whitburn and Marsden and north of Smethwick?,No,replace_dis_token
Ecclesall,north,Bilston North,borders,Nether Edge & Sharrow,far,North Heaton,"Ecclesall is borders Nether Edge & Sharrow, far to North Heaton, and north of Bilston North",Does Ecclesall border Nether Edge & Sharrow and far to North Heaton and north of Bilston North?,Yes,no_change
Ecclesall,north,Bilston North,borders,Nether Edge & Sharrow,far,North Heaton,"Ecclesall is borders Nether Edge & Sharrow, far to North Heaton, and north of Bilston North",Does Nether Edge & Sharrow border Ecclesall and far to North Heaton and north of Bilston North?,No,flip_place
Longsight,north,Charlemont with Grove Vale,borders,Gorton South,far,Stainforth & Barnby Dun,"Longsight is borders Gorton South, far to Stainforth & Barnby Dun, and north of Charlemont with Grove Vale",Does Longsight border Gorton South and far to Stainforth & Barnby Dun and north of Charlemont with Grove Vale?,Yes,no_change
Longsight,north,Charlemont with Grove Vale,borders,Gorton South,far,Stainforth & Barnby Dun,"Longsight is borders Gorton South, far to Stainforth & Barnby Dun, and north of Charlemont with Grove Vale",Does Longsight border Gorton South and far to Stainforth & Barnby Dun and south of Charlemont with Grove Vale?,No,replace_dir_token
Washington East,north,St. Michael's,borders,Castle Eden,far,Wollaston and Stourbridge Town,"Washington East is borders Castle Eden, far to Wollaston and Stourbridge Town, and north of St. Michael's",Does Washington East border Castle Eden and far to Wollaston and Stourbridge Town and north of St. Michael's?,Yes,no_change
Washington East,north,St. Michael's,borders,Castle Eden,far,Wollaston and Stourbridge Town,"Washington East is borders Castle Eden, far to Wollaston and Stourbridge Town, and north of St. Michael's",Does Castle Eden border Washington East and far to Wollaston and Stourbridge Town and north of St. Michael's?,No,flip_place
Altofts and Whitwood,north,Rotherham West,borders,Castleford Central and Glasshoughton,far,Dorridge and Hockley Heath,"Altofts and Whitwood is borders Castleford Central and Glasshoughton, far to Dorridge and Hockley Heath, and north of Rotherham West",Does Altofts and Whitwood border Castleford Central and Glasshoughton and far to Dorridge and Hockley Heath and north of Rotherham West?,Yes,no_change
Altofts and Whitwood,north,Rotherham West,borders,Castleford Central and Glasshoughton,far,Dorridge and Hockley Heath,"Altofts and Whitwood is borders Castleford Central and Glasshoughton, far to Dorridge and Hockley Heath, and north of Rotherham West",Does Altofts and Whitwood border Castleford Central and Glasshoughton and near to Dorridge and Hockley Heath and north of Rotherham West?,No,replace_dis_token
Priory,north,Silhill,borders,Stretford,far,St. Peter's,"Priory is borders Stretford, far to St. Peter's, and north of Silhill",Does Priory border Stretford and far to St. Peter's and north of Silhill?,Yes,no_change
Priory,north,Silhill,borders,Stretford,far,St. Peter's,"Priory is borders Stretford, far to St. Peter's, and north of Silhill",Does Priory border Stretford and far to St. Peter's and south of Silhill?,No,replace_dir_token
Washington West,north,Lindley,borders,Washington South,far,Wigan Central,"Washington West is borders Washington South, far to Wigan Central, and north of Lindley",Does Washington West border Washington South and far to Wigan Central and north of Lindley?,Yes,no_change
Washington West,north,Lindley,borders,Washington South,far,Wigan Central,"Washington West is borders Washington South, far to Wigan Central, and north of Lindley",Does Washington South border Washington West and far to Wigan Central and north of Lindley?,No,flip_place
Rotherham East,north,Bentley and Darlaston North,borders,Rawmarsh,far,Washington North,"Rotherham East is borders Rawmarsh, far to Washington North, and north of Bentley and Darlaston North",Does Rotherham East border Rawmarsh and far to Washington North and north of Bentley and Darlaston North?,Yes,no_change
Rotherham East,north,Bentley and Darlaston North,borders,Rawmarsh,far,Washington North,"Rotherham East is borders Rawmarsh, far to Washington North, and north of Bentley and Darlaston North",Does Rawmarsh border Rotherham East and far to Washington North and north of Bentley and Darlaston North?,No,flip_place
Walkergate,north,Kings Norton,borders,Walker,far,Wrenthorpe and Outwood West,"Walkergate is borders Walker, far to Wrenthorpe and Outwood West, and north of Kings Norton",Does Walkergate border Walker and far to Wrenthorpe and Outwood West and north of Kings Norton?,Yes,no_change
Walkergate,north,Kings Norton,borders,Walker,far,Wrenthorpe and Outwood West,"Walkergate is borders Walker, far to Wrenthorpe and Outwood West, and north of Kings Norton",Does Walkergate border Walker and near to Wrenthorpe and Outwood West and north of Kings Norton?,No,replace_dis_token
Oldbury,north,Halesowen South,borders,Great Bridge,far,Rother Vale,"Oldbury is borders Great Bridge, far to Rother Vale, and north of Halesowen South",Does Oldbury border Great Bridge and far to Rother Vale and north of Halesowen South?,Yes,no_change
Oldbury,north,Halesowen South,borders,Great Bridge,far,Rother Vale,"Oldbury is borders Great Bridge, far to Rother Vale, and north of Halesowen South",Does Oldbury border Great Bridge and far to Rother Vale and south of Halesowen South?,No,replace_dir_token
Rumworth,east,Speke-Garston,within,Metropolitan Borough of Bolton,near,Horwich,"Rumworth is within Metropolitan Borough of Bolton, near to Horwich, and east of Speke-Garston",Is Rumworth within Metropolitan Borough of Bolton and near to Horwich and east of Speke-Garston?,Yes,no_change
Rumworth,east,Speke-Garston,within,Metropolitan Borough of Bolton,near,Horwich,"Rumworth is within Metropolitan Borough of Bolton, near to Horwich, and east of Speke-Garston",Is Metropolitan Borough of Bolton within Rumworth and near to Horwich and east of Speke-Garston?,No,flip_place
Willenhall North,east,Blakenhall,within,Metropolitan Borough of Walsall,near,Willenhall South,"Willenhall North is within Metropolitan Borough of Walsall, near to Willenhall South, and east of Blakenhall",Is Willenhall North within Metropolitan Borough of Walsall and near to Willenhall South and east of Blakenhall?,Yes,no_change
Willenhall North,east,Blakenhall,within,Metropolitan Borough of Walsall,near,Willenhall South,"Willenhall North is within Metropolitan Borough of Walsall, near to Willenhall South, and east of Blakenhall",Is Willenhall North within Metropolitan Borough of Walsall and near to Willenhall South and west of Blakenhall?,No,replace_dir_token
Knottingley,east,Ordsall,within,Yorkshire and the Humber Euro Region,near,Pontefract South,"Knottingley is within Yorkshire and the Humber Euro Region, near to Pontefract South, and east of Ordsall",Is Knottingley within Yorkshire and the Humber Euro Region and near to Pontefract South and east of Ordsall?,Yes,no_change
Knottingley,east,Ordsall,within,Yorkshire and the Humber Euro Region,near,Pontefract South,"Knottingley is within Yorkshire and the Humber Euro Region, near to Pontefract South, and east of Ordsall",Is Yorkshire and the Humber Euro Region within Knottingley and near to Pontefract South and east of Ordsall?,No,flip_place
Flixton,east,Warbreck,within,Trafford,near,Winton,"Flixton is within Trafford, near to Winton, and east of Warbreck",Is Flixton within Trafford and near to Winton and east of Warbreck?,Yes,no_change
Flixton,east,Warbreck,within,Trafford,near,Winton,"Flixton is within Trafford, near to Winton, and east of Warbreck",Is Trafford within Flixton and near to Winton and east of Warbreck?,No,flip_place
Heckmondwike,east,Crompton,within,Kirklees,near,Kirkburton,"Heckmondwike is within Kirklees, near to Kirkburton, and east of Crompton",Is Heckmondwike within Kirklees and near to Kirkburton and east of Crompton?,Yes,no_change
Heckmondwike,east,Crompton,within,Kirklees,near,Kirkburton,"Heckmondwike is within Kirklees, near to Kirkburton, and east of Crompton",Is Heckmondwike within Kirklees and near to Kirkburton and west of Crompton?,No,replace_dir_token
Rowley,east,Gornal,within,Sandwell,near,St. Pauls,"Rowley is within Sandwell, near to St. Pauls, and east of Gornal",Is Rowley within Sandwell and near to St. Pauls and east of Gornal?,Yes,no_change
Rowley,east,Gornal,within,Sandwell,near,St. Pauls,"Rowley is within Sandwell, near to St. Pauls, and east of Gornal",Is Sandwell within Rowley and near to St. Pauls and east of Gornal?,No,flip_place
Irwell Riverside,east,Orrell,within,City of Salford,near,Ordsall,"Irwell Riverside is within City of Salford, near to Ordsall, and east of Orrell",Is Irwell Riverside within City of Salford and near to Ordsall and east of Orrell?,Yes,no_change
Irwell Riverside,east,Orrell,within,City of Salford,near,Ordsall,"Irwell Riverside is within City of Salford, near to Ordsall, and east of Orrell",Does Irwell Riverside border City of Salford and near to Ordsall and east of Orrell?,No,replace_top_token
Erdington,east,Friar Park,within,Birmingham,near,South Yardley,"Erdington is within Birmingham, near to South Yardley, and east of Friar Park",Is Erdington within Birmingham and near to South Yardley and east of Friar Park?,Yes,no_change
Erdington,east,Friar Park,within,Birmingham,near,South Yardley,"Erdington is within Birmingham, near to South Yardley, and east of Friar Park",Is Erdington within Birmingham and far to South Yardley and east of Friar Park?,No,replace_dis_token
Dodworth,east,Crumpsall,within,Metropolitan Borough of Barnsley,near,Royston,"Dodworth is within Metropolitan Borough of Barnsley, near to Royston, and east of Crumpsall",Is Dodworth within Metropolitan Borough of Barnsley and near to Royston and east of Crumpsall?,Yes,no_change
Dodworth,east,Crumpsall,within,Metropolitan Borough of Barnsley,near,Royston,"Dodworth is within Metropolitan Borough of Barnsley, near to Royston, and east of Crumpsall",Is Dodworth within Metropolitan Borough of Barnsley and near to Royston and west of Crumpsall?,No,replace_dir_token
Bloxwich East,east,Merry Hill,within,West Midlands Euro Region,near,Rushall-Shelfield,"Bloxwich East is within West Midlands Euro Region, near to Rushall-Shelfield, and east of Merry Hill",Is Bloxwich East within West Midlands Euro Region and near to Rushall-Shelfield and east of Merry Hill?,Yes,no_change
Bloxwich East,east,Merry Hill,within,West Midlands Euro Region,near,Rushall-Shelfield,"Bloxwich East is within West Midlands Euro Region, near to Rushall-Shelfield, and east of Merry Hill",Is Bloxwich East within West Midlands Euro Region and near to Rushall-Shelfield and west of Merry Hill?,No,replace_dir_token
Headingley,east,Page Moss,within,County Borough of Leeds,near,Alwoodley,"Headingley is within County Borough of Leeds, near to Alwoodley, and east of Page Moss",Is Headingley within County Borough of Leeds and near to Alwoodley and east of Page Moss?,Yes,no_change
Headingley,east,Page Moss,within,County Borough of Leeds,near,Alwoodley,"Headingley is within County Borough of Leeds, near to Alwoodley, and east of Page Moss",Is Headingley within County Borough of Leeds and near to Alwoodley and west of Page Moss?,No,replace_dir_token
Howdon,east,Weetslade,within,North Tyneside,near,Monkseaton North,"Howdon is within North Tyneside, near to Monkseaton North, and east of Weetslade",Is Howdon within North Tyneside and near to Monkseaton North and east of Weetslade?,Yes,no_change
Howdon,east,Weetslade,within,North Tyneside,near,Monkseaton North,"Howdon is within North Tyneside, near to Monkseaton North, and east of Weetslade",Is Howdon within North Tyneside and far to Monkseaton North and east of Weetslade?,No,replace_dis_token
Knowle,east,Greets Green and Lyng,within,West Midlands Euro Region,near,Sheldon,"Knowle is within West Midlands Euro Region, near to Sheldon, and east of Greets Green and Lyng",Is Knowle within West Midlands Euro Region and near to Sheldon and east of Greets Green and Lyng?,Yes,no_change
Knowle,east,Greets Green and Lyng,within,West Midlands Euro Region,near,Sheldon,"Knowle is within West Midlands Euro Region, near to Sheldon, and east of Greets Green and Lyng",Is West Midlands Euro Region within Knowle and near to Sheldon and east of Greets Green and Lyng?,No,flip_place
Quinton,east,Hayley Green and Cradley South,within,Birmingham,near,Soho,"Quinton is within Birmingham, near to Soho, and east of Hayley Green and Cradley South",Is Quinton within Birmingham and near to Soho and east of Hayley Green and Cradley South?,Yes,no_change
Quinton,east,Hayley Green and Cradley South,within,Birmingham,near,Soho,"Quinton is within Birmingham, near to Soho, and east of Hayley Green and Cradley South",Does Quinton border Birmingham and near to Soho and east of Hayley Green and Cradley South?,No,replace_top_token
North Heywood,east,Norris Green,within,Metropolitan Borough of Rochdale,near,Royton North,"North Heywood is within Metropolitan Borough of Rochdale, near to Royton North, and east of Norris Green",Is North Heywood within Metropolitan Borough of Rochdale and near to Royton North and east of Norris Green?,Yes,no_change
North Heywood,east,Norris Green,within,Metropolitan Borough of Rochdale,near,Royton North,"North Heywood is within Metropolitan Borough of Rochdale, near to Royton North, and east of Norris Green",Is Metropolitan Borough of Rochdale within North Heywood and near to Royton North and east of Norris Green?,No,flip_place
Shirley West,east,Brandwood,within,Metropolitan Borough of Solihull,near,St. Alphege,"Shirley West is within Metropolitan Borough of Solihull, near to St. Alphege, and east of Brandwood",Is Shirley West within Metropolitan Borough of Solihull and near to St. Alphege and east of Brandwood?,Yes,no_change
Shirley West,east,Brandwood,within,Metropolitan Borough of Solihull,near,St. Alphege,"Shirley West is within Metropolitan Borough of Solihull, near to St. Alphege, and east of Brandwood",Is Metropolitan Borough of Solihull within Shirley West and near to St. Alphege and east of Brandwood?,No,flip_place
Stanley and Outwood East,east,St. Mary's,within,Yorkshire and the Humber Euro Region,near,Wakefield North,"Stanley and Outwood East is within Yorkshire and the Humber Euro Region, near to Wakefield North, and east of St. Mary's",Is Stanley and Outwood East within Yorkshire and the Humber Euro Region and near to Wakefield North and east of St. Mary's?,Yes,no_change
Stanley and Outwood East,east,St. Mary's,within,Yorkshire and the Humber Euro Region,near,Wakefield North,"Stanley and Outwood East is within Yorkshire and the Humber Euro Region, near to Wakefield North, and east of St. Mary's",Does Stanley and Outwood East border Yorkshire and the Humber Euro Region and near to Wakefield North and east of St. Mary's?,No,replace_top_token
Wrenthorpe and Outwood West,east,Princes Park,within,Yorkshire and the Humber Euro Region,near,Normanton West Yorkshire,"Wrenthorpe and Outwood West is within Yorkshire and the Humber Euro Region, near to Normanton West Yorkshire, and east of Princes Park",Is Wrenthorpe and Outwood West within Yorkshire and the Humber Euro Region and near to Normanton West Yorkshire and east of Princes Park?,Yes,no_change
Wrenthorpe and Outwood West,east,Princes Park,within,Yorkshire and the Humber Euro Region,near,Normanton West Yorkshire,"Wrenthorpe and Outwood West is within Yorkshire and the Humber Euro Region, near to Normanton West Yorkshire, and east of Princes Park",Is Yorkshire and the Humber Euro Region within Wrenthorpe and Outwood West and near to Normanton West Yorkshire and east of Princes Park?,No,flip_place
Palfrey,east,Penn,within,West Midlands Euro Region,near,Willenhall South,"Palfrey is within West Midlands Euro Region, near to Willenhall South, and east of Penn",Is Palfrey within West Midlands Euro Region and near to Willenhall South and east of Penn?,Yes,no_change
Palfrey,east,Penn,within,West Midlands Euro Region,near,Willenhall South,"Palfrey is within West Midlands Euro Region, near to Willenhall South, and east of Penn",Is West Midlands Euro Region within Palfrey and near to Willenhall South and east of Penn?,No,flip_place
Haydock,east,Northwood,within,North West Euro Region,near,Rainford,"Haydock is within North West Euro Region, near to Rainford, and east of Northwood",Is Haydock within North West Euro Region and near to Rainford and east of Northwood?,Yes,no_change
Haydock,east,Northwood,within,North West Euro Region,near,Rainford,"Haydock is within North West Euro Region, near to Rainford, and east of Northwood",Does Haydock border North West Euro Region and near to Rainford and east of Northwood?,No,replace_top_token
Manningham,east,Speke-Garston,within,Yorkshire and the Humber Euro Region,near,Wyke,"Manningham is within Yorkshire and the Humber Euro Region, near to Wyke, and east of Speke-Garston",Is Manningham within Yorkshire and the Humber Euro Region and near to Wyke and east of Speke-Garston?,Yes,no_change
Manningham,east,Speke-Garston,within,Yorkshire and the Humber Euro Region,near,Wyke,"Manningham is within Yorkshire and the Humber Euro Region, near to Wyke, and east of Speke-Garston",Is Yorkshire and the Humber Euro Region within Manningham and near to Wyke and east of Speke-Garston?,No,flip_place
Town,east,Stalybridge North,within,Yorkshire and the Humber Euro Region,near,Finningley,"Town is within Yorkshire and the Humber Euro Region, near to Finningley, and east of Stalybridge North",Is Town within Yorkshire and the Humber Euro Region and near to Finningley and east of Stalybridge North?,Yes,no_change
Town,east,Stalybridge North,within,Yorkshire and the Humber Euro Region,near,Finningley,"Town is within Yorkshire and the Humber Euro Region, near to Finningley, and east of Stalybridge North",Is Town within Yorkshire and the Humber Euro Region and near to Finningley and west of Stalybridge North?,No,replace_dir_token
Armley,east,Moorside,within,County Borough of Leeds,close,Wakefield East,"Armley is within County Borough of Leeds, close to Wakefield East, and east of Moorside",Is Armley within County Borough of Leeds and close to Wakefield East and east of Moorside?,Yes,no_change
Armley,east,Moorside,within,County Borough of Leeds,close,Wakefield East,"Armley is within County Borough of Leeds, close to Wakefield East, and east of Moorside",Is Armley within County Borough of Leeds and close to Wakefield East and west of Moorside?,No,replace_dir_token
Weetwood,east,Sedgley,within,County Borough of Leeds,close,Kippax West Yorkshire,"Weetwood is within County Borough of Leeds, close to Kippax West Yorkshire, and east of Sedgley",Is Weetwood within County Borough of Leeds and close to Kippax West Yorkshire and east of Sedgley?,Yes,no_change
Weetwood,east,Sedgley,within,County Borough of Leeds,close,Kippax West Yorkshire,"Weetwood is within County Borough of Leeds, close to Kippax West Yorkshire, and east of Sedgley",Does Weetwood border County Borough of Leeds and close to Kippax West Yorkshire and east of Sedgley?,No,replace_top_token
Brandwood,east,Amblecote,within,West Midlands Euro Region,close,Soho,"Brandwood is within West Midlands Euro Region, close to Soho, and east of Amblecote",Is Brandwood within West Midlands Euro Region and close to Soho and east of Amblecote?,Yes,no_change
Brandwood,east,Amblecote,within,West Midlands Euro Region,close,Soho,"Brandwood is within West Midlands Euro Region, close to Soho, and east of Amblecote",Is Brandwood within West Midlands Euro Region and distant to Soho and east of Amblecote?,No,replace_dis_token
Westhoughton North and Chew Moor,east,West Kirby and Thurstaston,within,Metropolitan Borough of Bolton,close,Worsley Mesnes,"Westhoughton North and Chew Moor is within Metropolitan Borough of Bolton, close to Worsley Mesnes, and east of West Kirby and Thurstaston",Is Westhoughton North and Chew Moor within Metropolitan Borough of Bolton and close to Worsley Mesnes and east of West Kirby and Thurstaston?,Yes,no_change
Westhoughton North and Chew Moor,east,West Kirby and Thurstaston,within,Metropolitan Borough of Bolton,close,Worsley Mesnes,"Westhoughton North and Chew Moor is within Metropolitan Borough of Bolton, close to Worsley Mesnes, and east of West Kirby and Thurstaston",Is Metropolitan Borough of Bolton within Westhoughton North and Chew Moor and close to Worsley Mesnes and east of West Kirby and Thurstaston?,No,flip_place
Bebington,east,Heswall,within,Metropolitan Borough of Wirral,close,Linacre,"Bebington is within Metropolitan Borough of Wirral, close to Linacre, and east of Heswall",Is Bebington within Metropolitan Borough of Wirral and close to Linacre and east of Heswall?,Yes,no_change
Bebington,east,Heswall,within,Metropolitan Borough of Wirral,close,Linacre,"Bebington is within Metropolitan Borough of Wirral, close to Linacre, and east of Heswall",Is Bebington within Metropolitan Borough of Wirral and distant to Linacre and east of Heswall?,No,replace_dis_token
Beeston and Holbeck,east,Manor,within,Yorkshire and the Humber Euro Region,close,Manningham,"Beeston and Holbeck is within Yorkshire and the Humber Euro Region, close to Manningham, and east of Manor",Is Beeston and Holbeck within Yorkshire and the Humber Euro Region and close to Manningham and east of Manor?,Yes,no_change
Beeston and Holbeck,east,Manor,within,Yorkshire and the Humber Euro Region,close,Manningham,"Beeston and Holbeck is within Yorkshire and the Humber Euro Region, close to Manningham, and east of Manor",Is Beeston and Holbeck within Yorkshire and the Humber Euro Region and close to Manningham and west of Manor?,No,replace_dir_token
East,east,Moss Bank,within,North West Euro Region,close,Kingsway,"East is within North West Euro Region, close to Kingsway, and east of Moss Bank",Is East within North West Euro Region and close to Kingsway and east of Moss Bank?,Yes,no_change
East,east,Moss Bank,within,North West Euro Region,close,Kingsway,"East is within North West Euro Region, close to Kingsway, and east of Moss Bank",Is North West Euro Region within East and close to Kingsway and east of Moss Bank?,No,flip_place
Whiteleas,east,Westgate,within,South Tyneside,close,Windy Nook and Whitehills,"Whiteleas is within South Tyneside, close to Windy Nook and Whitehills, and east of Westgate",Is Whiteleas within South Tyneside and close to Windy Nook and Whitehills and east of Westgate?,Yes,no_change
Whiteleas,east,Westgate,within,South Tyneside,close,Windy Nook and Whitehills,"Whiteleas is within South Tyneside, close to Windy Nook and Whitehills, and east of Westgate",Is Whiteleas within South Tyneside and distant to Windy Nook and Whitehills and east of Westgate?,No,replace_dis_token
Little Lever and Darcy Lever,east,Atherleigh,within,North West Euro Region,close,Ramsbottom,"Little Lever and Darcy Lever is within North West Euro Region, close to Ramsbottom, and east of Atherleigh",Is Little Lever and Darcy Lever within North West Euro Region and close to Ramsbottom and east of Atherleigh?,Yes,no_change
Little Lever and Darcy Lever,east,Atherleigh,within,North West Euro Region,close,Ramsbottom,"Little Lever and Darcy Lever is within North West Euro Region, close to Ramsbottom, and east of Atherleigh",Is North West Euro Region within Little Lever and Darcy Lever and close to Ramsbottom and east of Atherleigh?,No,flip_place
Temple Newsam,east,Bromborough,within,Yorkshire and the Humber Euro Region,close,Kirkburton,"Temple Newsam is within Yorkshire and the Humber Euro Region, close to Kirkburton, and east of Bromborough",Is Temple Newsam within Yorkshire and the Humber Euro Region and close to Kirkburton and east of Bromborough?,Yes,no_change
Temple Newsam,east,Bromborough,within,Yorkshire and the Humber Euro Region,close,Kirkburton,"Temple Newsam is within Yorkshire and the Humber Euro Region, close to Kirkburton, and east of Bromborough",Does Temple Newsam border Yorkshire and the Humber Euro Region and close to Kirkburton and east of Bromborough?,No,replace_top_token
Idle and Thackley,east,Blundellsands,within,City of Bradford,close,Skircoat,"Idle and Thackley is within City of Bradford, close to Skircoat, and east of Blundellsands",Is Idle and Thackley within City of Bradford and close to Skircoat and east of Blundellsands?,Yes,no_change
Idle and Thackley,east,Blundellsands,within,City of Bradford,close,Skircoat,"Idle and Thackley is within City of Bradford, close to Skircoat, and east of Blundellsands",Is Idle and Thackley within City of Bradford and close to Skircoat and west of Blundellsands?,No,replace_dir_token
Ince,east,Upton,within,Metropolitan Borough of Wigan,close,Stockbridge,"Ince is within Metropolitan Borough of Wigan, close to Stockbridge, and east of Upton",Is Ince within Metropolitan Borough of Wigan and close to Stockbridge and east of Upton?,Yes,no_change
Ince,east,Upton,within,Metropolitan Borough of Wigan,close,Stockbridge,"Ince is within Metropolitan Borough of Wigan, close to Stockbridge, and east of Upton",Is Metropolitan Borough of Wigan within Ince and close to Stockbridge and east of Upton?,No,flip_place
Spotland and Falinge,east,Wigan Central,within,Metropolitan Borough of Rochdale,close,Worsley,"Spotland and Falinge is within Metropolitan Borough of Rochdale, close to Worsley, and east of Wigan Central",Is Spotland and Falinge within Metropolitan Borough of Rochdale and close to Worsley and east of Wigan Central?,Yes,no_change
Spotland and Falinge,east,Wigan Central,within,Metropolitan Borough of Rochdale,close,Worsley,"Spotland and Falinge is within Metropolitan Borough of Rochdale, close to Worsley, and east of Wigan Central",Is Metropolitan Borough of Rochdale within Spotland and Falinge and close to Worsley and east of Wigan Central?,No,flip_place
Audenshaw,east,Ford,within,North West Euro Region,close,Didsbury West,"Audenshaw is within North West Euro Region, close to Didsbury West, and east of Ford",Is Audenshaw within North West Euro Region and close to Didsbury West and east of Ford?,Yes,no_change
Audenshaw,east,Ford,within,North West Euro Region,close,Didsbury West,"Audenshaw is within North West Euro Region, close to Didsbury West, and east of Ford",Does Audenshaw border North West Euro Region and close to Didsbury West and east of Ford?,No,replace_top_token
Quarry Bank and Dudley Wood,east,Brierley Hill,within,Metropolitan Borough of Dudley,close,Doxey,"Quarry Bank and Dudley Wood is within Metropolitan Borough of Dudley, close to Doxey, and east of Brierley Hill",Is Quarry Bank and Dudley Wood within Metropolitan Borough of Dudley and close to Doxey and east of Brierley Hill?,Yes,no_change
Quarry Bank and Dudley Wood,east,Brierley Hill,within,Metropolitan Borough of Dudley,close,Doxey,"Quarry Bank and Dudley Wood is within Metropolitan Borough of Dudley, close to Doxey, and east of Brierley Hill",Is Quarry Bank and Dudley Wood within Metropolitan Borough of Dudley and distant to Doxey and east of Brierley Hill?,No,replace_dis_token
Leigh South,east,Netherton and Orrell,within,Metropolitan Borough of Wigan,close,Tottington,"Leigh South is within Metropolitan Borough of Wigan, close to Tottington, and east of Netherton and Orrell",Is Leigh South within Metropolitan Borough of Wigan and close to Tottington and east of Netherton and Orrell?,Yes,no_change
Leigh South,east,Netherton and Orrell,within,Metropolitan Borough of Wigan,close,Tottington,"Leigh South is within Metropolitan Borough of Wigan, close to Tottington, and east of Netherton and Orrell",Is Metropolitan Borough of Wigan within Leigh South and close to Tottington and east of Netherton and Orrell?,No,flip_place
Werneth,east,Ramsbottom,within,Metropolitan Borough of Oldham,close,Mossley,"Werneth is within Metropolitan Borough of Oldham, close to Mossley, and east of Ramsbottom",Is Werneth within Metropolitan Borough of Oldham and close to Mossley and east of Ramsbottom?,Yes,no_change
Werneth,east,Ramsbottom,within,Metropolitan Borough of Oldham,close,Mossley,"Werneth is within Metropolitan Borough of Oldham, close to Mossley, and east of Ramsbottom",Does Werneth border Metropolitan Borough of Oldham and close to Mossley and east of Ramsbottom?,No,replace_top_token
Amblecote,east,Wollaston and Stourbridge Town,within,West Midlands Euro Region,close,Paddock,"Amblecote is within West Midlands Euro Region, close to Paddock, and east of Wollaston and Stourbridge Town",Is Amblecote within West Midlands Euro Region and close to Paddock and east of Wollaston and Stourbridge Town?,Yes,no_change
Amblecote,east,Wollaston and Stourbridge Town,within,West Midlands Euro Region,close,Paddock,"Amblecote is within West Midlands Euro Region, close to Paddock, and east of Wollaston and Stourbridge Town",Is Amblecote within West Midlands Euro Region and distant to Paddock and east of Wollaston and Stourbridge Town?,No,replace_dis_token
Kingstanding,east,Princes End,within,West Midlands Euro Region,close,Chelmsley Wood,"Kingstanding is within West Midlands Euro Region, close to Chelmsley Wood, and east of Princes End",Is Kingstanding within West Midlands Euro Region and close to Chelmsley Wood and east of Princes End?,Yes,no_change
Kingstanding,east,Princes End,within,West Midlands Euro Region,close,Chelmsley Wood,"Kingstanding is within West Midlands Euro Region, close to Chelmsley Wood, and east of Princes End",Is West Midlands Euro Region within Kingstanding and close to Chelmsley Wood and east of Princes End?,No,flip_place
Primrose,east,Westgate,within,South Tyneside,close,Whickham North,"Primrose is within South Tyneside, close to Whickham North, and east of Westgate",Is Primrose within South Tyneside and close to Whickham North and east of Westgate?,Yes,no_change
Primrose,east,Westgate,within,South Tyneside,close,Whickham North,"Primrose is within South Tyneside, close to Whickham North, and east of Westgate",Is Primrose within South Tyneside and close to Whickham North and west of Westgate?,No,replace_dir_token
