place1,top,place2_Y,dis,place2_Z,triplet,question,answer,transition
Bridges,borders,Deckham,near,Dunston and Teams,"Bridges is borders Deckham, near Dunston and Teams",Does Bridges borders Deckham and near to Dunston and Teams?,Yes,no_change
Bridges,borders,Deckham,near,Dunston and Teams,"Bridges is borders Deckham, near Dunston and Teams",Does Bridges borders Deckham and far to Dunston and Teams?,No,replace_dis_token
Bridges,borders,Deckham,close,Newburn,"Bridges is borders Deckham, close Newburn",Does Bridges borders Deckham and close to Newburn?,Yes,no_change
Bridges,borders,Deckham,close,Newburn,"Bridges is borders Deckham, close Newburn",Does Deckham borders Bridges and close to Newburn?,No,flip_place
Kingswinford North and Wall Heath,within,Metropolitan Borough of Dudley,distant,Woodlands,"Kingswinford North and Wall Heath is within Metropolitan Borough of Dudley, distant Woodlands",Is Kingswinford North and Wall Heath within Metropolitan Borough of Dudley and distant to Woodlands?,Yes,no_change
Kingswinford North and Wall Heath,within,Metropolitan Borough of Dudley,distant,Woodlands,"Kingswinford North and Wall Heath is within Metropolitan Borough of Dudley, distant Woodlands",Is Metropolitan Borough of Dudley within Kingswinford North and Wall Heath and distant to Woodlands?,No,flip_place
Kingswinford North and Wall Heath,within,Metropolitan Borough of Dudley,far,Manor,"Kingswinford North and Wall Heath is within Metropolitan Borough of Dudley, far Manor",Is Kingswinford North and Wall Heath within Metropolitan Borough of Dudley and far to Manor?,Yes,no_change
Kingswinford North and Wall Heath,within,Metropolitan Borough of Dudley,far,Manor,"Kingswinford North and Wall Heath is within Metropolitan Borough of Dudley, far Manor",Is Metropolitan Borough of Dudley within Kingswinford North and Wall Heath and far to Manor?,No,flip_place
Kingswinford North and Wall Heath,borders,Gornal,near,Netherton Woodside and St. Andrews,"Kingswinford North and Wall Heath is borders Gornal, near Netherton Woodside and St. Andrews",Does Kingswinford North and Wall Heath borders Gornal and near to Netherton Woodside and St. Andrews?,Yes,no_change
Kingswinford North and Wall Heath,borders,Gornal,near,Netherton Woodside and St. Andrews,"Kingswinford North and Wall Heath is borders Gornal, near Netherton Woodside and St. Andrews",Is Kingswinford North and Wall Heath within Gornal and near to Netherton Woodside and St. Andrews?,No,replace_top_token
Kingswinford North and Wall Heath,borders,Gornal,close,Pedmore and Stourbridge East,"Kingswinford North and Wall Heath is borders Gornal, close Pedmore and Stourbridge East",Does Kingswinford North and Wall Heath borders Gornal and close to Pedmore and Stourbridge East?,Yes,no_change
Kingswinford North and Wall Heath,borders,Gornal,close,Pedmore and Stourbridge East,"Kingswinford North and Wall Heath is borders Gornal, close Pedmore and Stourbridge East",Is Kingswinford North and Wall Heath within Gornal and close to Pedmore and Stourbridge East?,No,replace_top_token
Conisbrough Parks,within,Metropolitan Borough of Doncaster,distant,Kippax West Yorkshire,"Conisbrough Parks is within Metropolitan Borough of Doncaster, distant Kippax West Yorkshire",Is Conisbrough Parks within Metropolitan Borough of Doncaster and distant to Kippax West Yorkshire?,Yes,no_change
Conisbrough Parks,within,Metropolitan Borough of Doncaster,distant,Kippax West Yorkshire,"Conisbrough Parks is within Metropolitan Borough of Doncaster, distant Kippax West Yorkshire",Is Metropolitan Borough of Doncaster within Conisbrough Parks and distant to Kippax West Yorkshire?,No,flip_place
Conisbrough Parks,within,Metropolitan Borough of Doncaster,far,Halewood,"Conisbrough Parks is within Metropolitan Borough of Doncaster, far Halewood",Is Conisbrough Parks within Metropolitan Borough of Doncaster and far to Halewood?,Yes,no_change
Conisbrough Parks,within,Metropolitan Borough of Doncaster,far,Halewood,"Conisbrough Parks is within Metropolitan Borough of Doncaster, far Halewood",Is Conisbrough Parks within Metropolitan Borough of Doncaster and near to Halewood?,No,replace_dis_token
Conisbrough Parks,borders,Sprotbrough and Cusworth,near,Maltby South Yorkshire,"Conisbrough Parks is borders Sprotbrough and Cusworth, near Maltby South Yorkshire",Does Conisbrough Parks borders Sprotbrough and Cusworth and near to Maltby South Yorkshire?,Yes,no_change
Conisbrough Parks,borders,Sprotbrough and Cusworth,near,Maltby South Yorkshire,"Conisbrough Parks is borders Sprotbrough and Cusworth, near Maltby South Yorkshire",Is Conisbrough Parks within Sprotbrough and Cusworth and near to Maltby South Yorkshire?,No,replace_top_token
Conisbrough Parks,borders,Sprotbrough and Cusworth,close,Rossington,"Conisbrough Parks is borders Sprotbrough and Cusworth, close Rossington",Does Conisbrough Parks borders Sprotbrough and Cusworth and close to Rossington?,Yes,no_change
Conisbrough Parks,borders,Sprotbrough and Cusworth,close,Rossington,"Conisbrough Parks is borders Sprotbrough and Cusworth, close Rossington",Does Sprotbrough and Cusworth borders Conisbrough Parks and close to Rossington?,No,flip_place
Halliwell,within,Metropolitan Borough of Bolton,distant,Oxton,"Halliwell is within Metropolitan Borough of Bolton, distant Oxton",Is Halliwell within Metropolitan Borough of Bolton and distant to Oxton?,Yes,no_change
Halliwell,within,Metropolitan Borough of Bolton,distant,Oxton,"Halliwell is within Metropolitan Borough of Bolton, distant Oxton",Is Metropolitan Borough of Bolton within Halliwell and distant to Oxton?,No,flip_place
Halliwell,within,Metropolitan Borough of Bolton,far,Whitley Bay,"Halliwell is within Metropolitan Borough of Bolton, far Whitley Bay",Is Halliwell within Metropolitan Borough of Bolton and far to Whitley Bay?,Yes,no_change
Halliwell,within,Metropolitan Borough of Bolton,far,Whitley Bay,"Halliwell is within Metropolitan Borough of Bolton, far Whitley Bay",Is Halliwell within Metropolitan Borough of Bolton and near to Whitley Bay?,No,replace_dis_token
Halliwell,borders,Rumworth,near,Heaton and Lostock,"Halliwell is borders Rumworth, near Heaton and Lostock",Does Halliwell borders Rumworth and near to Heaton and Lostock?,Yes,no_change
Halliwell,borders,Rumworth,near,Heaton and Lostock,"Halliwell is borders Rumworth, near Heaton and Lostock",Does Halliwell borders Rumworth and far to Heaton and Lostock?,No,replace_dis_token
Halliwell,borders,Rumworth,close,Tottington,"Halliwell is borders Rumworth, close Tottington",Does Halliwell borders Rumworth and close to Tottington?,Yes,no_change
Halliwell,borders,Rumworth,close,Tottington,"Halliwell is borders Rumworth, close Tottington",Does Rumworth borders Halliwell and close to Tottington?,No,flip_place
Upper Stoke,within,West Midlands Euro Region,distant,Washwood Heath,"Upper Stoke is within West Midlands Euro Region, distant Washwood Heath",Is Upper Stoke within West Midlands Euro Region and distant to Washwood Heath?,Yes,no_change
Upper Stoke,within,West Midlands Euro Region,distant,Washwood Heath,"Upper Stoke is within West Midlands Euro Region, distant Washwood Heath",Does Upper Stoke borders West Midlands Euro Region and distant to Washwood Heath?,No,replace_top_token
Upper Stoke,within,West Midlands Euro Region,far,Weetslade,"Upper Stoke is within West Midlands Euro Region, far Weetslade",Is Upper Stoke within West Midlands Euro Region and far to Weetslade?,Yes,no_change
Upper Stoke,within,West Midlands Euro Region,far,Weetslade,"Upper Stoke is within West Midlands Euro Region, far Weetslade",Does Upper Stoke borders West Midlands Euro Region and far to Weetslade?,No,replace_top_token
Upper Stoke,borders,Wyken,near,Sherbourne Warwickshire,"Upper Stoke is borders Wyken, near Sherbourne Warwickshire",Does Upper Stoke borders Wyken and near to Sherbourne Warwickshire?,Yes,no_change
Upper Stoke,borders,Wyken,near,Sherbourne Warwickshire,"Upper Stoke is borders Wyken, near Sherbourne Warwickshire",Does Upper Stoke borders Wyken and far to Sherbourne Warwickshire?,No,replace_dis_token
Upper Stoke,borders,Wyken,close,Westwood,"Upper Stoke is borders Wyken, close Westwood",Does Upper Stoke borders Wyken and close to Westwood?,Yes,no_change
Upper Stoke,borders,Wyken,close,Westwood,"Upper Stoke is borders Wyken, close Westwood",Is Upper Stoke within Wyken and close to Westwood?,No,replace_top_token
Cheylesmore,within,Coventry,distant,Sutton Trinity,"Cheylesmore is within Coventry, distant Sutton Trinity",Is Cheylesmore within Coventry and distant to Sutton Trinity?,Yes,no_change
Cheylesmore,within,Coventry,distant,Sutton Trinity,"Cheylesmore is within Coventry, distant Sutton Trinity",Is Coventry within Cheylesmore and distant to Sutton Trinity?,No,flip_place
Cheylesmore,within,Coventry,far,Didsbury West,"Cheylesmore is within Coventry, far Didsbury West",Is Cheylesmore within Coventry and far to Didsbury West?,Yes,no_change
Cheylesmore,within,Coventry,far,Didsbury West,"Cheylesmore is within Coventry, far Didsbury West",Does Cheylesmore borders Coventry and far to Didsbury West?,No,replace_top_token
Cheylesmore,borders,Binley and Willenhall,near,Henley,"Cheylesmore is borders Binley and Willenhall, near Henley",Does Cheylesmore borders Binley and Willenhall and near to Henley?,Yes,no_change
Cheylesmore,borders,Binley and Willenhall,near,Henley,"Cheylesmore is borders Binley and Willenhall, near Henley",Does Binley and Willenhall borders Cheylesmore and near to Henley?,No,flip_place
Cheylesmore,borders,Binley and Willenhall,close,Chelmsley Wood,"Cheylesmore is borders Binley and Willenhall, close Chelmsley Wood",Does Cheylesmore borders Binley and Willenhall and close to Chelmsley Wood?,Yes,no_change
Cheylesmore,borders,Binley and Willenhall,close,Chelmsley Wood,"Cheylesmore is borders Binley and Willenhall, close Chelmsley Wood",Does Binley and Willenhall borders Cheylesmore and close to Chelmsley Wood?,No,flip_place
Wyken,within,Coventry,distant,Castle Bromwich,"Wyken is within Coventry, distant Castle Bromwich",Is Wyken within Coventry and distant to Castle Bromwich?,Yes,no_change
Wyken,within,Coventry,distant,Castle Bromwich,"Wyken is within Coventry, distant Castle Bromwich",Is Coventry within Wyken and distant to Castle Bromwich?,No,flip_place
Wyken,within,Coventry,far,Sutton Weaver (civil parish),"Wyken is within Coventry, far Sutton Weaver (civil parish)",Is Wyken within Coventry and far to Sutton Weaver (civil parish)?,Yes,no_change
Wyken,within,Coventry,far,Sutton Weaver (civil parish),"Wyken is within Coventry, far Sutton Weaver (civil parish)",Does Wyken borders Coventry and far to Sutton Weaver (civil parish)?,No,replace_top_token
Wyken,borders,Binley and Willenhall,near,Sherbourne Warwickshire,"Wyken is borders Binley and Willenhall, near Sherbourne Warwickshire",Does Wyken borders Binley and Willenhall and near to Sherbourne Warwickshire?,Yes,no_change
Wyken,borders,Binley and Willenhall,near,Sherbourne Warwickshire,"Wyken is borders Binley and Willenhall, near Sherbourne Warwickshire",Does Binley and Willenhall borders Wyken and near to Sherbourne Warwickshire?,No,flip_place
Wyken,borders,Binley and Willenhall,close,Meriden West Midlands,"Wyken is borders Binley and Willenhall, close Meriden West Midlands",Does Wyken borders Binley and Willenhall and close to Meriden West Midlands?,Yes,no_change
Wyken,borders,Binley and Willenhall,close,Meriden West Midlands,"Wyken is borders Binley and Willenhall, close Meriden West Midlands",Is Wyken within Binley and Willenhall and close to Meriden West Midlands?,No,replace_top_token
Halewood,within,Metropolitan Borough of Knowsley,distant,Horwich,"Halewood is within Metropolitan Borough of Knowsley, distant Horwich",Is Halewood within Metropolitan Borough of Knowsley and distant to Horwich?,Yes,no_change
Halewood,within,Metropolitan Borough of Knowsley,distant,Horwich,"Halewood is within Metropolitan Borough of Knowsley, distant Horwich",Is Halewood within Metropolitan Borough of Knowsley and close to Horwich?,No,replace_dis_token
Halewood,within,Metropolitan Borough of Knowsley,far,Hemsworth,"Halewood is within Metropolitan Borough of Knowsley, far Hemsworth",Is Halewood within Metropolitan Borough of Knowsley and far to Hemsworth?,Yes,no_change
Halewood,within,Metropolitan Borough of Knowsley,far,Hemsworth,"Halewood is within Metropolitan Borough of Knowsley, far Hemsworth",Does Halewood borders Metropolitan Borough of Knowsley and far to Hemsworth?,No,replace_top_token
Halewood,borders,Allerton and Hunts Cross,near,Rainhill,"Halewood is borders Allerton and Hunts Cross, near Rainhill",Does Halewood borders Allerton and Hunts Cross and near to Rainhill?,Yes,no_change
Halewood,borders,Allerton and Hunts Cross,near,Rainhill,"Halewood is borders Allerton and Hunts Cross, near Rainhill",Is Halewood within Allerton and Hunts Cross and near to Rainhill?,No,replace_top_token
Halewood,borders,Allerton and Hunts Cross,close,Picton Cheshire,"Halewood is borders Allerton and Hunts Cross, close Picton Cheshire",Does Halewood borders Allerton and Hunts Cross and close to Picton Cheshire?,Yes,no_change
Halewood,borders,Allerton and Hunts Cross,close,Picton Cheshire,"Halewood is borders Allerton and Hunts Cross, close Picton Cheshire",Does Allerton and Hunts Cross borders Halewood and close to Picton Cheshire?,No,flip_place
Crawcrook and Greenside,within,North East Euro Region,distant,Houghton,"Crawcrook and Greenside is within North East Euro Region, distant Houghton",Is Crawcrook and Greenside within North East Euro Region and distant to Houghton?,Yes,no_change
Crawcrook and Greenside,within,North East Euro Region,distant,Houghton,"Crawcrook and Greenside is within North East Euro Region, distant Houghton",Is North East Euro Region within Crawcrook and Greenside and distant to Houghton?,No,flip_place
Crawcrook and Greenside,within,North East Euro Region,far,Whitefield,"Crawcrook and Greenside is within North East Euro Region, far Whitefield",Is Crawcrook and Greenside within North East Euro Region and far to Whitefield?,Yes,no_change
Crawcrook and Greenside,within,North East Euro Region,far,Whitefield,"Crawcrook and Greenside is within North East Euro Region, far Whitefield",Is North East Euro Region within Crawcrook and Greenside and far to Whitefield?,No,flip_place
Crawcrook and Greenside,borders,Winlaton and High Spen,near,Winlaton and High Spen,"Crawcrook and Greenside is borders Winlaton and High Spen, near Winlaton and High Spen",Does Crawcrook and Greenside borders Winlaton and High Spen and near to Winlaton and High Spen?,Yes,no_change
Crawcrook and Greenside,borders,Winlaton and High Spen,near,Winlaton and High Spen,"Crawcrook and Greenside is borders Winlaton and High Spen, near Winlaton and High Spen",Does Crawcrook and Greenside borders Winlaton and High Spen and far to Winlaton and High Spen?,No,replace_dis_token
Crawcrook and Greenside,borders,Winlaton and High Spen,close,Dene,"Crawcrook and Greenside is borders Winlaton and High Spen, close Dene",Does Crawcrook and Greenside borders Winlaton and High Spen and close to Dene?,Yes,no_change
Crawcrook and Greenside,borders,Winlaton and High Spen,close,Dene,"Crawcrook and Greenside is borders Winlaton and High Spen, close Dene",Is Crawcrook and Greenside within Winlaton and High Spen and close to Dene?,No,replace_top_token
Washington East,borders,St. Anne's,near,Lamesley,"Washington East is borders St. Anne's, near Lamesley",Does Washington East borders St. Anne's and near to Lamesley?,Yes,no_change
Washington East,borders,St. Anne's,near,Lamesley,"Washington East is borders St. Anne's, near Lamesley",Does Washington East borders St. Anne's and far to Lamesley?,No,replace_dis_token
Washington East,borders,St. Anne's,close,Woolsington,"Washington East is borders St. Anne's, close Woolsington",Does Washington East borders St. Anne's and close to Woolsington?,Yes,no_change
Washington East,borders,St. Anne's,close,Woolsington,"Washington East is borders St. Anne's, close Woolsington",Does Washington East borders St. Anne's and distant to Woolsington?,No,replace_dis_token
Harton,within,South Tyneside,distant,Woolsington,"Harton is within South Tyneside, distant Woolsington",Is Harton within South Tyneside and distant to Woolsington?,Yes,no_change
Harton,within,South Tyneside,distant,Woolsington,"Harton is within South Tyneside, distant Woolsington",Is Harton within South Tyneside and close to Woolsington?,No,replace_dis_token
Harton,within,South Tyneside,far,Manor,"Harton is within South Tyneside, far Manor",Is Harton within South Tyneside and far to Manor?,Yes,no_change
Harton,within,South Tyneside,far,Manor,"Harton is within South Tyneside, far Manor",Is South Tyneside within Harton and far to Manor?,No,flip_place
Harton,borders,Horsley Hill,near,Whitburn and Marsden,"Harton is borders Horsley Hill, near Whitburn and Marsden",Does Harton borders Horsley Hill and near to Whitburn and Marsden?,Yes,no_change
Harton,borders,Horsley Hill,near,Whitburn and Marsden,"Harton is borders Horsley Hill, near Whitburn and Marsden",Does Harton borders Horsley Hill and far to Whitburn and Marsden?,No,replace_dis_token
Harton,borders,Horsley Hill,close,Windy Nook and Whitehills,"Harton is borders Horsley Hill, close Windy Nook and Whitehills",Does Harton borders Horsley Hill and close to Windy Nook and Whitehills?,Yes,no_change
Harton,borders,Horsley Hill,close,Windy Nook and Whitehills,"Harton is borders Horsley Hill, close Windy Nook and Whitehills",Does Horsley Hill borders Harton and close to Windy Nook and Whitehills?,No,flip_place
Fallowfield,within,Manchester,distant,Keighley East,"Fallowfield is within Manchester, distant Keighley East",Is Fallowfield within Manchester and distant to Keighley East?,Yes,no_change
Fallowfield,within,Manchester,distant,Keighley East,"Fallowfield is within Manchester, distant Keighley East",Is Manchester within Fallowfield and distant to Keighley East?,No,flip_place
Fallowfield,within,Manchester,far,South Elmsall and South Kirkby,"Fallowfield is within Manchester, far South Elmsall and South Kirkby",Is Fallowfield within Manchester and far to South Elmsall and South Kirkby?,Yes,no_change
Fallowfield,within,Manchester,far,South Elmsall and South Kirkby,"Fallowfield is within Manchester, far South Elmsall and South Kirkby",Does Fallowfield borders Manchester and far to South Elmsall and South Kirkby?,No,replace_top_token
Fallowfield,borders,Withington,near,Withington,"Fallowfield is borders Withington, near Withington",Does Fallowfield borders Withington and near to Withington?,Yes,no_change
Fallowfield,borders,Withington,near,Withington,"Fallowfield is borders Withington, near Withington",Does Fallowfield borders Withington and far to Withington?,No,replace_dis_token
Fallowfield,borders,Withington,close,Smallbridge and Firgrove,"Fallowfield is borders Withington, close Smallbridge and Firgrove",Does Fallowfield borders Withington and close to Smallbridge and Firgrove?,Yes,no_change
Fallowfield,borders,Withington,close,Smallbridge and Firgrove,"Fallowfield is borders Withington, close Smallbridge and Firgrove",Is Fallowfield within Withington and close to Smallbridge and Firgrove?,No,replace_top_token
Bushbury North,within,West Midlands Euro Region,distant,Erdington,"Bushbury North is within West Midlands Euro Region, distant Erdington",Is Bushbury North within West Midlands Euro Region and distant to Erdington?,Yes,no_change
Bushbury North,within,West Midlands Euro Region,distant,Erdington,"Bushbury North is within West Midlands Euro Region, distant Erdington",Does Bushbury North borders West Midlands Euro Region and distant to Erdington?,No,replace_top_token
Bushbury North,within,West Midlands Euro Region,far,Sale Moor,"Bushbury North is within West Midlands Euro Region, far Sale Moor",Is Bushbury North within West Midlands Euro Region and far to Sale Moor?,Yes,no_change
Bushbury North,within,West Midlands Euro Region,far,Sale Moor,"Bushbury North is within West Midlands Euro Region, far Sale Moor",Is West Midlands Euro Region within Bushbury North and far to Sale Moor?,No,flip_place
Bushbury North,borders,Bushbury South and Low Hill,near,Wednesfield South,"Bushbury North is borders Bushbury South and Low Hill, near Wednesfield South",Does Bushbury North borders Bushbury South and Low Hill and near to Wednesfield South?,Yes,no_change
Bushbury North,borders,Bushbury South and Low Hill,near,Wednesfield South,"Bushbury North is borders Bushbury South and Low Hill, near Wednesfield South",Does Bushbury North borders Bushbury South and Low Hill and far to Wednesfield South?,No,replace_dis_token
Bushbury North,borders,Bushbury South and Low Hill,close,Wednesbury South,"Bushbury North is borders Bushbury South and Low Hill, close Wednesbury South",Does Bushbury North borders Bushbury South and Low Hill and close to Wednesbury South?,Yes,no_change
Bushbury North,borders,Bushbury South and Low Hill,close,Wednesbury South,"Bushbury North is borders Bushbury South and Low Hill, close Wednesbury South",Is Bushbury North within Bushbury South and Low Hill and close to Wednesbury South?,No,replace_top_token
Ramsbottom,within,Metropolitan Borough of Bury,distant,Stalybridge North,"Ramsbottom is within Metropolitan Borough of Bury, distant Stalybridge North",Is Ramsbottom within Metropolitan Borough of Bury and distant to Stalybridge North?,Yes,no_change
Ramsbottom,within,Metropolitan Borough of Bury,distant,Stalybridge North,"Ramsbottom is within Metropolitan Borough of Bury, distant Stalybridge North",Is Ramsbottom within Metropolitan Borough of Bury and close to Stalybridge North?,No,replace_dis_token
Ramsbottom,within,Metropolitan Borough of Bury,far,Tipton Green,"Ramsbottom is within Metropolitan Borough of Bury, far Tipton Green",Is Ramsbottom within Metropolitan Borough of Bury and far to Tipton Green?,Yes,no_change
Ramsbottom,within,Metropolitan Borough of Bury,far,Tipton Green,"Ramsbottom is within Metropolitan Borough of Bury, far Tipton Green",Is Ramsbottom within Metropolitan Borough of Bury and near to Tipton Green?,No,replace_dis_token
Ramsbottom,borders,North Manor,near,Redvales,"Ramsbottom is borders North Manor, near Redvales",Does Ramsbottom borders North Manor and near to Redvales?,Yes,no_change
Ramsbottom,borders,North Manor,near,Redvales,"Ramsbottom is borders North Manor, near Redvales",Is Ramsbottom within North Manor and near to Redvales?,No,replace_top_token
Ramsbottom,borders,North Manor,close,Shaw,"Ramsbottom is borders North Manor, close Shaw",Does Ramsbottom borders North Manor and close to Shaw?,Yes,no_change
Ramsbottom,borders,North Manor,close,Shaw,"Ramsbottom is borders North Manor, close Shaw",Does Ramsbottom borders North Manor and distant to Shaw?,No,replace_dis_token
South Middleton,within,Metropolitan Borough of Rochdale,distant,Swanside,"South Middleton is within Metropolitan Borough of Rochdale, distant Swanside",Is South Middleton within Metropolitan Borough of Rochdale and distant to Swanside?,Yes,no_change
South Middleton,within,Metropolitan Borough of Rochdale,distant,Swanside,"South Middleton is within Metropolitan Borough of Rochdale, distant Swanside",Does South Middleton borders Metropolitan Borough of Rochdale and distant to Swanside?,No,replace_top_token
South Middleton,within,Metropolitan Borough of Rochdale,far,Weetslade,"South Middleton is within Metropolitan Borough of Rochdale, far Weetslade",Is South Middleton within Metropolitan Borough of Rochdale and far to Weetslade?,Yes,no_change
South Middleton,within,Metropolitan Borough of Rochdale,far,Weetslade,"South Middleton is within Metropolitan Borough of Rochdale, far Weetslade",Is Metropolitan Borough of Rochdale within South Middleton and far to Weetslade?,No,flip_place
South Middleton,borders,Charlestown,near,Werneth,"South Middleton is borders Charlestown, near Werneth",Does South Middleton borders Charlestown and near to Werneth?,Yes,no_change
South Middleton,borders,Charlestown,near,Werneth,"South Middleton is borders Charlestown, near Werneth",Does South Middleton borders Charlestown and far to Werneth?,No,replace_dis_token
South Middleton,borders,Charlestown,close,St. Mary's,"South Middleton is borders Charlestown, close St. Mary's",Does South Middleton borders Charlestown and close to St. Mary's?,Yes,no_change
South Middleton,borders,Charlestown,close,St. Mary's,"South Middleton is borders Charlestown, close St. Mary's",Is South Middleton within Charlestown and close to St. Mary's?,No,replace_top_token
Bowling and Barkerend,within,City of Bradford,distant,Rockingham,"Bowling and Barkerend is within City of Bradford, distant Rockingham",Is Bowling and Barkerend within City of Bradford and distant to Rockingham?,Yes,no_change
Bowling and Barkerend,within,City of Bradford,distant,Rockingham,"Bowling and Barkerend is within City of Bradford, distant Rockingham",Does Bowling and Barkerend borders City of Bradford and distant to Rockingham?,No,replace_top_token
Bowling and Barkerend,within,City of Bradford,far,Childwall,"Bowling and Barkerend is within City of Bradford, far Childwall",Is Bowling and Barkerend within City of Bradford and far to Childwall?,Yes,no_change
Bowling and Barkerend,within,City of Bradford,far,Childwall,"Bowling and Barkerend is within City of Bradford, far Childwall",Is City of Bradford within Bowling and Barkerend and far to Childwall?,No,flip_place
Bowling and Barkerend,borders,Tong,near,Wyke,"Bowling and Barkerend is borders Tong, near Wyke",Does Bowling and Barkerend borders Tong and near to Wyke?,Yes,no_change
Bowling and Barkerend,borders,Tong,near,Wyke,"Bowling and Barkerend is borders Tong, near Wyke",Is Bowling and Barkerend within Tong and near to Wyke?,No,replace_top_token
Bowling and Barkerend,borders,Tong,close,Liversedge and Gomersal,"Bowling and Barkerend is borders Tong, close Liversedge and Gomersal",Does Bowling and Barkerend borders Tong and close to Liversedge and Gomersal?,Yes,no_change
Bowling and Barkerend,borders,Tong,close,Liversedge and Gomersal,"Bowling and Barkerend is borders Tong, close Liversedge and Gomersal",Is Bowling and Barkerend within Tong and close to Liversedge and Gomersal?,No,replace_top_token
Ecclesall,within,Yorkshire and the Humber Euro Region,distant,Hemsworth,"Ecclesall is within Yorkshire and the Humber Euro Region, distant Hemsworth",Is Ecclesall within Yorkshire and the Humber Euro Region and distant to Hemsworth?,Yes,no_change
Ecclesall,within,Yorkshire and the Humber Euro Region,distant,Hemsworth,"Ecclesall is within Yorkshire and the Humber Euro Region, distant Hemsworth",Is Ecclesall within Yorkshire and the Humber Euro Region and close to Hemsworth?,No,replace_dis_token
Ecclesall,within,Yorkshire and the Humber Euro Region,far,Streetly,"Ecclesall is within Yorkshire and the Humber Euro Region, far Streetly",Is Ecclesall within Yorkshire and the Humber Euro Region and far to Streetly?,Yes,no_change
Ecclesall,within,Yorkshire and the Humber Euro Region,far,Streetly,"Ecclesall is within Yorkshire and the Humber Euro Region, far Streetly",Does Ecclesall borders Yorkshire and the Humber Euro Region and far to Streetly?,No,replace_top_token
Ecclesall,borders,Fulwood,near,Hillsborough,"Ecclesall is borders Fulwood, near Hillsborough",Does Ecclesall borders Fulwood and near to Hillsborough?,Yes,no_change
Ecclesall,borders,Fulwood,near,Hillsborough,"Ecclesall is borders Fulwood, near Hillsborough",Does Ecclesall borders Fulwood and far to Hillsborough?,No,replace_dis_token
Ecclesall,borders,Fulwood,close,Rother Vale,"Ecclesall is borders Fulwood, close Rother Vale",Does Ecclesall borders Fulwood and close to Rother Vale?,Yes,no_change
Ecclesall,borders,Fulwood,close,Rother Vale,"Ecclesall is borders Fulwood, close Rother Vale",Does Ecclesall borders Fulwood and distant to Rother Vale?,No,replace_dis_token
Denton,within,North East Euro Region,distant,Horsley Hill,"Denton is within North East Euro Region, distant Horsley Hill",Is Denton within North East Euro Region and distant to Horsley Hill?,Yes,no_change
Denton,within,North East Euro Region,distant,Horsley Hill,"Denton is within North East Euro Region, distant Horsley Hill",Is Denton within North East Euro Region and close to Horsley Hill?,No,replace_dis_token
Denton,within,North East Euro Region,far,West Bromwich Central,"Denton is within North East Euro Region, far West Bromwich Central",Is Denton within North East Euro Region and far to West Bromwich Central?,Yes,no_change
Denton,within,North East Euro Region,far,West Bromwich Central,"Denton is within North East Euro Region, far West Bromwich Central",Does Denton borders North East Euro Region and far to West Bromwich Central?,No,replace_top_token
Denton,borders,Newburn,near,Elswick,"Denton is borders Newburn, near Elswick",Does Denton borders Newburn and near to Elswick?,Yes,no_change
Denton,borders,Newburn,near,Elswick,"Denton is borders Newburn, near Elswick",Does Denton borders Newburn and far to Elswick?,No,replace_dis_token
Denton,borders,Newburn,close,Northumberland,"Denton is borders Newburn, close Northumberland",Does Denton borders Newburn and close to Northumberland?,Yes,no_change
Denton,borders,Newburn,close,Northumberland,"Denton is borders Newburn, close Northumberland",Is Denton within Newburn and close to Northumberland?,No,replace_top_token
Tong,within,Yorkshire and the Humber Euro Region,distant,Urmston,"Tong is within Yorkshire and the Humber Euro Region, distant Urmston",Is Tong within Yorkshire and the Humber Euro Region and distant to Urmston?,Yes,no_change
Tong,within,Yorkshire and the Humber Euro Region,distant,Urmston,"Tong is within Yorkshire and the Humber Euro Region, distant Urmston",Is Tong within Yorkshire and the Humber Euro Region and close to Urmston?,No,replace_dis_token
Tong,within,Yorkshire and the Humber Euro Region,far,Willenhall North,"Tong is within Yorkshire and the Humber Euro Region, far Willenhall North",Is Tong within Yorkshire and the Humber Euro Region and far to Willenhall North?,Yes,no_change
Tong,within,Yorkshire and the Humber Euro Region,far,Willenhall North,"Tong is within Yorkshire and the Humber Euro Region, far Willenhall North",Is Tong within Yorkshire and the Humber Euro Region and near to Willenhall North?,No,replace_dis_token
Tong,borders,Bowling and Barkerend,near,Wibsey,"Tong is borders Bowling and Barkerend, near Wibsey",Does Tong borders Bowling and Barkerend and near to Wibsey?,Yes,no_change
Tong,borders,Bowling and Barkerend,near,Wibsey,"Tong is borders Bowling and Barkerend, near Wibsey",Does Tong borders Bowling and Barkerend and far to Wibsey?,No,replace_dis_token
Tong,borders,Bowling and Barkerend,close,Worth Valley,"Tong is borders Bowling and Barkerend, close Worth Valley",Does Tong borders Bowling and Barkerend and close to Worth Valley?,Yes,no_change
Tong,borders,Bowling and Barkerend,close,Worth Valley,"Tong is borders Bowling and Barkerend, close Worth Valley",Does Bowling and Barkerend borders Tong and close to Worth Valley?,No,flip_place
Swinton,within,Yorkshire and the Humber Euro Region,distant,Kirkburton,"Swinton is within Yorkshire and the Humber Euro Region, distant Kirkburton",Is Swinton within Yorkshire and the Humber Euro Region and distant to Kirkburton?,Yes,no_change
