question,options,answer,option_sources,concept,top,dis,dir
Which city is located in south of Newsome?,"A. Stepping Hill
B. Royds
C. Hazel Grove",C. Hazel Grove,"hard,random,correct",1,0,0,1
Which city is located in south of Irlam?,"A. Page Moss
B. Denton North East
C. Langley",C. Langley,"random,hard,correct",1,0,0,1
Which city is located in south of Brighouse?,"A. Dukinfield Stalybridge
B. Oxton
C. Sharston",A. Dukinfield Stalybridge,"correct,random,hard",1,0,0,1
Which city is located in south of Hebburn South?,"A. Kingstanding
B. Westhoughton
C. Droylsden East",A. Kingstanding,"correct,random,hard",1,0,0,1
Which city is located in south of Wingfield?,"A. Palfrey
B. Hillsborough
C. Keighley",A. Palfrey,"correct,hard,random",1,0,0,1
Which city is located in south of Knotty Ash?,"A. Wednesbury South
B. East Park
C. Hayley Green and Cradley South",A. Wednesbury South,"correct,random,hard",1,0,0,1
Which city is located in south of Bradford Moor?,"A. Shipley
B. Coldhurst
C. Halesowen South",C. Halesowen South,"random,hard,correct",1,0,0,1
Which city is located in south of Litherland?,"A. Bramhall South and Woodford
B. Sutton Four Oaks
C. Silhill",C. Silhill,"random,hard,correct",1,0,0,1
Which city is located in south of Keppel?,"A. Town Centre
B. Willenhall North
C. Leigh West",B. Willenhall North,"hard,correct,random",1,0,0,1
Which city is located in south of Camperdown?,"A. Shard End
B. Ashton Hurst
C. Farnworth",C. Farnworth,"random,hard,correct",1,0,0,1
Which city is located in south of Bridges?,"A. West Kirby and Thurstaston
B. City
C. Elmdon",C. Elmdon,"random,hard,correct",1,0,0,1
Which city is located in south of Kenton?,"A. Belle Vale
B. Redvales
C. Silverwood",A. Belle Vale,"correct,hard,random",1,0,0,1
Which city is located in south of Newburn?,"A. Oscott
B. Chorlton Park
C. Lobley Hill and Bensham",B. Chorlton Park,"hard,correct,random",1,0,0,1
Which city is located in south of Alwoodley?,"A. Speke-Garston
B. Sparkbrook
C. Longdendale",B. Sparkbrook,"random,correct,hard",1,0,0,1
Which city is located in south of Castle?,"A. Henley
B. Moseley and Kings Heath
C. Batley East",A. Henley,"correct,hard,random",1,0,0,1
Which city is located in south of Hipperholme and Lightcliffe?,"A. Colne Valley
B. Stocksbridge & Upper Don
C. Earlsdon",A. Colne Valley,"correct,hard,random",1,0,0,1
Which city is located in south of Parr?,"A. Leigh East
B. Lye and Stourbridge North
C. Wednesbury North",B. Lye and Stourbridge North,"hard,correct,random",1,0,0,1
Which city is located in south of Central Rochdale?,"A. Manningham
B. Levenshulme
C. Hopwood Hall",B. Levenshulme,"random,correct,hard",1,0,0,1
Which city is located in south of Moortown?,"A. Kingswinford North and Wall Heath
B. Paddock
C. Washwood Heath",B. Paddock,"random,correct,hard",1,0,0,1
Which city is located in south of Wakefield West?,"A. Worsbrough
B. Maltby South Yorkshire
C. Oxton",B. Maltby South Yorkshire,"hard,correct,random",1,0,0,1
Which city is located in south of Ovenden?,"A. Northenden
B. Acocks Green
C. Brinnington and Central",C. Brinnington and Central,"random,hard,correct",1,0,0,1
Which city is located in south of Hateley Heath?,"A. Clayton and Fairweather Green
B. Selly Oak
C. Halesowen South",B. Selly Oak,"random,correct,hard",1,0,0,1
Which city is located in south of Shiney Row?,"A. Bradford Moor
B. Castleton
C. Stanley and Outwood East",B. Castleton,"hard,correct,random",1,0,0,1
Which city is located in south of Low Fell?,"A. Pelsall
B. Denton North East
C. Earlestown",C. Earlestown,"hard,random,correct",1,0,0,1
Which city is located in south of Colne Valley?,"A. Bloxwich West
B. Fallings Park
C. Meriden West Midlands",B. Fallings Park,"hard,correct,random",1,0,0,1
Which city is located in south of Hopwood Hall?,"A. Kingswinford South
B. Heckmondwike
C. Smethwick",A. Kingswinford South,"correct,random,hard",1,0,0,1
Which city is located in south of Dunston Hill and Whickham East?,"A. Dearne North
B. Walkden South
C. Killingbeck and Seacroft",A. Dearne North,"correct,random,hard",1,0,0,1
Which city is located in south of Royds?,"A. Stretford
B. Dukinfield Stalybridge
C. Bushbury South and Low Hill",B. Dukinfield Stalybridge,"hard,correct,random",1,0,0,1
Which city is located in south of Valley?,"A. Longford
B. Knowle
C. Boothstown and Ellenbrook",A. Longford,"correct,hard,random",1,0,0,1
Which city is located in south of Leigh West?,"A. Lowton East
B. Wednesbury South
C. Roman Ridge",B. Wednesbury South,"hard,correct,random",1,0,0,1
Which city is located in south of Byker?,"A. Dorridge and Hockley Heath
B. Gorton South
C. Killingbeck and Seacroft",A. Dorridge and Hockley Heath,"correct,hard,random",1,0,0,1
Which city is located in south of Little Horton?,"A. Earlestown
B. Woodhouse
C. Boston Castle",C. Boston Castle,"random,hard,correct",1,0,0,1
Which city is located in south of Preston?,"A. City
B. Great Horton
C. Maltby South Yorkshire",C. Maltby South Yorkshire,"hard,random,correct",1,0,0,1
Which city is located in south of Barnes?,"A. Bolton and Undercliffe
B. Hipperholme and Lightcliffe
C. Holbrook",B. Hipperholme and Lightcliffe,"hard,correct,random",1,0,0,1
Which city is located in south of Old Moat?,"A. Rock Ferry
B. Bramhall North
C. Great Barr with Yew Tree",B. Bramhall North,"random,correct,hard",1,0,0,1
Which city is located in south of Burmantofts and Richmond Hill?,"A. Hatfield
B. Rothwell
C. Kings Norton",B. Rothwell,"hard,correct,random",1,0,0,1
Which city is located in south of St. Gabriels?,"A. Nechells
B. Blackheath
C. Biddick and All Saints",B. Blackheath,"hard,correct,random",1,0,0,1
Which city is located in south of Birkenhead and Tranmere?,"A. Heswall
B. Luddendenfoot
C. Kirkdale",A. Heswall,"correct,random,hard",1,0,0,1
Which city is located in south of Stainforth & Barnby Dun?,"A. Worsley
B. Swinton North
C. Kingstanding",C. Kingstanding,"hard,random,correct",1,0,0,1
Which city is located in south of Hebburn South?,"A. Ladywood
B. Kingstanding
C. Sherbourne Warwickshire",C. Sherbourne Warwickshire,"random,hard,correct",1,0,0,1
Which city is located in south of Washington Central?,"A. Cheadle Hulme South
B. Castle and Priory
C. Headingley",B. Castle and Priory,"random,correct,hard",1,0,0,1
Which city is located in south of Ryhope?,"A. Swinton South
B. Batley West
C. Quinton",B. Batley West,"random,correct,hard",1,0,0,1
Which city is located in south of Clayton and Fairweather Green?,"A. Selly Oak
B. Gorton South
C. Cleckheaton",C. Cleckheaton,"hard,random,correct",1,0,0,1
Which city is located in south of Dewsbury West?,"A. Belle Vale
B. Lye and Stourbridge North
C. Harper Green",B. Lye and Stourbridge North,"hard,correct,random",1,0,0,1
Which city is located in south of Normanton West Yorkshire?,"A. Lye and Stourbridge North
B. Darton West
C. Upton",A. Lye and Stourbridge North,"correct,hard,random",1,0,0,1
Which city is located in south of Preston?,"A. Norden
B. North Middleton
C. City",A. Norden,"correct,random,hard",1,0,0,1
Which city is located in south of Hendon?,"A. Gipton and Harehills
B. Hexthorpe & Balby North
C. Wheatley Hills & Intake",C. Wheatley Hills & Intake,"hard,random,correct",1,0,0,1
Which city is located in south of Smithills?,"A. Henley
B. Bordesley Green
C. Tyburn",B. Bordesley Green,"hard,correct,random",1,0,0,1
Which city is located in south of Calverley and Farsley?,"A. Quarry Bank and Dudley Wood
B. Lower Stoke
C. Normanton West Yorkshire",A. Quarry Bank and Dudley Wood,"correct,hard,random",1,0,0,1
Which city is located in south of Prenton?,"A. Wainbody
B. Stairfoot
C. Weoley",C. Weoley,"hard,random,correct",1,0,0,1
Which city is located in south of Whiteleas?,"A. Pleck
B. Hindley
C. Crookes & Crosspool",A. Pleck,"correct,random,hard",1,0,0,1
Which city is located in south of Luddendenfoot?,"A. Saddleworth
B. Westhoughton
C. Hopwood Hall",A. Saddleworth,"correct,random,hard",1,0,0,1
Which city is located in south of Derby?,"A. Dorridge and Hockley Heath
B. Birkdale
C. Parr",A. Dorridge and Hockley Heath,"correct,hard,random",1,0,0,1
Which city is located in south of Birstall and Birkenshaw?,"A. Town
B. Gornal
C. Merry Hill",C. Merry Hill,"random,hard,correct",1,0,0,1
Which city is located in south of Park?,"A. Castle Bromwich
B. Bradford
C. Wallasey",B. Bradford,"random,correct,hard",1,0,0,1
Which city is located in south of Abram?,"A. Handsworth Wood
B. Graiseley
C. Victoria",B. Graiseley,"random,correct,hard",1,0,0,1
Which city is located in south of Chirton?,"A. Golcar
B. Manor
C. Metropolitan Borough of Gateshead",A. Golcar,"correct,hard,random",1,0,0,1
Which city is located in south of Sitwell?,"A. Greenbank
B. Cheadle Hulme North
C. Friar Park",C. Friar Park,"hard,random,correct",1,0,0,1
Which city is located in south of Hatfield?,"A. Yorkshire and the Humber Euro Region
B. West Ecclesfield
C. Spring Vale",C. Spring Vale,"hard,random,correct",1,0,0,1
Which city is located in south of Wardley and Leam Lane?,"A. Baguley
B. Todmorden
C. Wardle and West Littleborough",B. Todmorden,"hard,correct,random",1,0,0,1
Which city is located in south of Chowdene?,"A. Kersal
B. Mosborough
C. Silverwood",B. Mosborough,"random,correct,hard",1,0,0,1
Which city is located in south of Redhill?,"A. Hyde Newton
B. Bradford
C. Bentley and Darlaston North",A. Hyde Newton,"correct,random,hard",1,0,0,1
Which city is located in south of Beacon and Bents?,"A. Beeston and Holbeck
B. Norwood
C. Walkden South",C. Walkden South,"random,hard,correct",1,0,0,1
Which city is located in south of Leigh South?,"A. Medlock Vale
B. Saddleworth North
C. Newton",C. Newton,"random,hard,correct",1,0,0,1
Which city is located in south of Dewsbury South?,"A. Wickersley
B. Atherleigh
C. Kirkburton",C. Kirkburton,"hard,random,correct",1,0,0,1
Which city is located in south of Castleton?,"A. North East
B. Blakenhall
C. Langworthy",B. Blakenhall,"random,correct,hard",1,0,0,1
Which city is located in south of Collingwood?,"A. Werneth
B. Washington Central
C. St. Michael's",B. Washington Central,"random,correct,hard",1,0,0,1
Which city is located in south of Whickham South and Sunniside?,"A. West Ecclesfield
B. St. James's
C. Guiseley and Rawdon",A. West Ecclesfield,"correct,random,hard",1,0,0,1
Which city is located in south of Ordsall?,"A. Cradley Heath and Old Hill
B. St. Michaels
C. South Tyneside",A. Cradley Heath and Old Hill,"correct,random,hard",1,0,0,1
Which city is located in south of Whiteleas?,"A. Pleck
B. Bucklow-St. Martins
C. Crookes & Crosspool",C. Crookes & Crosspool,"hard,random,correct",1,0,0,1
Which city is located in south of Howdon?,"A. Beighton
B. Riverside
C. Norris Green",B. Riverside,"hard,correct,random",1,0,0,1
Which city is located in south of Hipperholme and Lightcliffe?,"A. Orgreave South Yorkshire
B. Colne Valley
C. Rumworth",A. Orgreave South Yorkshire,"correct,hard,random",1,0,0,1
Which city is located in south of Wyke?,"A. Short Heath
B. Didsbury West
C. Tong",B. Didsbury West,"hard,correct,random",1,0,0,1
Which city is located in south of Shipley?,"A. Saddleworth North
B. Woolton
C. Bournville",C. Bournville,"random,hard,correct",1,0,0,1
Which city is located in south of Page Moss?,"A. Ettingshall
B. Newsome
C. St. Chad's",A. Ettingshall,"correct,hard,random",1,0,0,1
Which city is located in south of Princes Park?,"A. Hale Central
B. Roby
C. Nechells",C. Nechells,"hard,random,correct",1,0,0,1
Which city is located in south of Graves Park?,"A. Hebburn South
B. Lye and Stourbridge North
C. Billesley",B. Lye and Stourbridge North,"hard,correct,random",1,0,0,1
Which city is located in south of Haydock?,"A. Tyburn
B. Lindley
C. Princes End",C. Princes End,"random,hard,correct",1,0,0,1
Which city is located in south of North Middleton?,"A. Kingswinford South
B. Radcliffe East
C. Pensby and Thingwall",A. Kingswinford South,"correct,hard,random",1,0,0,1
Which city is located in south of Rockingham?,"A. Billesley
B. Woodlands
C. Ouseburn",B. Woodlands,"hard,correct,random",1,0,0,1
Which city is located in south of Washington West?,"A. West Midlands Euro Region
B. West Midlands Euro Region
C. Upper Stoke",C. Upper Stoke,"hard,random,correct",1,0,0,1
Which city is located in south of St. Helens?,"A. County Borough of Leeds
B. Darnall
C. Seacombe",B. Darnall,"hard,correct,random",1,0,0,1
Which city is located in south of Douglas?,"A. Winstanley
B. Queensbury
C. Halesowen North",A. Winstanley,"correct,random,hard",1,0,0,1
Which city is located in south of Valley?,"A. Saddleworth West and Lees
B. Balby South
C. Knowle",C. Knowle,"hard,random,correct",1,0,0,1
Which city is located in south of Sandhill?,"A. Langley
B. Brandwood
C. Bold St Helens",A. Langley,"correct,hard,random",1,0,0,1
Which city is located in south of Stockbridge?,"A. West Midlands Euro Region
B. Atherton
C. East Park",C. East Park,"hard,random,correct",1,0,0,1
Which city is located in south of Smallbridge and Firgrove?,"A. Hale Central
B. Ladywood
C. Old Moat",B. Ladywood,"random,correct,hard",1,0,0,1
Which city is located in south of Bushbury North?,"A. Edgbaston
B. Stainforth & Barnby Dun
C. Lye and Stourbridge North",C. Lye and Stourbridge North,"hard,random,correct",1,0,0,1
Which city is located in south of Dalton?,"A. Offerton Park
B. Halesowen South
C. Batley West",A. Offerton Park,"correct,hard,random",1,0,0,1
Which city is located in south of Atherleigh?,"A. Dorridge and Hockley Heath
B. Finstall
C. Chadderton North",A. Dorridge and Hockley Heath,"correct,hard,random",1,0,0,1
Which city is located in south of Woolton?,"A. Graiseley
B. Tonge with the Haulgh
C. Haydock",A. Graiseley,"correct,hard,random",1,0,0,1
Which city is located in south of Wingrove?,"A. Sheldon
B. Heckmondwike
C. Pheasey Park Farm",B. Heckmondwike,"hard,correct,random",1,0,0,1
Which city is located in south of St. Mary's?,"A. Bloxwich West
B. Tettenhall Regis
C. Bramhall North",B. Tettenhall Regis,"hard,correct,random",1,0,0,1
Which city is located in south of Meols?,"A. East Ecclesfield
B. Bablake
C. Halesowen North",C. Halesowen North,"hard,random,correct",1,0,0,1
Which city is located in south of Beighton?,"A. Halesowen North
B. Dewsbury East
C. Langley",C. Langley,"hard,random,correct",1,0,0,1
Which city is located in south of Horsley Hill?,"A. Gipton and Harehills
B. Blackheath
C. Leasowe and Moreton East",C. Leasowe and Moreton East,"random,hard,correct",1,0,0,1
Which city is located in south of Hazel Grove?,"A. Pedmore and Stourbridge East
B. Princes Park
C. Birmingham",A. Pedmore and Stourbridge East,"correct,random,hard",1,0,0,1
Which city is located in south of Orgreave South Yorkshire?,"A. St. Mary's
B. Kingstanding
C. Aston",C. Aston,"random,hard,correct",1,0,0,1
Which city is located in south of Waterhead?,"A. Gornal
B. Bloxwich East
C. Milkstone and Deeplish",A. Gornal,"correct,random,hard",1,0,0,1
Which city is located in south of Earlestown?,"A. Tonge with the Haulgh
B. Castle Bromwich
C. Charlestown",B. Castle Bromwich,"hard,correct,random",1,0,0,1
Which city is located in south of Cullercoats?,"A. Bingley Rural
B. Aldridge North and Walsall Wood
C. South Heaton",A. Bingley Rural,"correct,hard,random",1,0,0,1
Which city is located in south of Normanton West Yorkshire?,"A. Wakefield Rural
B. Darton West
C. Lye and Stourbridge North",B. Darton West,"random,correct,hard",1,0,0,1
Which city is located in south of Boothstown and Ellenbrook?,"A. Sparkbrook
B. Chopwell and Rowlands Gill
C. Longsight",A. Sparkbrook,"correct,random,hard",1,0,0,1
Which city is located in south of Westoe?,"A. Kirkstall
B. Sutton Four Oaks
C. Ashton Hurst",B. Sutton Four Oaks,"hard,correct,random",1,0,0,1
Which city is located in south of Heath Town?,"A. Blackheath
B. Firth Park
C. Halesowen North",C. Halesowen North,"hard,random,correct",1,0,0,1
Which city is located in south of Ardsley and Robin Hood?,"A. Primrose
B. Norton
C. Tettenhall Wightwick",B. Norton,"random,correct,hard",1,0,0,1
Which city is located in south of Northwood?,"A. Spotland and Falinge
B. Hendon
C. Wednesfield North",C. Wednesfield North,"random,hard,correct",1,0,0,1
Which city is located in south of Castle Bromwich?,"A. Willenhall South
B. Blythe
C. High Fell",B. Blythe,"random,correct,hard",1,0,0,1
Which city is located in south of Unsworth?,"A. Halesowen South
B. Friar Park
C. Harpurhey",C. Harpurhey,"hard,random,correct",1,0,0,1
Which city is located in south of Reddish South?,"A. Dore & Totley
B. Kingswinford South
C. Kew",B. Kingswinford South,"random,correct,hard",1,0,0,1
Which city is located in south of Warbreck?,"A. Blakenhall
B. Halewood
C. Colne Valley",A. Blakenhall,"correct,hard,random",1,0,0,1
Which city is located in south of Bradshaw?,"A. Heatons South
B. Lyndon
C. Bowling and Barkerend",A. Heatons South,"correct,hard,random",1,0,0,1
Which city is located in south of Beauchief & Greenhill?,"A. Priory
B. Ladywood
C. Short Heath",B. Ladywood,"random,correct,hard",1,0,0,1
Which city is located in south of Douglas?,"A. Halesowen North
B. Cleadon and East Boldon
C. Winstanley",A. Halesowen North,"correct,random,hard",1,0,0,1
Which city is located in south of Howdon?,"A. Upper Gornal and Woodsetton
B. Riverside
C. Holme Valley North",A. Upper Gornal and Woodsetton,"correct,hard,random",1,0,0,1
Which city is located in south of Sprotbrough and Cusworth?,"A. Ryton Crookhill and Stella
B. Birchills Leamore
C. Woodlands",C. Woodlands,"random,hard,correct",1,0,0,1
Which city is located in south of Wallsend?,"A. Little Hulton
B. Wombwell
C. Thorne & Moorends",B. Wombwell,"hard,correct,random",1,0,0,1
Which city is located in south of Longbenton?,"A. Calderdale
B. Stainforth & Barnby Dun
C. Ashton upon Mersey",C. Ashton upon Mersey,"random,hard,correct",1,0,0,1
Which city is located in south of Astley Village?,"A. Wath
B. Spring Vale
C. Reddish South",B. Spring Vale,"random,correct,hard",1,0,0,1
Which city is located in south of Shiney Row?,"A. Spotland and Falinge
B. Hayley Green and Cradley South
C. Hoyland Milton",B. Hayley Green and Cradley South,"random,correct,hard",1,0,0,1
Which city is located in south of Wharfedale?,"A. Morley South
B. Shevington with Lower Ground
C. Swinton",A. Morley South,"correct,random,hard",1,0,0,1
Which city is located in south of Baildon?,"A. Sale Moor
B. Metropolitan Borough of Bolton
C. Cradley Heath and Old Hill",A. Sale Moor,"correct,random,hard",1,0,0,1
Which city is located in south of Felling?,"A. Fulwood
B. Reddish South
C. Park",B. Reddish South,"random,correct,hard",1,0,0,1
Which city is located in south of Rumworth?,"A. Southwick
B. Blakenhall
C. Brooklands",C. Brooklands,"random,hard,correct",1,0,0,1
Which city is located in south of Crosland Moor and Netherton?,"A. Whitley Bay
B. Southey
C. Liscard",B. Southey,"random,correct,hard",1,0,0,1
Which city is located in south of Cullercoats?,"A. Bingley Rural
B. Aldridge North and Walsall Wood
C. Blackheath",B. Aldridge North and Walsall Wood,"hard,correct,random",1,0,0,1
Which city is located in south of Washington South?,"A. Ackworth North Elmsall and Upton
B. Kingshurst and Fordbridge
C. Claremont",B. Kingshurst and Fordbridge,"hard,correct,random",1,0,0,1
Which city is located in south of Primrose?,"A. Coldhurst
B. Weetwood
C. Bloxwich West",A. Coldhurst,"correct,random,hard",1,0,0,1
Which city is located in south of Adel and Wharfedale?,"A. Saddleworth
B. Rockingham
C. Luddendenfoot",B. Rockingham,"hard,correct,random",1,0,0,1
Which city is located in south of Heatons South?,"A. Hall Green
B. Cheadle and Gatley
C. Northenden",B. Cheadle and Gatley,"hard,correct,random",1,0,0,1
Which city is located in south of Thatto Heath?,"A. Liscard
B. Ladywood
C. Altrincham",B. Ladywood,"hard,correct,random",1,0,0,1
Which city is located in south of Whickham North?,"A. West Ecclesfield
B. Wakefield North
C. Norwood",A. West Ecclesfield,"correct,random,hard",1,0,0,1
Which city is located in south of Keighley?,"A. Wibsey
B. Blythe
C. Wednesbury North",B. Blythe,"hard,correct,random",1,0,0,1
Which city is located in south of Bramhall North?,"A. Sherbourne Warwickshire
B. Metropolitan Borough of St Helens
C. Longbridge",C. Longbridge,"hard,random,correct",1,0,0,1
Which city is located in south of Everton?,"A. Birmingham
B. Pelsall
C. Collingwood",B. Pelsall,"random,correct,hard",1,0,0,1
Which city is located in south of Hipperholme and Lightcliffe?,"A. Stocksbridge & Upper Don
B. Bede
C. Orgreave South Yorkshire",A. Stocksbridge & Upper Don,"correct,random,hard",1,0,0,1
Which city is located in south of Leigh West?,"A. Cleadon and East Boldon
B. Lowton East
C. Wednesbury South",B. Lowton East,"random,correct,hard",1,0,0,1
Which city is located in south of Hyde Park and Woodhouse?,"A. Hindley Green
B. Swinton North
C. Longbridge",C. Longbridge,"hard,random,correct",1,0,0,1
Which city is located in south of Dunston Hill and Whickham East?,"A. Kirkstall
B. Halesowen North
C. Dearne North",A. Kirkstall,"correct,random,hard",1,0,0,1
Which city is located in south of Whickham North?,"A. Denton West
B. West Ecclesfield
C. Pontefract South",C. Pontefract South,"random,hard,correct",1,0,0,1
Which city is located in south of Washington South?,"A. Kingshurst and Fordbridge
B. Ackworth North Elmsall and Upton
C. Harborne",B. Ackworth North Elmsall and Upton,"hard,correct,random",1,0,0,1
Which city is located in south of Royton North?,"A. Silksworth
B. Chadderton Central
C. Sutton Vesey",B. Chadderton Central,"random,correct,hard",1,0,0,1
Which city is located in south of Hateley Heath?,"A. Halesowen South
B. Selly Oak
C. Ainsdale",A. Halesowen South,"correct,hard,random",1,0,0,1
Which city is located in south of Moorside?,"A. Halesowen North
B. Failsworth West
C. Hendon",B. Failsworth West,"random,correct,hard",1,0,0,1
Which city is located in south of Fawdon?,"A. Adwick le Street & Carcroft
B. South Elmsall and South Kirkby
C. Horsforth",B. South Elmsall and South Kirkby,"hard,correct,random",1,0,0,1
Which city is located in south of North Manor?,"A. Cradley Heath and Old Hill
B. Howdon
C. Unsworth",C. Unsworth,"hard,random,correct",1,0,0,1
Which city is located in south of Rusholme?,"A. Knowle
B. North Heywood
C. Cheadle Hulme North",C. Cheadle Hulme North,"hard,random,correct",1,0,0,1
Which city is located in south of Pelaw and Heworth?,"A. Little Lever and Darcy Lever
B. Swinton South
C. Rock Ferry",C. Rock Ferry,"random,hard,correct",1,0,0,1
Which city is located in south of Bingley Rural?,"A. Offerton Park
B. Didsbury West
C. Chorlton Park",A. Offerton Park,"correct,hard,random",1,0,0,1
Which city is located in south of Bridges?,"A. Aston
B. Mosborough
C. Elmdon",A. Aston,"correct,random,hard",1,0,0,1
Which city is located in south of Wrenthorpe and Outwood West?,"A. Illingworth and Mixenden
B. Beauchief & Greenhill
C. Halesowen South",B. Beauchief & Greenhill,"random,correct,hard",1,0,0,1
Which city is located in south of Oxton?,"A. Firth Park
B. Pensby and Thingwall
C. Dorridge and Hockley Heath",C. Dorridge and Hockley Heath,"random,hard,correct",1,0,0,1
Which city is located in south of Belle Vale?,"A. St. Thomas's
B. Metropolitan Borough of Bolton
C. Netherton Woodside and St. Andrews",C. Netherton Woodside and St. Andrews,"hard,random,correct",1,0,0,1
Which city is located in south of Bredbury and Woodley?,"A. West Derby
B. Ettingshall
C. Wednesfield North",B. Ettingshall,"random,correct,hard",1,0,0,1
Which city is located in south of Halewood North?,"A. Hulton
B. Valley
C. Washwood Heath",C. Washwood Heath,"hard,random,correct",1,0,0,1
Which city is located in south of Tonge with the Haulgh?,"A. Crosland Moor and Netherton
B. Graiseley
C. Blythe",C. Blythe,"hard,random,correct",1,0,0,1
Which city is located in south of Kingstanding?,"A. Aston
B. Dorridge and Hockley Heath
C. Lowton East",A. Aston,"correct,hard,random",1,0,0,1
Which city is located in south of Sowerby Bridge?,"A. Astley Village
B. Brownhills
C. City of Bradford",B. Brownhills,"hard,correct,random",1,0,0,1
Which city is located in south of Doxford?,"A. Stepping Hill
B. Droylsden West
C. Ardsley and Robin Hood",B. Droylsden West,"random,correct,hard",1,0,0,1
Which city is located in south of Cheadle Hulme North?,"A. Rushall-Shelfield
B. Lower Stoke
C. Norris Green",A. Rushall-Shelfield,"correct,hard,random",1,0,0,1
Which city is located in south of Dinnington St. John's?,"A. Wrenthorpe and Outwood West
B. Kings Norton
C. Temple Newsam",B. Kings Norton,"hard,correct,random",1,0,0,1
Which city is located in south of Ashton Hurst?,"A. Marple North
B. West Kirby and Thurstaston
C. Reddish North",A. Marple North,"correct,random,hard",1,0,0,1
Which city is located in south of Boston Castle?,"A. Castle
B. Brinsworth and Catcliffe
C. Merry Hill",C. Merry Hill,"hard,random,correct",1,0,0,1
Which city is located in south of Low Fell?,"A. Chorlton Park
B. Pelsall
C. Earlestown",B. Pelsall,"random,correct,hard",1,0,0,1
Which city is located in south of Weetslade?,"A. Whiston & Cronton
B. Tettenhall Regis
C. Westhoughton North and Chew Moor",C. Westhoughton North and Chew Moor,"hard,random,correct",1,0,0,1
Which city is located in south of Bingley Rural?,"A. Offerton Park
B. Didsbury West
C. Manor",B. Didsbury West,"hard,correct,random",1,0,0,1
Which city is located in south of Guiseley and Rawdon?,"A. Winton
B. Netherton Woodside and St. Andrews
C. Medlock Vale",A. Winton,"correct,random,hard",1,0,0,1
Which city is located in south of Clifford?,"A. Bloxwich East
B. Aldridge Central and South
C. Norden",B. Aldridge Central and South,"random,correct,hard",1,0,0,1
Which city is located in south of Westhoughton North and Chew Moor?,"A. Silksworth
B. Dorridge and Hockley Heath
C. Chirton",B. Dorridge and Hockley Heath,"hard,correct,random",1,0,0,1
Which city is located in south of Keighley?,"A. Golcar
B. Wibsey
C. Handsworth Wood",C. Handsworth Wood,"random,hard,correct",1,0,0,1
Which city is located in south of Biddick and All Saints?,"A. Stepping Hill
B. Wednesfield South
C. Heatons North",B. Wednesfield South,"random,correct,hard",1,0,0,1
Which city is located in south of Ryhope?,"A. Batley West
B. Upton
C. Quinton",C. Quinton,"hard,random,correct",1,0,0,1
Which city is located in south of Monkseaton South?,"A. Radcliffe East
B. Bede
C. Ryton Crookhill and Stella",B. Bede,"hard,correct,random",1,0,0,1
Which city is located in south of Headingley?,"A. Burnage
B. Whoberley
C. Baguley",C. Baguley,"random,hard,correct",1,0,0,1
Which city is located in south of Winlaton and High Spen?,"A. Baildon
B. Fulwell
C. Bowling and Barkerend",C. Bowling and Barkerend,"hard,random,correct",1,0,0,1
Which city is located in south of Bushbury North?,"A. Lye and Stourbridge North
B. Edgbaston
C. Anfield",B. Edgbaston,"hard,correct,random",1,0,0,1
Which city is located in south of Sandhill?,"A. Brandwood
B. Bede
C. Wheatley Hills & Intake",A. Brandwood,"correct,random,hard",1,0,0,1
Which city is located in south of Bingley?,"A. Pallion
B. Tettenhall Regis
C. Harborne",B. Tettenhall Regis,"hard,correct,random",1,0,0,1
Which city is located in south of Tyburn?,"A. Knowle
B. Hillsborough
C. Dore & Totley",A. Knowle,"correct,random,hard",1,0,0,1
Which city is located in south of Stocksbridge & Upper Don?,"A. Oldbury
B. Edgbaston
C. Blakenall",B. Edgbaston,"random,correct,hard",1,0,0,1
Which city is located in south of Headingley?,"A. Friar Park
B. Brinsworth and Catcliffe
C. Baguley",A. Friar Park,"correct,random,hard",1,0,0,1
Which city is located in south of Hyde Newton?,"A. Hazel Grove
B. Golcar
C. Horwich",A. Hazel Grove,"correct,hard,random",1,0,0,1
Which city is located in south of Pelaw and Heworth?,"A. Rock Ferry
B. Heath Town
C. Swinton South",C. Swinton South,"hard,random,correct",1,0,0,1
Which city is located in south of Illingworth and Mixenden?,"A. Abbey
B. Balderstone and Kirkholt
C. Gorton South",C. Gorton South,"random,hard,correct",1,0,0,1
Which city is located in south of Copt Hill?,"A. Wainbody
B. Graiseley
C. Denton South",A. Wainbody,"correct,random,hard",1,0,0,1
Which city is located in south of Shiney Row?,"A. Brandwood
B. Bradford Moor
C. Hoyland Milton",B. Bradford Moor,"random,correct,hard",1,0,0,1
Which city is located in south of Ravenmeols?,"A. St. Thomas's
B. North Heaton
C. Soho",A. St. Thomas's,"correct,random,hard",1,0,0,1
Which city is located in south of Rumworth?,"A. Brooklands
B. Bromborough
C. Blakenhall",C. Blakenhall,"hard,random,correct",1,0,0,1
Which city is located in south of Kingstanding?,"A. Dorridge and Hockley Heath
B. Hetton-le-Hole
C. Aston",A. Dorridge and Hockley Heath,"correct,random,hard",1,0,0,1
Which city is located in south of East Gosforth?,"A. Tividale
B. Sherbourne Warwickshire
C. East Gosforth",A. Tividale,"correct,hard,random",1,0,0,1
Which city is located in south of Ashton Waterloo?,"A. Royton North
B. Newton
C. Denton",B. Newton,"random,correct,hard",1,0,0,1
