place1,relation,place2,triplet,question,options,answer,option_sources
Great Horton,north,Colne Valley,Great Horton is north Colne Valley,Which city is located in north of Colne Valley?,"A. Great Horton
B. Derby
C. Collingwood",A. Great Horton,"correct,random,hard"
Longbenton,north,Thornton and Allerton,Longbenton is north Thornton and Allerton,Which city is located in north of Thornton and Allerton?,"A. Little Horton
B. Longbenton
C. Ettingshall",B. Longbenton,"hard,correct,random"
Speke-Garston,north,Belle Vale,Speke-Garston is north Belle Vale,Which city is located in north of Belle Vale?,"A. Pendlebury
B. Speke-Garston
C. Holme Valley North",B. Speke-Garston,"random,correct,hard"
Washington West,north,Cleckheaton,Washington West is north Cleckheaton,Which city is located in north of Cleckheaton?,"A. Washington West
B. Prenton
C. Headingley",A. Washington West,"correct,random,hard"
Irlam,north,Rowley,Irlam is north Rowley,Which city is located in north of Rowley?,"A. Gipton and Harehills
B. Hulton
C. Irlam",C. Irlam,"random,hard,correct"
Bede,north,Denton West,Bede is north Denton West,Which city is located in north of Denton West?,"A. Bede
B. Wakefield South
C. Elswick",A. Bede,"correct,random,hard"
Elswick,north,Adel and Wharfedale,Elswick is north Adel and Wharfedale,Which city is located in north of Adel and Wharfedale?,"A. Ardwick
B. Elswick
C. St. Chad's",B. Elswick,"hard,correct,random"
Werneth,north,Handsworth Wood,Werneth is north Handsworth Wood,Which city is located in north of Handsworth Wood?,"A. Hindley Green
B. Werneth
C. Tipton Green",B. Werneth,"hard,correct,random"
Knottingley,north,Wath,Knottingley is north Wath,Which city is located in north of Wath?,"A. Knottingley
B. Pudsey
C. Erdington",A. Knottingley,"correct,random,hard"
Rock Ferry,north,Short Heath,Rock Ferry is north Short Heath,Which city is located in north of Short Heath?,"A. Upton
B. Thatto Heath
C. Rock Ferry",C. Rock Ferry,"hard,random,correct"
Kirkdale,north,Shirley East,Kirkdale is north Shirley East,Which city is located in north of Shirley East?,"A. Kirkburton
B. Pudsey
C. Kirkdale",C. Kirkdale,"random,hard,correct"
Darfield,north,Graves Park,Darfield is north Graves Park,Which city is located in north of Graves Park?,"A. Bingley
B. Halewood North
C. Darfield",C. Darfield,"hard,random,correct"
Werneth,north,Newton,Werneth is north Newton,Which city is located in north of Newton?,"A. Denton
B. High Fell
C. Werneth",C. Werneth,"random,hard,correct"
Bolton and Undercliffe,north,Hollinwood,Bolton and Undercliffe is north Hollinwood,Which city is located in north of Hollinwood?,"A. Bolton and Undercliffe
B. South Middleton
C. Heald Green",A. Bolton and Undercliffe,"correct,hard,random"
Wyke,north,Willenhall North,Wyke is north Willenhall North,Which city is located in north of Willenhall North?,"A. Friar Park
B. Winlaton and High Spen
C. Wyke",C. Wyke,"random,hard,correct"
Hindley Green,north,Ettingshall,Hindley Green is north Ettingshall,Which city is located in north of Ettingshall?,"A. Hindley Green
B. Wavertree
C. Mosborough",A. Hindley Green,"correct,random,hard"
Swinton North,north,Kingstanding,Swinton North is north Kingstanding,Which city is located in north of Kingstanding?,"A. Bramhall South and Woodford
B. Heatons North
C. Swinton North",C. Swinton North,"random,hard,correct"
Fenham,north,Heckmondwike,Fenham is north Heckmondwike,Which city is located in north of Heckmondwike?,"A. Fenham
B. Bilston East
C. Old Moat",A. Fenham,"correct,random,hard"
Smithills,north,Lower Stoke,Smithills is north Lower Stoke,Which city is located in north of Lower Stoke?,"A. Bradford Moor
B. Smithills
C. Metropolitan Borough of Wirral",B. Smithills,"hard,correct,random"
Elswick,north,Denton West,Elswick is north Denton West,Which city is located in north of Denton West?,"A. Bede
B. Elswick
C. Springfield",B. Elswick,"hard,correct,random"
Hale Barns,north,Princes End,Hale Barns is north Princes End,Which city is located in north of Princes End?,"A. Edlington & Warmsworth
B. Hale Barns
C. Woodhouse Park",B. Hale Barns,"hard,correct,random"
Ossett,north,Brierley Hill,Ossett is north Brierley Hill,Which city is located in north of Brierley Hill?,"A. Leigh South
B. Acocks Green
C. Ossett",C. Ossett,"random,hard,correct"
Liversedge and Gomersal,north,Fulwood,Liversedge and Gomersal is north Fulwood,Which city is located in north of Fulwood?,"A. Haydock
B. Rossington
C. Liversedge and Gomersal",C. Liversedge and Gomersal,"hard,random,correct"
Molyneux,north,Amblecote,Molyneux is north Amblecote,Which city is located in north of Amblecote?,"A. Radcliffe North
B. Molyneux
C. Elland",B. Molyneux,"hard,correct,random"
Silksworth,north,Kingstanding,Silksworth is north Kingstanding,Which city is located in north of Kingstanding?,"A. Silksworth
B. Woodlands
C. Heatons North",A. Silksworth,"correct,random,hard"
Toller,north,Woodhouse,Toller is north Woodhouse,Which city is located in north of Woodhouse?,"A. Waterhead
B. Nechells
C. Toller",C. Toller,"random,hard,correct"
High Fell,north,Sedgley,High Fell is north Sedgley,Which city is located in north of Sedgley?,"A. High Fell
B. Bingley Rural
C. Thornton and Allerton",A. High Fell,"correct,hard,random"
Breightmet,north,Brooklands,Breightmet is north Brooklands,Which city is located in north of Brooklands?,"A. Darnall
B. Longbenton
C. Breightmet",C. Breightmet,"random,hard,correct"
Westgate,north,St. Matthew's,Westgate is north St. Matthew's,Which city is located in north of St. Matthew's?,"A. Westgate
B. Coventry
C. Irlam",A. Westgate,"correct,random,hard"
Collingwood,north,Lobley Hill and Bensham,Collingwood is north Lobley Hill and Bensham,Which city is located in north of Lobley Hill and Bensham?,"A. Riverside
B. Doxey
C. Collingwood",C. Collingwood,"hard,random,correct"
Primrose,north,Hindley Green,Primrose is north Hindley Green,Which city is located in north of Hindley Green?,"A. Radcliffe West
B. Primrose
C. St. Helens",B. Primrose,"hard,correct,random"
Whitburn and Marsden,north,City Centre,Whitburn and Marsden is north City Centre,Which city is located in north of City Centre?,"A. Monk Bretton
B. Bolton and Undercliffe
C. Whitburn and Marsden",C. Whitburn and Marsden,"random,hard,correct"
Knottingley,north,Lozells and East Handsworth,Knottingley is north Lozells and East Handsworth,Which city is located in north of Lozells and East Handsworth?,"A. Clayton and Fairweather Green
B. Swinton South
C. Knottingley",C. Knottingley,"random,hard,correct"
Edenthorpe,north,Fallings Park,Edenthorpe is north Fallings Park,Which city is located in north of Fallings Park?,"A. Sedgley
B. Edenthorpe
C. Benton",B. Edenthorpe,"random,correct,hard"
St. Oswald,north,Shirley West,St. Oswald is north Shirley West,Which city is located in north of Shirley West?,"A. Bolton and Undercliffe
B. Irlam
C. St. Oswald",C. St. Oswald,"hard,random,correct"
St. Gabriels,north,Radford,St. Gabriels is north Radford,Which city is located in north of Radford?,"A. St. Gabriels
B. Altrincham
C. Walkden North",A. St. Gabriels,"correct,hard,random"
West Kirby and Thurstaston,north,Shirley East,West Kirby and Thurstaston is north Shirley East,Which city is located in north of Shirley East?,"A. Sutton Four Oaks
B. West Kirby and Thurstaston
C. Pudsey",B. West Kirby and Thurstaston,"random,correct,hard"
Boston Castle,north,Blakenhall,Boston Castle is north Blakenhall,Which city is located in north of Blakenhall?,"A. Doxey
B. Wakefield North
C. Boston Castle",C. Boston Castle,"hard,random,correct"
Camperdown,north,Harper Green,Camperdown is north Harper Green,Which city is located in north of Harper Green?,"A. Camperdown
B. Pallion
C. Great Barr with Yew Tree",A. Camperdown,"correct,hard,random"
Cullercoats,north,Olton,Cullercoats is north Olton,Which city is located in north of Olton?,"A. Camperdown
B. Cullercoats
C. Kingstone",B. Cullercoats,"random,correct,hard"
Wibsey,north,Short Heath,Wibsey is north Short Heath,Which city is located in north of Short Heath?,"A. Rock Ferry
B. Wibsey
C. Gorse Hill",B. Wibsey,"hard,correct,random"
Audenshaw,north,Meriden West Midlands,Audenshaw is north Meriden West Midlands,Which city is located in north of Meriden West Midlands?,"A. County Borough of Leeds
B. Audenshaw
C. Longsight",B. Audenshaw,"random,correct,hard"
Low Fell,north,St. Michael's,Low Fell is north St. Michael's,Which city is located in north of St. Michael's?,"A. Great Horton
B. Low Fell
C. Thorne & Moorends",B. Low Fell,"random,correct,hard"
Manor,north,Bilston East,Manor is north Bilston East,Which city is located in north of Bilston East?,"A. Manor
B. Edlington & Warmsworth
C. Sandhill",A. Manor,"correct,random,hard"
Hendon,north,Tonge with the Haulgh,Hendon is north Tonge with the Haulgh,Which city is located in north of Tonge with the Haulgh?,"A. Alexandra
B. Hendon
C. Washington West",B. Hendon,"random,correct,hard"
Westoe,north,Hall Green,Westoe is north Hall Green,Which city is located in north of Hall Green?,"A. Todmorden
B. Westoe
C. Coldhurst",B. Westoe,"random,correct,hard"
Monkseaton South,north,Adwick le Street & Carcroft,Monkseaton South is north Adwick le Street & Carcroft,Which city is located in north of Adwick le Street & Carcroft?,"A. Monkseaton South
B. Wakefield North
C. Kingstone",A. Monkseaton South,"correct,hard,random"
Deckham,north,Derby,Deckham is north Derby,Which city is located in north of Derby?,"A. Sandhill
B. Deckham
C. Wath",B. Deckham,"random,correct,hard"
Horwich and Blackrod,north,Whiston & Cronton,Horwich and Blackrod is north Whiston & Cronton,Which city is located in north of Whiston & Cronton?,"A. Bowling and Barkerend
B. Radcliffe North
C. Horwich and Blackrod",C. Horwich and Blackrod,"hard,random,correct"
Wetherby,north,Gornal,Wetherby is north Gornal,Which city is located in north of Gornal?,"A. Wetherby
B. Earlsdon
C. Otley and Yeadon",A. Wetherby,"correct,random,hard"
West Park,north,Hyde Werneth,West Park is north Hyde Werneth,Which city is located in north of Hyde Werneth?,"A. Sheffield
B. West Park
C. Streetly",B. West Park,"hard,correct,random"
Toller,north,Netherton Woodside and St. Andrews,Toller is north Netherton Woodside and St. Andrews,Which city is located in north of Netherton Woodside and St. Andrews?,"A. Toller
B. Moss Side
C. Erdington",A. Toller,"correct,hard,random"
Heswall,north,Brockmoor and Pensnett,Heswall is north Brockmoor and Pensnett,Which city is located in north of Brockmoor and Pensnett?,"A. Heswall
B. Bowdon
C. Lamesley",A. Heswall,"correct,hard,random"
Collingwood,north,Hatfield,Collingwood is north Hatfield,Which city is located in north of Hatfield?,"A. Castle Bromwich
B. Radford
C. Collingwood",C. Collingwood,"hard,random,correct"
Horsley Hill,north,Swinton North,Horsley Hill is north Swinton North,Which city is located in north of Swinton North?,"A. Horsley Hill
B. Deckham
C. Cleadon Park",A. Horsley Hill,"correct,hard,random"
Richmond,north,Kings Norton,Richmond is north Kings Norton,Which city is located in north of Kings Norton?,"A. East Gosforth
B. Moreton West and Saughall Massie
C. Richmond",C. Richmond,"hard,random,correct"
Broomhill & Sharrow Vale,north,Tettenhall Wightwick,Broomhill & Sharrow Vale is north Tettenhall Wightwick,Which city is located in north of Tettenhall Wightwick?,"A. Broomhill & Sharrow Vale
B. Dukinfield Stalybridge
C. Village",A. Broomhill & Sharrow Vale,"correct,hard,random"
Dewsbury South,north,Tipton Green,Dewsbury South is north Tipton Green,Which city is located in north of Tipton Green?,"A. Farnworth
B. Brooklands
C. Dewsbury South",C. Dewsbury South,"random,hard,correct"
Claremont,north,Bartley Green,Claremont is north Bartley Green,Which city is located in north of Bartley Green?,"A. Claremont
B. Calderdale
C. Barton",A. Claremont,"correct,random,hard"
Whiteleas,north,St. Gabriels,Whiteleas is north St. Gabriels,Which city is located in north of St. Gabriels?,"A. Whiteleas
B. Hyde Newton
C. West Bromwich Central",A. Whiteleas,"correct,random,hard"
St. Mary's,north,Rotherham West,St. Mary's is north Rotherham West,Which city is located in north of Rotherham West?,"A. St. Mary's
B. Shiregreen & Brightside
C. Manningham",A. St. Mary's,"correct,random,hard"
Swinton,north,Holderness,Swinton is north Holderness,Which city is located in north of Holderness?,"A. Swinton
B. City of Wakefield
C. Castle Eden",A. Swinton,"correct,random,hard"
Washington South,north,Warbreck,Washington South is north Warbreck,Which city is located in north of Warbreck?,"A. Washington South
B. Wheatley Hills & Intake
C. Cheylesmore",A. Washington South,"correct,hard,random"
Westhoughton,north,Baguley,Westhoughton is north Baguley,Which city is located in north of Baguley?,"A. Beighton
B. Crompton
C. Westhoughton",C. Westhoughton,"hard,random,correct"
Lamesley,north,Bold St Helens,Lamesley is north Bold St Helens,Which city is located in north of Bold St Helens?,"A. Cradley Heath and Old Hill
B. Dukinfield
C. Lamesley",C. Lamesley,"random,hard,correct"
Deckham,north,Greets Green and Lyng,Deckham is north Greets Green and Lyng,Which city is located in north of Greets Green and Lyng?,"A. Deckham
B. Edgeley and Cheadle Heath
C. City of Sunderland",A. Deckham,"correct,hard,random"
South Heaton,north,Tottington,South Heaton is north Tottington,Which city is located in north of Tottington?,"A. Broomhill & Sharrow Vale
B. South Heaton
C. Meriden West Midlands",B. South Heaton,"random,correct,hard"
Normanton West Yorkshire,north,Birchills Leamore,Normanton West Yorkshire is north Birchills Leamore,Which city is located in north of Birchills Leamore?,"A. Normanton West Yorkshire
B. Irwell Riverside
C. Hoyland Milton",A. Normanton West Yorkshire,"correct,hard,random"
Rainhill,north,Blakenall,Rainhill is north Blakenall,Which city is located in north of Blakenall?,"A. Horwich
B. North Heywood
C. Rainhill",C. Rainhill,"hard,random,correct"
Billinge and Seneley Green,north,Parr,Billinge and Seneley Green is north Parr,Which city is located in north of Parr?,"A. Byker
B. Horsforth
C. Billinge and Seneley Green",C. Billinge and Seneley Green,"hard,random,correct"
Horwich,north,Blakenall,Horwich is north Blakenall,Which city is located in north of Blakenall?,"A. County
B. Rainhill
C. Horwich",C. Horwich,"random,hard,correct"
Benwell and Scotswood,north,Great Bridge,Benwell and Scotswood is north Great Bridge,Which city is located in north of Great Bridge?,"A. Bebington
B. Royston
C. Benwell and Scotswood",C. Benwell and Scotswood,"hard,random,correct"
Beacon and Bents,north,Bradford Moor,Beacon and Bents is north Bradford Moor,Which city is located in north of Bradford Moor?,"A. Blackheath
B. Longdendale
C. Beacon and Bents",C. Beacon and Bents,"random,hard,correct"
Otley and Yeadon,north,North East,Otley and Yeadon is north North East,Which city is located in north of North East?,"A. Bowdon
B. Otley and Yeadon
C. Swanside",B. Otley and Yeadon,"random,correct,hard"
Ancoats and Clayton,north,Charlemont with Grove Vale,Ancoats and Clayton is north Charlemont with Grove Vale,Which city is located in north of Charlemont with Grove Vale?,"A. Norwood
B. Ancoats and Clayton
C. Tameside",B. Ancoats and Clayton,"hard,correct,random"
Brinsworth and Catcliffe,north,Weoley,Brinsworth and Catcliffe is north Weoley,Which city is located in north of Weoley?,"A. Spotland and Falinge
B. Brinsworth and Catcliffe
C. Kenton",B. Brinsworth and Catcliffe,"hard,correct,random"
Pontefract South,north,Wales South Yorkshire,Pontefract South is north Wales South Yorkshire,Which city is located in north of Wales South Yorkshire?,"A. Heatons South
B. Chopwell and Rowlands Gill
C. Pontefract South",C. Pontefract South,"hard,random,correct"
Millfield,north,Nether Edge & Sharrow,Millfield is north Nether Edge & Sharrow,Which city is located in north of Nether Edge & Sharrow?,"A. Millfield
B. Horsforth
C. Urmston",A. Millfield,"correct,hard,random"
Houghton,north,Wordsley,Houghton is north Wordsley,Which city is located in north of Wordsley?,"A. South Elmsall and South Kirkby
B. Houghton
C. Birtley",B. Houghton,"random,correct,hard"
Darton West,north,Elmdon,Darton West is north Elmdon,Which city is located in north of Elmdon?,"A. Darton West
B. Henley
C. Bartley Green",A. Darton West,"correct,hard,random"
Adel and Wharfedale,north,St. Mary's,Adel and Wharfedale is north St. Mary's,Which city is located in north of St. Mary's?,"A. Hebburn South
B. Adel and Wharfedale
C. Washington South",B. Adel and Wharfedale,"hard,correct,random"
Whiston & Cronton,north,Bushbury South and Low Hill,Whiston & Cronton is north Bushbury South and Low Hill,Which city is located in north of Bushbury South and Low Hill?,"A. Whiston & Cronton
B. Denton North East
C. Beacon and Bents",A. Whiston & Cronton,"correct,hard,random"
Manningham,north,Rotherham West,Manningham is north Rotherham West,Which city is located in north of Rotherham West?,"A. St. Mary's
B. Worsley Mesnes
C. Manningham",C. Manningham,"hard,random,correct"
Cheadle Hulme South,north,Henley,Cheadle Hulme South is north Henley,Which city is located in north of Henley?,"A. Cheadle Hulme South
B. Boston Castle
C. Norwood",A. Cheadle Hulme South,"correct,random,hard"
Eccleshill,north,Bablake,Eccleshill is north Bablake,Which city is located in north of Bablake?,"A. East Park
B. Eccleshill
C. Norton & Askern",B. Eccleshill,"random,correct,hard"
Cherryfield,north,St. Michaels,Cherryfield is north St. Michaels,Which city is located in north of St. Michaels?,"A. Dene
B. Silksworth
C. Cherryfield",C. Cherryfield,"random,hard,correct"
Upton,north,Short Heath,Upton is north Short Heath,Which city is located in north of Short Heath?,"A. Wibsey
B. Upton
C. Gorton South",B. Upton,"hard,correct,random"
Medlock Vale,north,Hall Green,Medlock Vale is north Hall Green,Which city is located in north of Hall Green?,"A. Medlock Vale
B. Hale Central
C. Newsome",A. Medlock Vale,"correct,random,hard"
Windy Nook and Whitehills,north,Ashton St. Michael's,Windy Nook and Whitehills is north Ashton St. Michael's,Which city is located in north of Ashton St. Michael's?,"A. North Middleton
B. Windy Nook and Whitehills
C. Tettenhall Wightwick",B. Windy Nook and Whitehills,"hard,correct,random"
Kersal,north,Moss Side,Kersal is north Moss Side,Which city is located in north of Moss Side?,"A. Stepping Hill
B. Eccleshill
C. Kersal",C. Kersal,"random,hard,correct"
Copt Hill,north,Wheatley Hills & Intake,Copt Hill is north Wheatley Hills & Intake,Which city is located in north of Wheatley Hills & Intake?,"A. Copt Hill
B. Darton East
C. Ordsall",A. Copt Hill,"correct,random,hard"
Adwick le Street & Carcroft,north,Edlington & Warmsworth,Adwick le Street & Carcroft is north Edlington & Warmsworth,Which city is located in north of Edlington & Warmsworth?,"A. Adwick le Street & Carcroft
B. Moston
C. Kirkdale",A. Adwick le Street & Carcroft,"correct,random,hard"
Hetton-le-Hole,north,Northowram and Shelf,Hetton-le-Hole is north Northowram and Shelf,Which city is located in north of Northowram and Shelf?,"A. Hetton-le-Hole
B. Westgate
C. Boothstown and Ellenbrook",A. Hetton-le-Hole,"correct,random,hard"
Ravenmeols,north,Bloxwich East,Ravenmeols is north Bloxwich East,Which city is located in north of Bloxwich East?,"A. Ravenmeols
B. Crawcrook and Greenside
C. Shirley South",A. Ravenmeols,"correct,random,hard"
Sedgley,north,Bentley and Darlaston North,Sedgley is north Bentley and Darlaston North,Which city is located in north of Bentley and Darlaston North?,"A. Sedgley
B. Bamford
C. Balderstone and Kirkholt",A. Sedgley,"correct,hard,random"
Northwood,north,Paddock,Northwood is north Paddock,Which city is located in north of Paddock?,"A. Gipton and Harehills
B. Sutton Weaver (civil parish)
C. Northwood",C. Northwood,"hard,random,correct"
Wibsey,north,South Yardley,Wibsey is north South Yardley,Which city is located in north of South Yardley?,"A. Rossington
B. Wibsey
C. Park & Arbourthorne",B. Wibsey,"hard,correct,random"
Sandhill,north,Clayton and Fairweather Green,Sandhill is north Clayton and Fairweather Green,Which city is located in north of Clayton and Fairweather Green?,"A. Moreton West and Saughall Massie
B. Sandhill
C. Great Horton",B. Sandhill,"random,correct,hard"
Walkergate,north,Walkden South,Walkergate is north Walkden South,Which city is located in north of Walkden South?,"A. Nechells
B. Walkergate
C. Wyke",B. Walkergate,"random,correct,hard"
Killingworth,north,Dodworth,Killingworth is north Dodworth,Which city is located in north of Dodworth?,"A. Tettenhall Wightwick
B. Killingworth
C. Calderdale",B. Killingworth,"random,correct,hard"
Priory,north,Aldridge Central and South,Priory is north Aldridge Central and South,Which city is located in north of Aldridge Central and South?,"A. Maltby South Yorkshire
B. Priory
C. Page Moss",B. Priory,"random,correct,hard"
Monk Bretton,north,Washwood Heath,Monk Bretton is north Washwood Heath,Which city is located in north of Washwood Heath?,"A. High Fell
B. Monk Bretton
C. Batley East",B. Monk Bretton,"hard,correct,random"
Wrenthorpe and Outwood West,north,St. Helens,Wrenthorpe and Outwood West is north St. Helens,Which city is located in north of St. Helens?,"A. Lye and Stourbridge North
B. Wrenthorpe and Outwood West
C. Old Warley",B. Wrenthorpe and Outwood West,"random,correct,hard"
Burnage,north,West Bromwich Central,Burnage is north West Bromwich Central,Which city is located in north of West Bromwich Central?,"A. Burnage
B. Monkton
C. Stalybridge South",A. Burnage,"correct,hard,random"
Fawdon,north,Pedmore and Stourbridge East,Fawdon is north Pedmore and Stourbridge East,Which city is located in north of Pedmore and Stourbridge East?,"A. Hoylake and Meols
B. Fawdon
C. Ettingshall",B. Fawdon,"hard,correct,random"
North Middleton,north,Ashton St. Michael's,North Middleton is north Ashton St. Michael's,Which city is located in north of Ashton St. Michael's?,"A. North Middleton
B. Windy Nook and Whitehills
C. Bromley Cross",A. North Middleton,"correct,hard,random"
Lobley Hill and Bensham,north,Rastrick,Lobley Hill and Bensham is north Rastrick,Which city is located in north of Rastrick?,"A. Withington
B. St. Michael's
C. Lobley Hill and Bensham",C. Lobley Hill and Bensham,"random,hard,correct"
Shipley,north,Swinton,Shipley is north Swinton,Which city is located in north of Swinton?,"A. Shipley
B. Bloxwich East
C. Keighley East",A. Shipley,"correct,random,hard"
Killingbeck and Seacroft,north,Finningley,Killingbeck and Seacroft is north Finningley,Which city is located in north of Finningley?,"A. Killingbeck and Seacroft
B. Haydock
C. Rushall-Shelfield",A. Killingbeck and Seacroft,"correct,hard,random"
Coldhurst,north,Hall Green,Coldhurst is north Hall Green,Which city is located in north of Hall Green?,"A. Coldhurst
B. Smethwick
C. Horwich and Blackrod",A. Coldhurst,"correct,random,hard"
Westoe,north,Tettenhall Wightwick,Westoe is north Tettenhall Wightwick,Which city is located in north of Tettenhall Wightwick?,"A. Broomhill & Sharrow Vale
B. Denton North East
C. Westoe",C. Westoe,"hard,random,correct"
Wardley and Leam Lane,north,Gleadless Valley,Wardley and Leam Lane is north Gleadless Valley,Which city is located in north of Gleadless Valley?,"A. Sharston
B. Wardley and Leam Lane
C. West Bromwich Central",B. Wardley and Leam Lane,"random,correct,hard"
Chopwell and Rowlands Gill,north,St. James's,Chopwell and Rowlands Gill is north St. James's,Which city is located in north of St. James's?,"A. Short Heath
B. Penistone East
C. Chopwell and Rowlands Gill",C. Chopwell and Rowlands Gill,"hard,random,correct"
Brooklands,north,Tipton Green,Brooklands is north Tipton Green,Which city is located in north of Tipton Green?,"A. Dewsbury South
B. Brownhills
C. Brooklands",C. Brooklands,"hard,random,correct"
Hetton-le-Hole,north,Pilkington Park,Hetton-le-Hole is north Pilkington Park,Which city is located in north of Pilkington Park?,"A. Hetton-le-Hole
B. Nechells
C. St. Peter's",A. Hetton-le-Hole,"correct,random,hard"
Pontefract South,north,Sheldon,Pontefract South is north Sheldon,Which city is located in north of Sheldon?,"A. Pontefract South
B. Stainforth & Barnby Dun
C. Weoley",A. Pontefract South,"correct,hard,random"
Holme Valley North,north,Belle Vale,Holme Valley North is north Belle Vale,Which city is located in north of Belle Vale?,"A. Holme Valley North
B. Speke-Garston
C. Silverwood",A. Holme Valley North,"correct,hard,random"
Royds,north,Tividale,Royds is north Tividale,Which city is located in north of Tividale?,"A. Yorkshire and the Humber Euro Region
B. Royds
C. Central Rochdale",B. Royds,"random,correct,hard"
Millfield,north,Atherleigh,Millfield is north Atherleigh,Which city is located in north of Atherleigh?,"A. Cadishead
B. Castleford Central and Glasshoughton
C. Millfield",C. Millfield,"hard,random,correct"
Kenton,north,Chorlton,Kenton is north Chorlton,Which city is located in north of Chorlton?,"A. Brockmoor and Pensnett
B. Kenton
C. Amblecote",B. Kenton,"hard,correct,random"
Bingley,north,South Yardley,Bingley is north South Yardley,Which city is located in north of South Yardley?,"A. Denton
B. Bingley
C. Wibsey",B. Bingley,"random,correct,hard"
Maltby South Yorkshire,north,Park,Maltby South Yorkshire is north Park,Which city is located in north of Park?,"A. Bucklow-St. Martins
B. Maltby South Yorkshire
C. Merry Hill",B. Maltby South Yorkshire,"hard,correct,random"
Birtley,north,Unsworth,Birtley is north Unsworth,Which city is located in north of Unsworth?,"A. Halewood North
B. Birtley
C. Bold St Helens",B. Birtley,"random,correct,hard"
Withington,north,Palfrey,Withington is north Palfrey,Which city is located in north of Palfrey?,"A. Timperley
B. Lowton East
C. Withington",C. Withington,"hard,random,correct"
Radcliffe North,north,Amblecote,Radcliffe North is north Amblecote,Which city is located in north of Amblecote?,"A. Radcliffe North
B. Molyneux
C. Chirton",A. Radcliffe North,"correct,hard,random"
Bingley Rural,north,Sedgley,Bingley Rural is north Sedgley,Which city is located in north of Sedgley?,"A. Moseley and Kings Heath
B. Leasowe and Moreton East
C. Bingley Rural",C. Bingley Rural,"random,hard,correct"
Pallion,north,Calder,Pallion is north Calder,Which city is located in north of Calder?,"A. Ecclesall
B. Royton South
C. Pallion",C. Pallion,"random,hard,correct"
Fawdon,north,Sutton New Hall,Fawdon is north Sutton New Hall,Which city is located in north of Sutton New Hall?,"A. Bede
B. Fawdon
C. Ainsdale",B. Fawdon,"random,correct,hard"
Bebington,north,Great Bridge,Bebington is north Great Bridge,Which city is located in north of Great Bridge?,"A. Bebington
B. Bloxwich East
C. South Jesmond",A. Bebington,"correct,hard,random"
Bowdon,north,Woodlands,Bowdon is north Woodlands,Which city is located in north of Woodlands?,"A. Bowdon
B. Medlock Vale
C. North Tyneside",A. Bowdon,"correct,hard,random"
Pelaw and Heworth,north,Merry Hill,Pelaw and Heworth is north Merry Hill,Which city is located in north of Merry Hill?,"A. Pelaw and Heworth
B. Normanton West Yorkshire
C. Farnley and Wortley",A. Pelaw and Heworth,"correct,random,hard"
Kersal,north,Sutton Vesey,Kersal is north Sutton Vesey,Which city is located in north of Sutton Vesey?,"A. Kersal
B. Hexthorpe & Balby North
C. Ryton Crookhill and Stella",A. Kersal,"correct,hard,random"
Tonge with the Haulgh,north,Wednesbury North,Tonge with the Haulgh is north Wednesbury North,Which city is located in north of Wednesbury North?,"A. Westhoughton North and Chew Moor
B. Wakefield Rural
C. Tonge with the Haulgh",C. Tonge with the Haulgh,"hard,random,correct"
Cheetham,north,Brooklands,Cheetham is north Brooklands,Which city is located in north of Brooklands?,"A. Rother Vale
B. Cheetham
C. Longbenton",B. Cheetham,"random,correct,hard"
Monkseaton South,north,Woolton,Monkseaton South is north Woolton,Which city is located in north of Woolton?,"A. Monkseaton South
B. St. James'
C. Harton",A. Monkseaton South,"correct,random,hard"
Medlock Vale,north,Woodlands,Medlock Vale is north Woodlands,Which city is located in north of Woodlands?,"A. Medlock Vale
B. Bowdon
C. North Middleton",A. Medlock Vale,"correct,hard,random"
Moss Side,north,Netherton Woodside and St. Andrews,Moss Side is north Netherton Woodside and St. Andrews,Which city is located in north of Netherton Woodside and St. Andrews?,"A. Town Centre
B. Moss Side
C. Toller",B. Moss Side,"random,correct,hard"
Adwick le Street & Carcroft,north,Charlemont with Grove Vale,Adwick le Street & Carcroft is north Charlemont with Grove Vale,Which city is located in north of Charlemont with Grove Vale?,"A. Ancoats and Clayton
B. Adwick le Street & Carcroft
C. Great Barr with Yew Tree",B. Adwick le Street & Carcroft,"hard,correct,random"
Timperley,north,Kingstanding,Timperley is north Kingstanding,Which city is located in north of Kingstanding?,"A. Holme Valley
B. Timperley
C. Heatons North",B. Timperley,"random,correct,hard"
Roby,north,Old Warley,Roby is north Old Warley,Which city is located in north of Old Warley?,"A. Roby
B. Walkden South
C. Rushall-Shelfield",A. Roby,"correct,hard,random"
St. Anne's,north,Baildon,St. Anne's is north Baildon,Which city is located in north of Baildon?,"A. St. Anne's
B. Selly Oak
C. Wakefield South",A. St. Anne's,"correct,hard,random"
Keighley West,north,Castleton,Keighley West is north Castleton,Which city is located in north of Castleton?,"A. Keighley West
B. Whitley Bay
C. Greenhead",A. Keighley West,"correct,hard,random"
Primrose,north,Newsome,Primrose is north Newsome,Which city is located in north of Newsome?,"A. Primrose
B. Longbridge
C. Sutton New Hall",A. Primrose,"correct,hard,random"
St. Mary's,north,Belle Vale,St. Mary's is north Belle Vale,Which city is located in north of Belle Vale?,"A. Speke-Garston
B. Worth Valley
C. St. Mary's",C. St. Mary's,"hard,random,correct"
