place1,dis,place2_Y,dir,place2_Z,triplet,question,options,answer,option_sources
Monkseaton South,far,Halewood,south,St. Mary's,"Monkseaton South is far Halewood, south St. Mary's",Which city is far to Halewood and also south from St. Mary's?,"A. Chadderton South
B. Alwoodley
C. Monkseaton South",C. Monkseaton South,"random,partial,correct"
Walkergate,near,Washington West,north,Graiseley,"Walkergate is near Washington West, north Graiseley",Which city is near to Washington West and also north from Graiseley?,"A. Mossley Hill
B. Walkergate
C. Northenden",B. Walkergate,"partial,correct,random"
Walkergate,close,Washington Central,west,Horsley Hill,"Walkergate is close Washington Central, west Horsley Hill",Which city is close to Washington Central and also west from Horsley Hill?,"A. Walkergate
B. Westgate
C. Benwell and Scotswood",A. Walkergate,"correct,random,partial"
Walkergate,far,Woodhouse,east,Crawcrook and Greenside,"Walkergate is far Woodhouse, east Crawcrook and Greenside",Which city is far to Woodhouse and also east from Crawcrook and Greenside?,"A. Camperdown
B. Walkergate
C. Hebburn North",B. Walkergate,"partial,correct,random"
Bournville,near,Sparkbrook,south,Merry Hill,"Bournville is near Sparkbrook, south Merry Hill",Which city is near to Sparkbrook and also south from Merry Hill?,"A. Halesowen North
B. Bournville
C. Castle",B. Bournville,"partial,correct,random"
Bournville,close,Kingstanding,east,Brockmoor and Pensnett,"Bournville is close Kingstanding, east Brockmoor and Pensnett",Which city is close to Kingstanding and also east from Brockmoor and Pensnett?,"A. Newton
B. Bournville
C. Calder",B. Bournville,"partial,correct,random"
Bournville,distant,Holbrook,west,Moseley and Kings Heath,"Bournville is distant Holbrook, west Moseley and Kings Heath",Which city is distant to Holbrook and also west from Moseley and Kings Heath?,"A. Bournville
B. Blythe
C. Howdon",A. Bournville,"correct,partial,random"
Bournville,far,Normanton West Yorkshire,north,Northfield,"Bournville is far Normanton West Yorkshire, north Northfield",Which city is far to Normanton West Yorkshire and also north from Northfield?,"A. Gorton North
B. Halesowen North
C. Bournville",C. Bournville,"random,partial,correct"
Moortown,near,Harewood,north,Brinnington and Central,"Moortown is near Harewood, north Brinnington and Central",Which city is near to Harewood and also north from Brinnington and Central?,"A. Ardwick
B. Moortown
C. Smithills",B. Moortown,"partial,correct,random"
Moortown,close,Wakefield West,east,Healey,"Moortown is close Wakefield West, east Healey",Which city is close to Wakefield West and also east from Healey?,"A. Dinnington St. John's
B. Bamford
C. Moortown",C. Moortown,"partial,random,correct"
Moortown,distant,Moston,south,High Fell,"Moortown is distant Moston, south High Fell",Which city is distant to Moston and also south from High Fell?,"A. Shaw
B. Moortown
C. Cadishead",B. Moortown,"random,correct,partial"
Moortown,far,South Heaton,west,Thorne & Moorends,"Moortown is far South Heaton, west Thorne & Moorends",Which city is far to South Heaton and also west from Thorne & Moorends?,"A. Orrell
B. Windhill and Wrose
C. Moortown",C. Moortown,"random,partial,correct"
Smith's Wood,far,Dinnington St. John's,east,Oldbury,"Smith's Wood is far Dinnington St. John's, east Oldbury",Which city is far to Dinnington St. John's and also east from Oldbury?,"A. Smith's Wood
B. City Centre
C. Chadderton Central",A. Smith's Wood,"correct,random,partial"
Birkdale,near,Duke's,west,Timperley,"Birkdale is near Duke's, west Timperley",Which city is near to Duke's and also west from Timperley?,"A. Birkdale
B. Cheadle and Gatley
C. Derby",A. Birkdale,"correct,random,partial"
Birkdale,close,Wallasey,north,Sherbourne Warwickshire,"Birkdale is close Wallasey, north Sherbourne Warwickshire",Which city is close to Wallasey and also north from Sherbourne Warwickshire?,"A. Manningham
B. Birkdale
C. Prescot South",B. Birkdale,"partial,correct,random"
Birkdale,distant,Mossley Hill,south,St. Chad's,"Birkdale is distant Mossley Hill, south St. Chad's",Which city is distant to Mossley Hill and also south from St. Chad's?,"A. Ashbrow
B. Nechells
C. Birkdale",C. Birkdale,"partial,random,correct"
Birkdale,far,Elmdon,east,Duke's,"Birkdale is far Elmdon, east Duke's",Which city is far to Elmdon and also east from Duke's?,"A. St. Mary's
B. Birkdale
C. Crookes & Crosspool",B. Birkdale,"random,correct,partial"
Didsbury West,near,Moss Side,south,Castleton,"Didsbury West is near Moss Side, south Castleton",Which city is near to Moss Side and also south from Castleton?,"A. Darfield
B. Streetly
C. Didsbury West",C. Didsbury West,"random,partial,correct"
Didsbury West,close,Moston,north,Kingstanding,"Didsbury West is close Moston, north Kingstanding",Which city is close to Moston and also north from Kingstanding?,"A. Marple South
B. Pedmore and Stourbridge East
C. Didsbury West",C. Didsbury West,"partial,random,correct"
Didsbury West,distant,Ovenden,east,Village,"Didsbury West is distant Ovenden, east Village",Which city is distant to Ovenden and also east from Village?,"A. Didsbury West
B. Abram
C. Douglas",A. Didsbury West,"correct,partial,random"
Didsbury West,far,Pontefract North,west,Stannington,"Didsbury West is far Pontefract North, west Stannington",Which city is far to Pontefract North and also west from Stannington?,"A. Didsbury West
B. Holbrook
C. Timperley",A. Didsbury West,"correct,partial,random"
Bredbury Green and Romiley,near,Denton South,south,East Gosforth,"Bredbury Green and Romiley is near Denton South, south East Gosforth",Which city is near to Denton South and also south from East Gosforth?,"A. Milnrow and Newhey
B. Worth Valley
C. Bredbury Green and Romiley",C. Bredbury Green and Romiley,"random,partial,correct"
Bredbury Green and Romiley,close,St. James',east,Horwich and Blackrod,"Bredbury Green and Romiley is close St. James', east Horwich and Blackrod",Which city is close to St. James' and also east from Horwich and Blackrod?,"A. Crofton Ryhill and Walton
B. Bredbury Green and Romiley
C. Bede",B. Bredbury Green and Romiley,"partial,correct,random"
Bredbury Green and Romiley,distant,Newsome,west,Stocksbridge & Upper Don,"Bredbury Green and Romiley is distant Newsome, west Stocksbridge & Upper Don",Which city is distant to Newsome and also west from Stocksbridge & Upper Don?,"A. Bredbury Green and Romiley
B. Penn
C. Shevington with Lower Ground",A. Bredbury Green and Romiley,"correct,random,partial"
Bredbury Green and Romiley,far,Fazakerley,north,Merry Hill,"Bredbury Green and Romiley is far Fazakerley, north Merry Hill",Which city is far to Fazakerley and also north from Merry Hill?,"A. Bredbury Green and Romiley
B. Kingstanding
C. Castle and Priory",A. Bredbury Green and Romiley,"correct,random,partial"
Pelsall,near,Pleck,south,Didsbury East,"Pelsall is near Pleck, south Didsbury East",Which city is near to Pleck and also south from Didsbury East?,"A. Sedgley
B. Pemberton
C. Pelsall",C. Pelsall,"partial,random,correct"
Pelsall,close,Rowley,north,Bartley Green,"Pelsall is close Rowley, north Bartley Green",Which city is close to Rowley and also north from Bartley Green?,"A. Princes Park
B. Pelsall
C. Seacombe",B. Pelsall,"random,correct,partial"
Pelsall,distant,Upper Stoke,west,Whoberley,"Pelsall is distant Upper Stoke, west Whoberley",Which city is distant to Upper Stoke and also west from Whoberley?,"A. Pelsall
B. Clayton and Fairweather Green
C. Edgbaston",A. Pelsall,"correct,random,partial"
Pelsall,far,Town Centre,east,Willenhall North,"Pelsall is far Town Centre, east Willenhall North",Which city is far to Town Centre and also east from Willenhall North?,"A. Pelsall
B. Ravenmeols
C. Bramley and Stanningley",A. Pelsall,"correct,random,partial"
Finstall,close,Smith's Wood,south,St. Peter's,"Finstall is close Smith's Wood, south St. Peter's",Which city is close to Smith's Wood and also south from St. Peter's?,"A. Finstall
B. Sedgley
C. Maltby South Yorkshire",A. Finstall,"correct,partial,random"
Finstall,distant,Meriden West Midlands,north,Northfield,"Finstall is distant Meriden West Midlands, north Northfield",Which city is distant to Meriden West Midlands and also north from Northfield?,"A. Norton
B. Finstall
C. Shiregreen & Brightside",B. Finstall,"partial,correct,random"
Finstall,far,Hetton-le-Hole,west,Shirley East,"Finstall is far Hetton-le-Hole, west Shirley East",Which city is far to Hetton-le-Hole and also west from Shirley East?,"A. Finstall
B. Village
C. Stannington",A. Finstall,"correct,partial,random"
Duke's,near,Harington,north,Town Centre,"Duke's is near Harington, north Town Centre",Which city is near to Harington and also north from Town Centre?,"A. Darlaston South
B. Woolsington
C. Duke's",C. Duke's,"random,partial,correct"
Duke's,close,Yew Tree,west,Kippax West Yorkshire,"Duke's is close Yew Tree, west Kippax West Yorkshire",Which city is close to Yew Tree and also west from Kippax West Yorkshire?,"A. Duke's
B. Denton North East
C. Leasowe and Moreton East",A. Duke's,"correct,random,partial"
Duke's,distant,Sale Moor,south,Dunston Hill and Whickham East,"Duke's is distant Sale Moor, south Dunston Hill and Whickham East",Which city is distant to Sale Moor and also south from Dunston Hill and Whickham East?,"A. Duke's
B. Northfield
C. Hexthorpe & Balby North",A. Duke's,"correct,partial,random"
Manor Castle,near,Southey,north,Lozells and East Handsworth,"Manor Castle is near Southey, north Lozells and East Handsworth",Which city is near to Southey and also north from Lozells and East Handsworth?,"A. Manor Castle
B. Alwoodley
C. Norris Green",A. Manor Castle,"correct,partial,random"
Manor Castle,close,Rotherham East,south,North Heaton,"Manor Castle is close Rotherham East, south North Heaton",Which city is close to Rotherham East and also south from North Heaton?,"A. Manor Castle
B. Greasby Frankby and Irby
C. Swanside",A. Manor Castle,"correct,partial,random"
Manor Castle,distant,St. James',east,Roby,"Manor Castle is distant St. James', east Roby",Which city is distant to St. James' and also east from Roby?,"A. Manor Castle
B. Wetherby
C. Graves Park",A. Manor Castle,"correct,partial,random"
Manor Castle,far,Wardley and Leam Lane,west,Hellaby,"Manor Castle is far Wardley and Leam Lane, west Hellaby",Which city is far to Wardley and Leam Lane and also west from Hellaby?,"A. Manor Castle
B. Norris Green
C. Wardle and West Littleborough",A. Manor Castle,"correct,partial,random"
North Heywood,near,Redvales,west,Darton West,"North Heywood is near Redvales, west Darton West",Which city is near to Redvales and also west from Darton West?,"A. Greets Green and Lyng
B. Davyhulme West
C. North Heywood",C. North Heywood,"random,partial,correct"
North Heywood,close,Radcliffe North,north,Bradford,"North Heywood is close Radcliffe North, north Bradford",Which city is close to Radcliffe North and also north from Bradford?,"A. Hale Central
B. Barnes
C. North Heywood",C. North Heywood,"random,partial,correct"
North Heywood,distant,Roundhay,east,Prescot,"North Heywood is distant Roundhay, east Prescot",Which city is distant to Roundhay and also east from Prescot?,"A. North Heywood
B. Monk Bretton
C. Featherstone",A. North Heywood,"correct,partial,random"
North Heywood,far,Wales South Yorkshire,south,Bingley,"North Heywood is far Wales South Yorkshire, south Bingley",Which city is far to Wales South Yorkshire and also south from Bingley?,"A. North Heywood
B. Westoe
C. Saddleworth North",A. North Heywood,"correct,partial,random"
Westhoughton North and Chew Moor,near,Wigan Central,south,Primrose,"Westhoughton North and Chew Moor is near Wigan Central, south Primrose",Which city is near to Wigan Central and also south from Primrose?,"A. Bickenhill
B. Edgeley and Cheadle Heath
C. Westhoughton North and Chew Moor",C. Westhoughton North and Chew Moor,"partial,random,correct"
Westhoughton North and Chew Moor,close,Astley Village,east,Victoria,"Westhoughton North and Chew Moor is close Astley Village, east Victoria",Which city is close to Astley Village and also east from Victoria?,"A. Westhoughton North and Chew Moor
B. Bramley and Stanningley
C. Brighouse",A. Westhoughton North and Chew Moor,"correct,random,partial"
Westhoughton North and Chew Moor,distant,Prescot,north,Fallings Park,"Westhoughton North and Chew Moor is distant Prescot, north Fallings Park",Which city is distant to Prescot and also north from Fallings Park?,"A. Whalley Range
B. Westhoughton North and Chew Moor
C. Adwick le Street & Carcroft",B. Westhoughton North and Chew Moor,"partial,correct,random"
Westhoughton North and Chew Moor,far,Windhill and Wrose,west,Cheetham,"Westhoughton North and Chew Moor is far Windhill and Wrose, west Cheetham",Which city is far to Windhill and Wrose and also west from Cheetham?,"A. Westhoughton North and Chew Moor
B. Woolton
C. Davyhulme East",A. Westhoughton North and Chew Moor,"correct,random,partial"
Greets Green and Lyng,near,Harborne,south,Pudsey,"Greets Green and Lyng is near Harborne, south Pudsey",Which city is near to Harborne and also south from Pudsey?,"A. Denton West
B. Greets Green and Lyng
C. Thornton and Allerton",B. Greets Green and Lyng,"partial,correct,random"
Greets Green and Lyng,close,Stechford and Yardley North,east,Amblecote,"Greets Green and Lyng is close Stechford and Yardley North, east Amblecote",Which city is close to Stechford and Yardley North and also east from Amblecote?,"A. Tividale
B. Manningham
C. Greets Green and Lyng",C. Greets Green and Lyng,"partial,random,correct"
Greets Green and Lyng,distant,Wyken,north,Blythe,"Greets Green and Lyng is distant Wyken, north Blythe",Which city is distant to Wyken and also north from Blythe?,"A. Baguley
B. Doxford
C. Greets Green and Lyng",C. Greets Green and Lyng,"random,partial,correct"
Greets Green and Lyng,far,Headingley,west,Sutton New Hall,"Greets Green and Lyng is far Headingley, west Sutton New Hall",Which city is far to Headingley and also west from Sutton New Hall?,"A. Greets Green and Lyng
B. Greenbank
C. Great Bridge",A. Greets Green and Lyng,"correct,random,partial"
Town,near,Armthorpe,east,Normanton West Yorkshire,"Town is near Armthorpe, east Normanton West Yorkshire",Which city is near to Armthorpe and also east from Normanton West Yorkshire?,"A. Bromley Cross
B. Town
C. Balby South",B. Town,"random,correct,partial"
Town,close,Featherstone,north,Dorridge and Hockley Heath,"Town is close Featherstone, north Dorridge and Hockley Heath",Which city is close to Featherstone and also north from Dorridge and Hockley Heath?,"A. Town
B. Wickersley
C. Dene",A. Town,"correct,random,partial"
Town,distant,Worsbrough,west,Garforth and Swillington,"Town is distant Worsbrough, west Garforth and Swillington",Which city is distant to Worsbrough and also west from Garforth and Swillington?,"A. Town
B. Longbenton
C. Cross Gates and Whinmoor",A. Town,"correct,random,partial"
Town,far,Wednesfield North,south,West Park,"Town is far Wednesfield North, south West Park",Which city is far to Wednesfield North and also south from West Park?,"A. Town
B. Chapel Allerton
C. Ramsbottom",A. Town,"correct,random,partial"
Bilston North,near,Blakenhall,south,Moston,"Bilston North is near Blakenhall, south Moston",Which city is near to Blakenhall and also south from Moston?,"A. Bilston North
B. Mossley
C. St. Alphege",A. Bilston North,"correct,random,partial"
Bilston North,close,Pheasey Park Farm,west,Perry Barr,"Bilston North is close Pheasey Park Farm, west Perry Barr",Which city is close to Pheasey Park Farm and also west from Perry Barr?,"A. Bilston North
B. Friar Park
C. Firth Park",A. Bilston North,"correct,partial,random"
Bilston North,distant,Bickenhill,north,Kings Norton,"Bilston North is distant Bickenhill, north Kings Norton",Which city is distant to Bickenhill and also north from Kings Norton?,"A. Hazel Grove
B. Monkseaton South
C. Bilston North",C. Bilston North,"random,partial,correct"
Bilston North,far,Pendlebury,east,Penn,"Bilston North is far Pendlebury, east Penn",Which city is far to Pendlebury and also east from Penn?,"A. Brinsworth and Catcliffe
B. Bilston North
C. Kersal",B. Bilston North,"partial,correct,random"
Wallasey,close,West Kirby and Thurstaston,west,North Manor,"Wallasey is close West Kirby and Thurstaston, west North Manor",Which city is close to West Kirby and Thurstaston and also west from North Manor?,"A. Wallasey
B. Sutton Weaver (civil parish)
C. Winstanley",A. Wallasey,"correct,partial,random"
Wallasey,distant,Winstanley,north,Soho,"Wallasey is distant Winstanley, north Soho",Which city is distant to Winstanley and also north from Soho?,"A. Moss Side
B. Tuebrook and Stoneycroft
C. Wallasey",C. Wallasey,"partial,random,correct"
Wallasey,far,Conisbrough Parks,south,North Heaton,"Wallasey is far Conisbrough Parks, south North Heaton",Which city is far to Conisbrough Parks and also south from North Heaton?,"A. Wednesbury South
B. Wallasey
C. Whickham South and Sunniside",B. Wallasey,"random,correct,partial"
Great Barr with Yew Tree,near,Oscott,south,Manningham,"Great Barr with Yew Tree is near Oscott, south Manningham",Which city is near to Oscott and also south from Manningham?,"A. Beauchief & Greenhill
B. Pensby and Thingwall
C. Great Barr with Yew Tree",C. Great Barr with Yew Tree,"partial,random,correct"
Great Barr with Yew Tree,close,Shard End,west,Pheasey Park Farm,"Great Barr with Yew Tree is close Shard End, west Pheasey Park Farm",Which city is close to Shard End and also west from Pheasey Park Farm?,"A. Wollaston and Stourbridge Town
B. Great Barr with Yew Tree
C. Brownhills",B. Great Barr with Yew Tree,"partial,correct,random"
Great Barr with Yew Tree,distant,Meriden West Midlands,east,Blakenhall,"Great Barr with Yew Tree is distant Meriden West Midlands, east Blakenhall",Which city is distant to Meriden West Midlands and also east from Blakenhall?,"A. Moss Side
B. Birchills Leamore
C. Great Barr with Yew Tree",C. Great Barr with Yew Tree,"random,partial,correct"
Great Barr with Yew Tree,far,Rainford,north,Abbey,"Great Barr with Yew Tree is far Rainford, north Abbey",Which city is far to Rainford and also north from Abbey?,"A. Great Barr with Yew Tree
B. Armthorpe
C. Benwell and Scotswood",A. Great Barr with Yew Tree,"correct,partial,random"
Newsome,near,Rastrick,south,Harewood,"Newsome is near Rastrick, south Harewood",Which city is near to Rastrick and also south from Harewood?,"A. Cheadle Hulme South
B. Wingrove
C. Newsome",C. Newsome,"partial,random,correct"
Newsome,close,Worth Valley,west,Altofts and Whitwood,"Newsome is close Worth Valley, west Altofts and Whitwood",Which city is close to Worth Valley and also west from Altofts and Whitwood?,"A. Unsworth
B. Rock Ferry
C. Newsome",C. Newsome,"partial,random,correct"
Newsome,distant,Swinton South,east,Whiston & Cronton,"Newsome is distant Swinton South, east Whiston & Cronton",Which city is distant to Swinton South and also east from Whiston & Cronton?,"A. Newsome
B. Edgeley and Cheadle Heath
C. Central",A. Newsome,"correct,partial,random"
Newsome,far,Westwood,north,Lower Stoke,"Newsome is far Westwood, north Lower Stoke",Which city is far to Westwood and also north from Lower Stoke?,"A. Middleton Park
B. Kingstone
C. Newsome",C. Newsome,"partial,random,correct"
Dunston Hill and Whickham East,near,Ryton Crookhill and Stella,north,Tyldesley,"Dunston Hill and Whickham East is near Ryton Crookhill and Stella, north Tyldesley",Which city is near to Ryton Crookhill and Stella and also north from Tyldesley?,"A. Valley
B. Dunston Hill and Whickham East
C. Lemington",B. Dunston Hill and Whickham East,"partial,correct,random"
Dunston Hill and Whickham East,close,Monkseaton South,east,Whickham South and Sunniside,"Dunston Hill and Whickham East is close Monkseaton South, east Whickham South and Sunniside",Which city is close to Monkseaton South and also east from Whickham South and Sunniside?,"A. Dunston Hill and Whickham East
B. Cleadon Park
C. North Jesmond",A. Dunston Hill and Whickham East,"correct,partial,random"
Dunston Hill and Whickham East,distant,Ryhope,west,Millfield,"Dunston Hill and Whickham East is distant Ryhope, west Millfield",Which city is distant to Ryhope and also west from Millfield?,"A. North East
B. Dunston Hill and Whickham East
C. Walker",B. Dunston Hill and Whickham East,"random,correct,partial"
Dunston Hill and Whickham East,far,St. Peter's,south,Benton,"Dunston Hill and Whickham East is far St. Peter's, south Benton",Which city is far to St. Peter's and also south from Benton?,"A. Silverwood
B. Yew Tree
C. Dunston Hill and Whickham East",C. Dunston Hill and Whickham East,"partial,random,correct"
East Park,near,Short Heath,south,Hyde Park and Woodhouse,"East Park is near Short Heath, south Hyde Park and Woodhouse",Which city is near to Short Heath and also south from Hyde Park and Woodhouse?,"A. Wednesfield North
B. East Park
C. Brandwood",B. East Park,"partial,correct,random"
East Park,close,Moseley and Kings Heath,west,Silhill,"East Park is close Moseley and Kings Heath, west Silhill",Which city is close to Moseley and Kings Heath and also west from Silhill?,"A. Hodge Hill
B. East Park
C. Erdington",B. East Park,"partial,correct,random"
East Park,distant,Shirley West,north,Castle and Priory,"East Park is distant Shirley West, north Castle and Priory",Which city is distant to Shirley West and also north from Castle and Priory?,"A. Shevington
B. Woodlands
C. East Park",C. East Park,"partial,random,correct"
East Park,far,West Derby,east,Merry Hill,"East Park is far West Derby, east Merry Hill",Which city is far to West Derby and also east from Merry Hill?,"A. East Park
B. Shevington with Lower Ground
C. Hipperholme and Lightcliffe",A. East Park,"correct,random,partial"
Brockmoor and Pensnett,near,Kingswinford North and Wall Heath,south,Dearne North,"Brockmoor and Pensnett is near Kingswinford North and Wall Heath, south Dearne North",Which city is near to Kingswinford North and Wall Heath and also south from Dearne North?,"A. Pudsey
B. Sheldon
C. Brockmoor and Pensnett",C. Brockmoor and Pensnett,"random,partial,correct"
Brockmoor and Pensnett,close,Hateley Heath,west,Netherton Woodside and St. Andrews,"Brockmoor and Pensnett is close Hateley Heath, west Netherton Woodside and St. Andrews",Which city is close to Hateley Heath and also west from Netherton Woodside and St. Andrews?,"A. Whoberley
B. Wordsley
C. Brockmoor and Pensnett",C. Brockmoor and Pensnett,"random,partial,correct"
Brockmoor and Pensnett,distant,Sherbourne Warwickshire,east,Kingswinford North and Wall Heath,"Brockmoor and Pensnett is distant Sherbourne Warwickshire, east Kingswinford North and Wall Heath",Which city is distant to Sherbourne Warwickshire and also east from Kingswinford North and Wall Heath?,"A. Brockmoor and Pensnett
B. Holbrook
C. Swanside",A. Brockmoor and Pensnett,"correct,partial,random"
Brockmoor and Pensnett,far,Longsight,north,Wordsley,"Brockmoor and Pensnett is far Longsight, north Wordsley",Which city is far to Longsight and also north from Wordsley?,"A. Brockmoor and Pensnett
B. Childwall
C. Gornal",A. Brockmoor and Pensnett,"correct,random,partial"
High Fell,near,Ouseburn,west,Boldon Colliery,"High Fell is near Ouseburn, west Boldon Colliery",Which city is near to Ouseburn and also west from Boldon Colliery?,"A. Dunston and Teams
B. High Fell
C. Dunston and Teams",B. High Fell,"random,correct,partial"
High Fell,close,Hetton-le-Hole,north,Tuebrook and Stoneycroft,"High Fell is close Hetton-le-Hole, north Tuebrook and Stoneycroft",Which city is close to Hetton-le-Hole and also north from Tuebrook and Stoneycroft?,"A. St. Oswald
B. High Fell
C. Rusholme",B. High Fell,"partial,correct,random"
High Fell,far,Moortown,east,Lobley Hill and Bensham,"High Fell is far Moortown, east Lobley Hill and Bensham",Which city is far to Moortown and also east from Lobley Hill and Bensham?,"A. Temple Newsam
B. Halesowen South
C. High Fell",C. High Fell,"random,partial,correct"
Hayley Green and Cradley South,near,Netherton Woodside and St. Andrews,south,St. James',"Hayley Green and Cradley South is near Netherton Woodside and St. Andrews, south St. James'",Which city is near to Netherton Woodside and St. Andrews and also south from St. James'?,"A. Darlaston South
B. Cheylesmore
C. Hayley Green and Cradley South",C. Hayley Green and Cradley South,"random,partial,correct"
Hayley Green and Cradley South,close,Soho and Victoria,west,Kings Norton,"Hayley Green and Cradley South is close Soho and Victoria, west Kings Norton",Which city is close to Soho and Victoria and also west from Kings Norton?,"A. Short Heath
B. Hayley Green and Cradley South
C. Cullercoats",B. Hayley Green and Cradley South,"partial,correct,random"
Hayley Green and Cradley South,distant,Upper Stoke,east,Cradley and Wollescote,"Hayley Green and Cradley South is distant Upper Stoke, east Cradley and Wollescote",Which city is distant to Upper Stoke and also east from Cradley and Wollescote?,"A. Pheasey Park Farm
B. Harton
C. Hayley Green and Cradley South",C. Hayley Green and Cradley South,"partial,random,correct"
Millfield,near,Washington East,north,Hoyland Milton,"Millfield is near Washington East, north Hoyland Milton",Which city is near to Washington East and also north from Hoyland Milton?,"A. Wingrove
B. Oldbury
C. Millfield",C. Millfield,"partial,random,correct"
Millfield,close,Northumberland,east,Byker,"Millfield is close Northumberland, east Byker",Which city is close to Northumberland and also east from Byker?,"A. Millfield
B. Great Horton
C. Chowdene",A. Millfield,"correct,random,partial"
Millfield,distant,Blakelaw and North Fenham,south,Riverside,"Millfield is distant Blakelaw and North Fenham, south Riverside",Which city is distant to Blakelaw and North Fenham and also south from Riverside?,"A. Millfield
B. Prenton
C. Weaste and Seedley",A. Millfield,"correct,random,partial"
Millfield,far,Sutton Weaver (civil parish),west,St. Peter's,"Millfield is far Sutton Weaver (civil parish), west St. Peter's",Which city is far to Sutton Weaver (civil parish) and also west from St. Peter's?,"A. Millfield
B. Denton North East
C. Tettenhall Wightwick",A. Millfield,"correct,random,partial"
Smallbridge and Firgrove,near,Todmorden,north,Kersal,"Smallbridge and Firgrove is near Todmorden, north Kersal",Which city is near to Todmorden and also north from Kersal?,"A. West Middleton
B. Windhill and Wrose
C. Smallbridge and Firgrove",C. Smallbridge and Firgrove,"partial,random,correct"
Smallbridge and Firgrove,close,St. Mary's,west,Worsbrough,"Smallbridge and Firgrove is close St. Mary's, west Worsbrough",Which city is close to St. Mary's and also west from Worsbrough?,"A. Smallbridge and Firgrove
B. Westhoughton
C. Windle St Helens",A. Smallbridge and Firgrove,"correct,random,partial"
Smallbridge and Firgrove,distant,Prescot,south,Copt Hill,"Smallbridge and Firgrove is distant Prescot, south Copt Hill",Which city is distant to Prescot and also south from Copt Hill?,"A. Selly Oak
B. Richmond
C. Smallbridge and Firgrove",C. Smallbridge and Firgrove,"random,partial,correct"
Smallbridge and Firgrove,far,Springfield,east,Picton Cheshire,"Smallbridge and Firgrove is far Springfield, east Picton Cheshire",Which city is far to Springfield and also east from Picton Cheshire?,"A. Smallbridge and Firgrove
B. Rossington
C. Westwood",A. Smallbridge and Firgrove,"correct,partial,random"
Headingley,near,Hyde Park and Woodhouse,east,Clatterbridge,"Headingley is near Hyde Park and Woodhouse, east Clatterbridge",Which city is near to Hyde Park and Woodhouse and also east from Clatterbridge?,"A. Collingwood
B. Astley Village
C. Headingley",C. Headingley,"random,partial,correct"
Headingley,close,Wibsey,south,Walkergate,"Headingley is close Wibsey, south Walkergate",Which city is close to Wibsey and also south from Walkergate?,"A. Swanside
B. Quinton
C. Headingley",C. Headingley,"partial,random,correct"
Headingley,distant,Levenshulme,north,Oldbury,"Headingley is distant Levenshulme, north Oldbury",Which city is distant to Levenshulme and also north from Oldbury?,"A. West Park
B. East Middleton
C. Headingley",C. Headingley,"partial,random,correct"
Headingley,far,West Kirby and Thurstaston,west,Pontefract South,"Headingley is far West Kirby and Thurstaston, west Pontefract South",Which city is far to West Kirby and Thurstaston and also west from Pontefract South?,"A. Headingley
B. Ilkley
C. Besses",A. Headingley,"correct,partial,random"
Walkley,near,Orgreave South Yorkshire,east,Victoria,"Walkley is near Orgreave South Yorkshire, east Victoria",Which city is near to Orgreave South Yorkshire and also east from Victoria?,"A. Ford
B. Lower Stoke
C. Walkley",C. Walkley,"partial,random,correct"
Walkley,close,Sprotbrough and Cusworth,south,Airedale and Ferry Fryston,"Walkley is close Sprotbrough and Cusworth, south Airedale and Ferry Fryston",Which city is close to Sprotbrough and Cusworth and also south from Airedale and Ferry Fryston?,"A. Walkley
B. Soho
C. Ancoats and Clayton",A. Walkley,"correct,partial,random"
Walkley,distant,Wyke,north,Short Heath,"Walkley is distant Wyke, north Short Heath",Which city is distant to Wyke and also north from Short Heath?,"A. Waterhead
B. Cheylesmore
C. Walkley",C. Walkley,"partial,random,correct"
Walkley,far,Whickham South and Sunniside,west,Hexthorpe & Balby North,"Walkley is far Whickham South and Sunniside, west Hexthorpe & Balby North",Which city is far to Whickham South and Sunniside and also west from Hexthorpe & Balby North?,"A. Lindley
B. Healey
C. Walkley",C. Walkley,"random,partial,correct"
Chelmsley Wood,near,Smith's Wood,south,Bowdon,"Chelmsley Wood is near Smith's Wood, south Bowdon",Which city is near to Smith's Wood and also south from Bowdon?,"A. Henley
B. Chelmsley Wood
C. Harper Green",B. Chelmsley Wood,"partial,correct,random"
Chelmsley Wood,close,Meriden West Midlands,east,Edgbaston,"Chelmsley Wood is close Meriden West Midlands, east Edgbaston",Which city is close to Meriden West Midlands and also east from Edgbaston?,"A. Royston
B. Chelmsley Wood
C. Sherbourne Warwickshire",B. Chelmsley Wood,"random,correct,partial"
Chelmsley Wood,distant,Finstall,north,Blythe,"Chelmsley Wood is distant Finstall, north Blythe",Which city is distant to Finstall and also north from Blythe?,"A. Swinton North
B. Chelmsley Wood
C. Ford",B. Chelmsley Wood,"random,correct,partial"
Chelmsley Wood,far,Horsforth,west,Henley,"Chelmsley Wood is far Horsforth, west Henley",Which city is far to Horsforth and also west from Henley?,"A. Chelmsley Wood
B. Seacombe
C. Netherton and Orrell",A. Chelmsley Wood,"correct,random,partial"
Wordsley,close,Doxey,south,Norton & Askern,"Wordsley is close Doxey, south Norton & Askern",Which city is close to Doxey and also south from Norton & Askern?,"A. Upper Stoke
B. Wordsley
C. Rockingham",B. Wordsley,"partial,correct,random"
