place1,dir,place2_Y,top,place2_Z,dis,place2_W,triplet,question,options,answer,option_sources
Selly Oak,north,Northfield,borders,Edgbaston,distant,Upper Stoke,"Selly Oak borders Edgbaston, distant to Upper Stoke, and north of Northfield",Which city borders Edgbaston and is also distant to Upper Stoke and north of Northfield?,"A. Bournville
B. Dodworth
C. Selly Oak",C. Selly Oak,"partial,random,correct"
Swanside,north,Wednesfield North,borders,Page Moss,distant,Worsley,"Swanside borders Page Moss, distant to Worsley, and north of Wednesfield North",Which city borders Page Moss and is also distant to Worsley and north of Wednesfield North?,"A. Swanside
B. Dore & Totley
C. Norris Green",A. Swanside,"correct,random,partial"
Great Horton,north,Park,borders,Royds,distant,West Middleton,"Great Horton borders Royds, distant to West Middleton, and north of Park",Which city borders Royds and is also distant to West Middleton and north of Park?,"A. Low Fell
B. Great Horton
C. Roby",B. Great Horton,"partial,correct,random"
Brinsworth and Catcliffe,north,Sutton New Hall,borders,Boston Castle,distant,Stalybridge North,"Brinsworth and Catcliffe borders Boston Castle, distant to Stalybridge North, and north of Sutton New Hall",Which city borders Boston Castle and is also distant to Stalybridge North and north of Sutton New Hall?,"A. Hoyland Milton
B. Brinsworth and Catcliffe
C. Meols",B. Brinsworth and Catcliffe,"partial,correct,random"
Wyke,north,Darton West,borders,Tong,distant,Offerton Park,"Wyke borders Tong, distant to Offerton Park, and north of Darton West",Which city borders Tong and is also distant to Offerton Park and north of Darton West?,"A. Wakefield East
B. Wyke
C. St. Matthew's",B. Wyke,"partial,correct,random"
Harper Green,north,Boothstown and Ellenbrook,borders,Rumworth,distant,Whiston & Cronton,"Harper Green borders Rumworth, distant to Whiston & Cronton, and north of Boothstown and Ellenbrook",Which city borders Rumworth and is also distant to Whiston & Cronton and north of Boothstown and Ellenbrook?,"A. Harper Green
B. Willenhall North
C. Crompton",A. Harper Green,"correct,random,partial"
Boothstown and Ellenbrook,north,St. Mary's,borders,Astley Mosley Common,distant,Denby Dale,"Boothstown and Ellenbrook borders Astley Mosley Common, distant to Denby Dale, and north of St. Mary's",Which city borders Astley Mosley Common and is also distant to Denby Dale and north of St. Mary's?,"A. Ince
B. Boothstown and Ellenbrook
C. Lamesley",B. Boothstown and Ellenbrook,"random,correct,partial"
Camperdown,north,Bradshaw,borders,Longbenton,distant,Ryhope,"Camperdown borders Longbenton, distant to Ryhope, and north of Bradshaw",Which city borders Longbenton and is also distant to Ryhope and north of Bradshaw?,"A. Camperdown
B. Cleadon and East Boldon
C. Denton",A. Camperdown,"correct,random,partial"
Horsley Hill,north,Hemsworth,borders,Westoe,distant,Newburn,"Horsley Hill borders Westoe, distant to Newburn, and north of Hemsworth",Which city borders Westoe and is also distant to Newburn and north of Hemsworth?,"A. Horsley Hill
B. Hendon
C. Darnall",A. Horsley Hill,"correct,partial,random"
Batley East,north,Abbey,borders,Batley West,distant,Gorse Hill,"Batley East borders Batley West, distant to Gorse Hill, and north of Abbey",Which city borders Batley West and is also distant to Gorse Hill and north of Abbey?,"A. Billinge and Seneley Green
B. Wednesbury South
C. Batley East",C. Batley East,"partial,random,correct"
Ackworth North Elmsall and Upton,north,Heath Town,borders,Pontefract South,distant,Tong,"Ackworth North Elmsall and Upton borders Pontefract South, distant to Tong, and north of Heath Town",Which city borders Pontefract South and is also distant to Tong and north of Heath Town?,"A. Alwoodley
B. Ackworth North Elmsall and Upton
C. Smallbridge and Firgrove",B. Ackworth North Elmsall and Upton,"random,correct,partial"
Brierley Hill,north,Cradley and Wollescote,borders,Amblecote,distant,Sutton Trinity,"Brierley Hill borders Amblecote, distant to Sutton Trinity, and north of Cradley and Wollescote",Which city borders Amblecote and is also distant to Sutton Trinity and north of Cradley and Wollescote?,"A. St. Michael's
B. Brierley Hill
C. Wednesbury South",B. Brierley Hill,"partial,correct,random"
Gleadless Valley,north,Springfield,borders,Nether Edge & Sharrow,far,Holyrood,"Gleadless Valley borders Nether Edge & Sharrow, far to Holyrood, and north of Springfield",Which city borders Nether Edge & Sharrow and is also far to Holyrood and north of Springfield?,"A. Bloxwich West
B. Heswall
C. Gleadless Valley",C. Gleadless Valley,"random,partial,correct"
Saltwell,north,Swinton North,borders,Deckham,far,Washwood Heath,"Saltwell borders Deckham, far to Washwood Heath, and north of Swinton North",Which city borders Deckham and is also far to Washwood Heath and north of Swinton North?,"A. Saltwell
B. Denton
C. Mexborough",A. Saltwell,"correct,partial,random"
Handsworth Wood,north,Springfield,borders,West Bromwich Central,far,Walkden North,"Handsworth Wood borders West Bromwich Central, far to Walkden North, and north of Springfield",Which city borders West Bromwich Central and is also far to Walkden North and north of Springfield?,"A. Bessacarr
B. Handsworth Wood
C. Lye and Stourbridge North",B. Handsworth Wood,"partial,correct,random"
Radford,north,Cheylesmore,borders,Bablake,far,Swanside,"Radford borders Bablake, far to Swanside, and north of Cheylesmore",Which city borders Bablake and is also far to Swanside and north of Cheylesmore?,"A. Radford
B. Royton South
C. Little Lever and Darcy Lever",A. Radford,"correct,partial,random"
Primrose,north,Manor,borders,Bede,far,Shevington,"Primrose borders Bede, far to Shevington, and north of Manor",Which city borders Bede and is also far to Shevington and north of Manor?,"A. Primrose
B. Harton
C. Bromborough",A. Primrose,"correct,partial,random"
Fallowfield,north,Penn,borders,Old Moat,far,Hall Green,"Fallowfield borders Old Moat, far to Hall Green, and north of Penn",Which city borders Old Moat and is also far to Hall Green and north of Penn?,"A. Fallowfield
B. West Heywood
C. Clatterbridge",A. Fallowfield,"correct,random,partial"
Barton,north,Brooklands,borders,Davyhulme East,far,Friar Park,"Barton borders Davyhulme East, far to Friar Park, and north of Brooklands",Which city borders Davyhulme East and is also far to Friar Park and north of Brooklands?,"A. Edgbaston
B. Barton
C. Calverley and Farsley",B. Barton,"random,correct,partial"
Meols,north,Cherryfield,borders,Norwood,far,Withington,"Meols borders Norwood, far to Withington, and north of Cherryfield",Which city borders Norwood and is also far to Withington and north of Cherryfield?,"A. Meols
B. Morley West Yorkshire
C. Duke's",A. Meols,"correct,random,partial"
St. Thomas's,north,Kings Norton,borders,Castle and Priory,far,Thorne & Moorends,"St. Thomas's borders Castle and Priory, far to Thorne & Moorends, and north of Kings Norton",Which city borders Castle and Priory and is also far to Thorne & Moorends and north of Kings Norton?,"A. Greetland and Stainland
B. St. Thomas's
C. North Jesmond",B. St. Thomas's,"random,correct,partial"
Doxford,north,Swinton North,borders,St. Chad's,far,Lyndon,"Doxford borders St. Chad's, far to Lyndon, and north of Swinton North",Which city borders St. Chad's and is also far to Lyndon and north of Swinton North?,"A. Farnworth
B. Calder
C. Doxford",C. Doxford,"random,partial,correct"
Bushbury South and Low Hill,north,Quarry Bank and Dudley Wood,borders,Heath Town,far,Eccles,"Bushbury South and Low Hill borders Heath Town, far to Eccles, and north of Quarry Bank and Dudley Wood",Which city borders Heath Town and is also far to Eccles and north of Quarry Bank and Dudley Wood?,"A. Doxford
B. Bushbury South and Low Hill
C. Weaste and Seedley",B. Bushbury South and Low Hill,"partial,correct,random"
Prescot,north,St. Michaels,borders,Yew Tree,far,Wales South Yorkshire,"Prescot borders Yew Tree, far to Wales South Yorkshire, and north of St. Michaels",Which city borders Yew Tree and is also far to Wales South Yorkshire and north of St. Michaels?,"A. Prescot
B. Winlaton and High Spen
C. Wallsend",A. Prescot,"correct,random,partial"
Ainsdale,north,Blundellsands,borders,Birkdale,far,St. Matthew's,"Ainsdale borders Birkdale, far to St. Matthew's, and north of Blundellsands",Which city borders Birkdale and is also far to St. Matthew's and north of Blundellsands?,"A. Kew
B. Wednesfield South
C. Ainsdale",C. Ainsdale,"partial,random,correct"
Boldon Colliery,north,Bilston North,borders,Fellgate and Hedworth,far,Littleborough Lakeside,"Boldon Colliery borders Fellgate and Hedworth, far to Littleborough Lakeside, and north of Bilston North",Which city borders Fellgate and Hedworth and is also far to Littleborough Lakeside and north of Bilston North?,"A. Colne Valley
B. Boldon Colliery
C. Beacon and Bents",B. Boldon Colliery,"random,correct,partial"
Claughton,north,Bebington,borders,Birkenhead and Tranmere,far,Hoober,"Claughton borders Birkenhead and Tranmere, far to Hoober, and north of Bebington",Which city borders Birkenhead and Tranmere and is also far to Hoober and north of Bebington?,"A. Brooklands
B. Bloxwich West
C. Claughton",C. Claughton,"partial,random,correct"
Dodworth,north,Quarry Bank and Dudley Wood,borders,Darton West,far,Pemberton,"Dodworth borders Darton West, far to Pemberton, and north of Quarry Bank and Dudley Wood",Which city borders Darton West and is also far to Pemberton and north of Quarry Bank and Dudley Wood?,"A. Crosland Moor and Netherton
B. Dodworth
C. Metropolitan Borough of Doncaster",B. Dodworth,"partial,correct,random"
Beighton,north,Brownhills,borders,Birley,far,St. Pauls,"Beighton borders Birley, far to St. Pauls, and north of Brownhills",Which city borders Birley and is also far to St. Pauls and north of Brownhills?,"A. Failsworth West
B. Broughton
C. Beighton",C. Beighton,"partial,random,correct"
Ordsall,north,Cheadle and Gatley,borders,Hulme,far,Princes End,"Ordsall borders Hulme, far to Princes End, and north of Cheadle and Gatley",Which city borders Hulme and is also far to Princes End and north of Cheadle and Gatley?,"A. Gorton North
B. Ordsall
C. West Middleton",B. Ordsall,"partial,correct,random"
West Park,north,Skircoat,borders,Cleadon Park,far,Westhoughton North and Chew Moor,"West Park borders Cleadon Park, far to Westhoughton North and Chew Moor, and north of Skircoat",Which city borders Cleadon Park and is also far to Westhoughton North and Chew Moor and north of Skircoat?,"A. Meols
B. Simonside and Rekendyke
C. West Park",C. West Park,"random,partial,correct"
Riverside,north,Gorton South,borders,Princes Park,far,St. Michael's,"Riverside borders Princes Park, far to St. Michael's, and north of Gorton South",Which city borders Princes Park and is also far to St. Michael's and north of Gorton South?,"A. Eastham
B. Tettenhall Regis
C. Riverside",C. Riverside,"partial,random,correct"
Darton West,north,Old Warley,borders,Penistone East,far,Tonge with the Haulgh,"Darton West borders Penistone East, far to Tonge with the Haulgh, and north of Old Warley",Which city borders Penistone East and is also far to Tonge with the Haulgh and north of Old Warley?,"A. Darton West
B. Cudworth
C. Shipley",A. Darton West,"correct,partial,random"
Old Town,north,Short Heath,borders,Dodworth,far,Wednesfield South,"Old Town borders Dodworth, far to Wednesfield South, and north of Short Heath",Which city borders Dodworth and is also far to Wednesfield South and north of Short Heath?,"A. Old Town
B. Stepping Hill
C. St. Pauls",A. Old Town,"correct,partial,random"
Heckmondwike,east,Pendlebury,within,Yorkshire and the Humber Euro Region,near,Liversedge and Gomersal,"Heckmondwike within Yorkshire and the Humber Euro Region, near to Liversedge and Gomersal, and east of Pendlebury",Which city is within Yorkshire and the Humber Euro Region and also near to Liversedge and Gomersal and east of Pendlebury?,"A. Firth Park
B. Heckmondwike
C. Chadderton Central",B. Heckmondwike,"partial,correct,random"
Elmdon,east,Rowley,within,West Midlands Euro Region,near,Kingshurst and Fordbridge,"Elmdon within West Midlands Euro Region, near to Kingshurst and Fordbridge, and east of Rowley",Which city is within West Midlands Euro Region and also near to Kingshurst and Fordbridge and east of Rowley?,"A. Hillsborough
B. Hodge Hill
C. Elmdon",C. Elmdon,"random,partial,correct"
Baildon,east,Standish with Langtree,within,City of Bradford,near,Ilkley,"Baildon within City of Bradford, near to Ilkley, and east of Standish with Langtree",Which city is within City of Bradford and also near to Ilkley and east of Standish with Langtree?,"A. Longbenton
B. Idle and Thackley
C. Baildon",C. Baildon,"random,partial,correct"
Blackheath,east,Brockmoor and Pensnett,within,West Midlands Euro Region,near,Smethwick,"Blackheath within West Midlands Euro Region, near to Smethwick, and east of Brockmoor and Pensnett",Which city is within West Midlands Euro Region and also near to Smethwick and east of Brockmoor and Pensnett?,"A. Queensbury
B. Blackheath
C. Sutton New Hall",B. Blackheath,"random,correct,partial"
Didsbury East,east,Davyhulme West,within,North West Euro Region,near,Gorton North,"Didsbury East within North West Euro Region, near to Gorton North, and east of Davyhulme West",Which city is within North West Euro Region and also near to Gorton North and east of Davyhulme West?,"A. Cheetham
B. Doxey
C. Didsbury East",C. Didsbury East,"partial,random,correct"
Billinge and Seneley Green,east,Wallasey,within,North West Euro Region,near,Town Centre,"Billinge and Seneley Green within North West Euro Region, near to Town Centre, and east of Wallasey",Which city is within North West Euro Region and also near to Town Centre and east of Wallasey?,"A. Moss Bank
B. North Manor
C. Billinge and Seneley Green",C. Billinge and Seneley Green,"random,partial,correct"
Liscard,east,Wallasey,within,Metropolitan Borough of Wirral,near,Oxton,"Liscard within Metropolitan Borough of Wirral, near to Oxton, and east of Wallasey",Which city is within Metropolitan Borough of Wirral and also near to Oxton and east of Wallasey?,"A. Ashton upon Mersey
B. Greasby Frankby and Irby
C. Liscard",C. Liscard,"random,partial,correct"
Sharston,east,Whitefield,within,Manchester,near,Withington,"Sharston within Manchester, near to Withington, and east of Whitefield",Which city is within Manchester and also near to Withington and east of Whitefield?,"A. Sharston
B. Meriden West Midlands
C. Heatons North",A. Sharston,"correct,random,partial"
Longford,east,Handsworth Wood,within,North West Euro Region,near,Lower Stoke,"Longford within North West Euro Region, near to Lower Stoke, and east of Handsworth Wood",Which city is within North West Euro Region and also near to Lower Stoke and east of Handsworth Wood?,"A. Church
B. Fallowfield
C. Longford",C. Longford,"partial,random,correct"
Idle and Thackley,east,Atherleigh,within,Yorkshire and the Humber Euro Region,near,Toller,"Idle and Thackley within Yorkshire and the Humber Euro Region, near to Toller, and east of Atherleigh",Which city is within Yorkshire and the Humber Euro Region and also near to Toller and east of Atherleigh?,"A. Beeston and Holbeck
B. Hoyland Milton
C. Idle and Thackley",C. Idle and Thackley,"partial,random,correct"
County,east,Liscard,within,Liverpool,near,Fazakerley,"County within Liverpool, near to Fazakerley, and east of Liscard",Which city is within Liverpool and also near to Fazakerley and east of Liscard?,"A. County
B. Beacon and Bents
C. Greenbank",A. County,"correct,random,partial"
Nether Edge & Sharrow,east,County,within,Yorkshire and the Humber Euro Region,near,Richmond,"Nether Edge & Sharrow within Yorkshire and the Humber Euro Region, near to Richmond, and east of County",Which city is within Yorkshire and the Humber Euro Region and also near to Richmond and east of County?,"A. Otley and Yeadon
B. Whickham North
C. Nether Edge & Sharrow",C. Nether Edge & Sharrow,"partial,random,correct"
Westgate,east,Ryton Crookhill and Stella,within,Newcastle upon Tyne,near,Whickham South and Sunniside,"Westgate within Newcastle upon Tyne, near to Whickham South and Sunniside, and east of Ryton Crookhill and Stella",Which city is within Newcastle upon Tyne and also near to Whickham South and Sunniside and east of Ryton Crookhill and Stella?,"A. Westgate
B. Wrenthorpe and Outwood West
C. Chowdene",A. Westgate,"correct,random,partial"
Benton,east,Castle,within,North Tyneside,near,North Heaton,"Benton within North Tyneside, near to North Heaton, and east of Castle",Which city is within North Tyneside and also near to North Heaton and east of Castle?,"A. Altofts and Whitwood
B. Longbenton
C. Benton",C. Benton,"random,partial,correct"
Swinton North,east,Derby,within,City of Salford,near,Worsley,"Swinton North within City of Salford, near to Worsley, and east of Derby",Which city is within City of Salford and also near to Worsley and east of Derby?,"A. Langworthy
B. Brandwood
C. Swinton North",C. Swinton North,"partial,random,correct"
Bournville,east,Cradley and Wollescote,within,West Midlands Euro Region,near,Weoley,"Bournville within West Midlands Euro Region, near to Weoley, and east of Cradley and Wollescote",Which city is within West Midlands Euro Region and also near to Weoley and east of Cradley and Wollescote?,"A. Sheldon
B. Bournville
C. Tipton Green",B. Bournville,"partial,correct,random"
Princes End,east,Graiseley,within,Sandwell,near,Sedgley,"Princes End within Sandwell, near to Sedgley, and east of Graiseley",Which city is within Sandwell and also near to Sedgley and east of Graiseley?,"A. Princes End
B. Ancoats and Clayton
C. Greets Green and Lyng",A. Princes End,"correct,random,partial"
Birchills Leamore,east,Kingswinford North and Wall Heath,within,Metropolitan Borough of Walsall,near,Wednesbury North,"Birchills Leamore within Metropolitan Borough of Walsall, near to Wednesbury North, and east of Kingswinford North and Wall Heath",Which city is within Metropolitan Borough of Walsall and also near to Wednesbury North and east of Kingswinford North and Wall Heath?,"A. Birchills Leamore
B. Bentley and Darlaston North
C. Sandhill",A. Birchills Leamore,"correct,partial,random"
Kingsway,east,Thatto Heath,within,North West Euro Region,near,North Heywood,"Kingsway within North West Euro Region, near to North Heywood, and east of Thatto Heath",Which city is within North West Euro Region and also near to North Heywood and east of Thatto Heath?,"A. Boothstown and Ellenbrook
B. Dore & Totley
C. Kingsway",C. Kingsway,"partial,random,correct"
Graves Park,east,Ford,within,Yorkshire and the Humber Euro Region,near,Walkley,"Graves Park within Yorkshire and the Humber Euro Region, near to Walkley, and east of Ford",Which city is within Yorkshire and the Humber Euro Region and also near to Walkley and east of Ford?,"A. Batley West
B. Graves Park
C. Lyndon",B. Graves Park,"partial,correct,random"
Keppel,east,Balderstone and Kirkholt,within,Yorkshire and the Humber Euro Region,near,Orgreave South Yorkshire,"Keppel within Yorkshire and the Humber Euro Region, near to Orgreave South Yorkshire, and east of Balderstone and Kirkholt",Which city is within Yorkshire and the Humber Euro Region and also near to Orgreave South Yorkshire and east of Balderstone and Kirkholt?,"A. Crofton Ryhill and Walton
B. Dalton
C. Keppel",C. Keppel,"partial,random,correct"
North Heaton,east,Blaydon,within,Newcastle upon Tyne,near,South Heaton,"North Heaton within Newcastle upon Tyne, near to South Heaton, and east of Blaydon",Which city is within Newcastle upon Tyne and also near to South Heaton and east of Blaydon?,"A. Bilston East
B. North Heaton
C. Walker",B. North Heaton,"random,correct,partial"
Bidston and St. James,east,Hoylake and Meols,within,North West Euro Region,close,Whitefield,"Bidston and St. James within North West Euro Region, close to Whitefield, and east of Hoylake and Meols",Which city is within North West Euro Region and also close to Whitefield and east of Hoylake and Meols?,"A. County Borough of Leeds
B. Bidston and St. James
C. Kew",B. Bidston and St. James,"random,correct,partial"
East Ecclesfield,east,Wigan Central,within,Yorkshire and the Humber Euro Region,close,Horbury and South Ossett,"East Ecclesfield within Yorkshire and the Humber Euro Region, close to Horbury and South Ossett, and east of Wigan Central",Which city is within Yorkshire and the Humber Euro Region and also close to Horbury and South Ossett and east of Wigan Central?,"A. Ashton Hurst
B. East Ecclesfield
C. Pontefract North",B. East Ecclesfield,"random,correct,partial"
Denton South,east,Brooklands,within,Tameside,close,Langworthy,"Denton South within Tameside, close to Langworthy, and east of Brooklands",Which city is within Tameside and also close to Langworthy and east of Brooklands?,"A. Crompton
B. Hebburn North
C. Denton South",C. Denton South,"partial,random,correct"
Elswick,east,Newburn,within,North East Euro Region,close,Riverside,"Elswick within North East Euro Region, close to Riverside, and east of Newburn",Which city is within North East Euro Region and also close to Riverside and east of Newburn?,"A. South Elmsall and South Kirkby
B. Elswick
C. Fellgate and Hedworth",B. Elswick,"random,correct,partial"
Whalley Range,east,St. Oswald,within,Manchester,close,Astley Village,"Whalley Range within Manchester, close to Astley Village, and east of St. Oswald",Which city is within Manchester and also close to Astley Village and east of St. Oswald?,"A. North Middleton
B. Whalley Range
C. Washington North",B. Whalley Range,"partial,correct,random"
Gornal,east,Kingswinford North and Wall Heath,within,West Midlands Euro Region,close,Wednesbury North,"Gornal within West Midlands Euro Region, close to Wednesbury North, and east of Kingswinford North and Wall Heath",Which city is within West Midlands Euro Region and also close to Wednesbury North and east of Kingswinford North and Wall Heath?,"A. Sutton Trinity
B. Heatons South
C. Gornal",C. Gornal,"partial,random,correct"
Wakefield East,east,Walkden North,within,City of Wakefield,close,Penistone,"Wakefield East within City of Wakefield, close to Penistone, and east of Walkden North",Which city is within City of Wakefield and also close to Penistone and east of Walkden North?,"A. Whitley Bay
B. Wakefield East
C. Southey",B. Wakefield East,"random,correct,partial"
Temple Newsam,east,Charlestown,within,Yorkshire and the Humber Euro Region,close,Mirfield,"Temple Newsam within Yorkshire and the Humber Euro Region, close to Mirfield, and east of Charlestown",Which city is within Yorkshire and the Humber Euro Region and also close to Mirfield and east of Charlestown?,"A. Northowram and Shelf
B. Temple Newsam
C. Gorton South",B. Temple Newsam,"partial,correct,random"
Burmantofts and Richmond Hill,east,Liversedge and Gomersal,within,Yorkshire and the Humber Euro Region,close,Otley and Yeadon,"Burmantofts and Richmond Hill within Yorkshire and the Humber Euro Region, close to Otley and Yeadon, and east of Liversedge and Gomersal",Which city is within Yorkshire and the Humber Euro Region and also close to Otley and Yeadon and east of Liversedge and Gomersal?,"A. Craven
B. Burmantofts and Richmond Hill
C. Thatto Heath",B. Burmantofts and Richmond Hill,"partial,correct,random"
Higher Blackley,east,Roby,within,Manchester,close,Milkstone and Deeplish,"Higher Blackley within Manchester, close to Milkstone and Deeplish, and east of Roby",Which city is within Manchester and also close to Milkstone and Deeplish and east of Roby?,"A. Higher Blackley
B. Metropolitan Borough of Rotherham
C. Langworthy",A. Higher Blackley,"correct,random,partial"
Dalton,east,Speke-Garston,within,Kirklees,close,Royston,"Dalton within Kirklees, close to Royston, and east of Speke-Garston",Which city is within Kirklees and also close to Royston and east of Speke-Garston?,"A. Shirley South
B. Morley South
C. Dalton",C. Dalton,"random,partial,correct"
Horwich,east,Windle St Helens,within,Metropolitan Borough of Bolton,close,Sutton Weaver (civil parish),"Horwich within Metropolitan Borough of Bolton, close to Sutton Weaver (civil parish), and east of Windle St Helens",Which city is within Metropolitan Borough of Bolton and also close to Sutton Weaver (civil parish) and east of Windle St Helens?,"A. Hindley
B. Sutton Weaver (civil parish)
C. Horwich",C. Horwich,"partial,random,correct"
Willenhall North,east,Tettenhall Wightwick,within,Metropolitan Borough of Walsall,close,Finstall,"Willenhall North within Metropolitan Borough of Walsall, close to Finstall, and east of Tettenhall Wightwick",Which city is within Metropolitan Borough of Walsall and also close to Finstall and east of Tettenhall Wightwick?,"A. Willenhall North
B. Wyke
C. Pelsall",A. Willenhall North,"correct,random,partial"
Elton,east,Duke's,within,North West Euro Region,close,Smithills,"Elton within North West Euro Region, close to Smithills, and east of Duke's",Which city is within North West Euro Region and also close to Smithills and east of Duke's?,"A. Manchester
B. Elton
C. Earlestown",B. Elton,"random,correct,partial"
Longsight,east,Swinton South,within,North West Euro Region,close,Moorside,"Longsight within North West Euro Region, close to Moorside, and east of Swinton South",Which city is within North West Euro Region and also close to Moorside and east of Swinton South?,"A. Liverpool
B. Davyhulme West
C. Longsight",C. Longsight,"random,partial,correct"
Firth Park,east,Swanside,within,Sheffield,close,Wombwell,"Firth Park within Sheffield, close to Wombwell, and east of Swanside",Which city is within Sheffield and also close to Wombwell and east of Swanside?,"A. Amblecote
B. Boston Castle
C. Firth Park",C. Firth Park,"random,partial,correct"
Earlestown,east,Ford,within,North West Euro Region,close,Shevington with Lower Ground,"Earlestown within North West Euro Region, close to Shevington with Lower Ground, and east of Ford",Which city is within North West Euro Region and also close to Shevington with Lower Ground and east of Ford?,"A. Earlestown
B. Bloxwich East
C. Hale Central",A. Earlestown,"correct,random,partial"
Greenhead,east,Park,within,Kirklees,close,Liversedge and Gomersal,"Greenhead within Kirklees, close to Liversedge and Gomersal, and east of Park",Which city is within Kirklees and also close to Liversedge and Gomersal and east of Park?,"A. Greenhead
B. Smethwick
C. Dearne North",A. Greenhead,"correct,random,partial"
Radcliffe West,east,Kirkdale,within,Metropolitan Borough of Bury,close,Winton,"Radcliffe West within Metropolitan Borough of Bury, close to Winton, and east of Kirkdale",Which city is within Metropolitan Borough of Bury and also close to Winton and east of Kirkdale?,"A. Sutton New Hall
B. Northenden
C. Radcliffe West",C. Radcliffe West,"random,partial,correct"
Coseley East,east,Spring Vale,within,West Midlands Euro Region,close,Finstall,"Coseley East within West Midlands Euro Region, close to Finstall, and east of Spring Vale",Which city is within West Midlands Euro Region and also close to Finstall and east of Spring Vale?,"A. Coseley East
B. St. Peter's
C. Kingswinford North and Wall Heath",A. Coseley East,"correct,random,partial"
Aspull New Springs Whelley,east,Manor,within,Metropolitan Borough of Wigan,close,Great Lever,"Aspull New Springs Whelley within Metropolitan Borough of Wigan, close to Great Lever, and east of Manor",Which city is within Metropolitan Borough of Wigan and also close to Great Lever and east of Manor?,"A. Aspull New Springs Whelley
B. North East
C. Hyde Park and Woodhouse",A. Aspull New Springs Whelley,"correct,partial,random"
Redvales,east,Norris Green,within,Metropolitan Borough of Bury,close,Westhoughton,"Redvales within Metropolitan Borough of Bury, close to Westhoughton, and east of Norris Green",Which city is within Metropolitan Borough of Bury and also close to Westhoughton and east of Norris Green?,"A. Longford
B. Brockmoor and Pensnett
C. Redvales",C. Redvales,"partial,random,correct"
Darfield,east,Whiston & Cronton,within,Yorkshire and the Humber Euro Region,distant,Park,"Darfield within Yorkshire and the Humber Euro Region, distant to Park, and east of Whiston & Cronton",Which city is within Yorkshire and the Humber Euro Region and also distant to Park and east of Whiston & Cronton?,"A. Darfield
B. Dearne South
C. Redvales",A. Darfield,"correct,partial,random"
Bilston North,east,Penn,within,West Midlands Euro Region,distant,Binley and Willenhall,"Bilston North within West Midlands Euro Region, distant to Binley and Willenhall, and east of Penn",Which city is within West Midlands Euro Region and also distant to Binley and Willenhall and east of Penn?,"A. Tipton Green
B. Bilston North
C. Sutton Four Oaks",B. Bilston North,"partial,correct,random"
Denton,east,Ryton Crookhill and Stella,within,North East Euro Region,distant,Westoe,"Denton within North East Euro Region, distant to Westoe, and east of Ryton Crookhill and Stella",Which city is within North East Euro Region and also distant to Westoe and east of Ryton Crookhill and Stella?,"A. Kenton
B. Denton
C. Farnley and Wortley",B. Denton,"partial,correct,random"
Bold St Helens,east,St. Oswald,within,Metropolitan Borough of St Helens,distant,Withington,"Bold St Helens within Metropolitan Borough of St Helens, distant to Withington, and east of St. Oswald",Which city is within Metropolitan Borough of St Helens and also distant to Withington and east of St. Oswald?,"A. Bold St Helens
B. Sudell
C. Swinton",A. Bold St Helens,"correct,partial,random"
Rowley,east,Amblecote,within,Sandwell,distant,Bickenhill,"Rowley within Sandwell, distant to Bickenhill, and east of Amblecote",Which city is within Sandwell and also distant to Bickenhill and east of Amblecote?,"A. St. Mary's
B. Quarry Bank and Dudley Wood
C. Rowley",C. Rowley,"random,partial,correct"
Greetland and Stainland,east,County,within,Calderdale,distant,Kingstone,"Greetland and Stainland within Calderdale, distant to Kingstone, and east of County",Which city is within Calderdale and also distant to Kingstone and east of County?,"A. Greetland and Stainland
B. Moortown
C. Eccleshill",A. Greetland and Stainland,"correct,random,partial"
Pheasey Park Farm,east,Friar Park,within,West Midlands Euro Region,distant,St. Michael's,"Pheasey Park Farm within West Midlands Euro Region, distant to St. Michael's, and east of Friar Park",Which city is within West Midlands Euro Region and also distant to St. Michael's and east of Friar Park?,"A. Pheasey Park Farm
B. Pemberton
C. Blakenall",A. Pheasey Park Farm,"correct,random,partial"
Rock Ferry,east,Oxton,within,Metropolitan Borough of Wirral,distant,Worsley Mesnes,"Rock Ferry within Metropolitan Borough of Wirral, distant to Worsley Mesnes, and east of Oxton",Which city is within Metropolitan Borough of Wirral and also distant to Worsley Mesnes and east of Oxton?,"A. Sowerby Bridge
B. Rock Ferry
C. Ashton",B. Rock Ferry,"partial,correct,random"
Bloxwich West,east,St. Peter's,within,Metropolitan Borough of Walsall,distant,Meriden West Midlands,"Bloxwich West within Metropolitan Borough of Walsall, distant to Meriden West Midlands, and east of St. Peter's",Which city is within Metropolitan Borough of Walsall and also distant to Meriden West Midlands and east of St. Peter's?,"A. Bilston East
B. Hateley Heath
C. Bloxwich West",C. Bloxwich West,"partial,random,correct"
Penn,east,Merry Hill,within,West Midlands Euro Region,distant,Whoberley,"Penn within West Midlands Euro Region, distant to Whoberley, and east of Merry Hill",Which city is within West Midlands Euro Region and also distant to Whoberley and east of Merry Hill?,"A. Tettenhall Regis
B. Elmdon
C. Penn",C. Penn,"partial,random,correct"
