place1,dir,place2_Y,top,place2_Z,triplet,question,options,answer,option_sources
West Gosforth,west,Castle Eden,borders,Parklands,"West Gosforth is west Castle Eden, borders Parklands",Which city lies west to Castle Eden and borders Parklands?,"A. West Gosforth
B. Benwell and Scotswood
C. Heald Green",A. West Gosforth,"correct,partial,random"
Astley Mosley Common,east,Parr,within,Metropolitan Borough of Wigan,"Astley Mosley Common is east Parr, within Metropolitan Borough of Wigan",Which city lies east to Parr and within Metropolitan Borough of Wigan?,"A. Astley Mosley Common
B. Graves Park
C. North Jesmond",A. Astley Mosley Common,"correct,partial,random"
Astley Mosley Common,south,Harper Green,borders,Boothstown and Ellenbrook,"Astley Mosley Common is south Harper Green, borders Boothstown and Ellenbrook",Which city lies south to Harper Green and borders Boothstown and Ellenbrook?,"A. Bournville
B. Astley Mosley Common
C. Earlestown",B. Astley Mosley Common,"partial,correct,random"
Cheadle Hulme North,north,Wyken,within,North West Euro Region,"Cheadle Hulme North is north Wyken, within North West Euro Region",Which city lies north to Wyken and within North West Euro Region?,"A. Camperdown
B. Cheadle Hulme North
C. Shevington",B. Cheadle Hulme North,"random,correct,partial"
Cheadle Hulme North,west,Hellaby,borders,Heatons South,"Cheadle Hulme North is west Hellaby, borders Heatons South",Which city lies west to Hellaby and borders Heatons South?,"A. Longsight
B. Upper Gornal and Woodsetton
C. Cheadle Hulme North",C. Cheadle Hulme North,"partial,random,correct"
Shipley,north,Abbey,within,City of Bradford,"Shipley is north Abbey, within City of Bradford",Which city lies north to Abbey and within City of Bradford?,"A. Horwich
B. Heatons North
C. Shipley",C. Shipley,"partial,random,correct"
Shipley,west,Adwick le Street & Carcroft,borders,Windhill and Wrose,"Shipley is west Adwick le Street & Carcroft, borders Windhill and Wrose",Which city lies west to Adwick le Street & Carcroft and borders Windhill and Wrose?,"A. Shipley
B. Wyke
C. Urmston",A. Shipley,"correct,partial,random"
Blakenhall,west,St. Alphege,within,West Midlands Euro Region,"Blakenhall is west St. Alphege, within West Midlands Euro Region",Which city lies west to St. Alphege and within West Midlands Euro Region?,"A. Shard End
B. Calverley and Farsley
C. Blakenhall",C. Blakenhall,"partial,random,correct"
Blakenhall,south,Firth Park,borders,Spring Vale,"Blakenhall is south Firth Park, borders Spring Vale",Which city lies south to Firth Park and borders Spring Vale?,"A. Aston
B. Graves Park
C. Blakenhall",C. Blakenhall,"random,partial,correct"
Lindley,east,Church,within,Yorkshire and the Humber Euro Region,"Lindley is east Church, within Yorkshire and the Humber Euro Region",Which city lies east to Church and within Yorkshire and the Humber Euro Region?,"A. Lindley
B. East Gosforth
C. Rockingham",A. Lindley,"correct,random,partial"
Lindley,south,Lemington,borders,Colne Valley,"Lindley is south Lemington, borders Colne Valley",Which city lies south to Lemington and borders Colne Valley?,"A. Lindley
B. St. Michael's
C. Spotland and Falinge",A. Lindley,"correct,partial,random"
Northenden,north,Netherton Woodside and St. Andrews,within,Manchester,"Northenden is north Netherton Woodside and St. Andrews, within Manchester",Which city lies north to Netherton Woodside and St. Andrews and within Manchester?,"A. Chorlton
B. Failsworth East
C. Northenden",C. Northenden,"partial,random,correct"
Northenden,east,Warbreck,borders,Chorlton Park,"Northenden is east Warbreck, borders Chorlton Park",Which city lies east to Warbreck and borders Chorlton Park?,"A. Northenden
B. Clatterbridge
C. North Heywood",A. Northenden,"correct,random,partial"
Barnes,south,Dene,within,City of Sunderland,"Barnes is south Dene, within City of Sunderland",Which city lies south to Dene and within City of Sunderland?,"A. Clayton and Fairweather Green
B. Barnes
C. St. Matthew's",B. Barnes,"partial,correct,random"
Barnes,north,Halesowen South,borders,Sandhill,"Barnes is north Halesowen South, borders Sandhill",Which city lies north to Halesowen South and borders Sandhill?,"A. Greets Green and Lyng
B. Edlington & Warmsworth
C. Barnes",C. Barnes,"random,partial,correct"
Woolsington,north,Edenthorpe,borders,Castle,"Woolsington is north Edenthorpe, borders Castle",Which city lies north to Edenthorpe and borders Castle?,"A. Pallion
B. Washington North
C. Woolsington",C. Woolsington,"partial,random,correct"
Hulton,west,Garforth and Swillington,within,Metropolitan Borough of Bolton,"Hulton is west Garforth and Swillington, within Metropolitan Borough of Bolton",Which city lies west to Garforth and Swillington and within Metropolitan Borough of Bolton?,"A. Sherbourne Warwickshire
B. Hulton
C. Irwell Riverside",B. Hulton,"random,correct,partial"
Hulton,south,East Gosforth,borders,Atherton,"Hulton is south East Gosforth, borders Atherton",Which city lies south to East Gosforth and borders Atherton?,"A. Hulton
B. Pelaw and Heworth
C. Little Lever and Darcy Lever",A. Hulton,"correct,partial,random"
Moreton West and Saughall Massie,west,Horwich and Blackrod,within,North West Euro Region,"Moreton West and Saughall Massie is west Horwich and Blackrod, within North West Euro Region",Which city lies west to Horwich and Blackrod and within North West Euro Region?,"A. Clatterbridge
B. North Heaton
C. Moreton West and Saughall Massie",C. Moreton West and Saughall Massie,"partial,random,correct"
Moreton West and Saughall Massie,south,Washington Central,borders,Upton,"Moreton West and Saughall Massie is south Washington Central, borders Upton",Which city lies south to Washington Central and borders Upton?,"A. Moreton West and Saughall Massie
B. Meriden West Midlands
C. Standish with Langtree",A. Moreton West and Saughall Massie,"correct,partial,random"
Blakelaw and North Fenham,north,Kersal,borders,Wingrove,"Blakelaw and North Fenham is north Kersal, borders Wingrove",Which city lies north to Kersal and borders Wingrove?,"A. Moss Side
B. Bromley Cross
C. Blakelaw and North Fenham",C. Blakelaw and North Fenham,"random,partial,correct"
North Heywood,west,Walkley,within,North West Euro Region,"North Heywood is west Walkley, within North West Euro Region",Which city lies west to Walkley and within North West Euro Region?,"A. North Heywood
B. Craven
C. Heaton and Lostock",A. North Heywood,"correct,random,partial"
North Heywood,south,Weetslade,borders,Castleton,"North Heywood is south Weetslade, borders Castleton",Which city lies south to Weetslade and borders Castleton?,"A. North Heywood
B. Metropolitan Borough of Bury
C. Graiseley",A. North Heywood,"correct,random,partial"
Keighley West,north,Moseley and Kings Heath,within,Yorkshire and the Humber Euro Region,"Keighley West is north Moseley and Kings Heath, within Yorkshire and the Humber Euro Region",Which city lies north to Moseley and Kings Heath and within Yorkshire and the Humber Euro Region?,"A. Pleck
B. Keighley West
C. Windhill and Wrose",B. Keighley West,"random,correct,partial"
Keighley West,east,St. Michael's,borders,Keighley,"Keighley West is east St. Michael's, borders Keighley",Which city lies east to St. Michael's and borders Keighley?,"A. Keighley West
B. Palfrey
C. Bolton and Undercliffe",A. Keighley West,"correct,random,partial"
Great Barr with Yew Tree,north,Soho,within,West Midlands Euro Region,"Great Barr with Yew Tree is north Soho, within West Midlands Euro Region",Which city lies north to Soho and within West Midlands Euro Region?,"A. Kearsley
B. Great Barr with Yew Tree
C. Atherton",B. Great Barr with Yew Tree,"partial,correct,random"
Great Barr with Yew Tree,south,North East,borders,Friar Park,"Great Barr with Yew Tree is south North East, borders Friar Park",Which city lies south to North East and borders Friar Park?,"A. Smethwick
B. Denton North East
C. Great Barr with Yew Tree",C. Great Barr with Yew Tree,"partial,random,correct"
Kingstone,north,Sutton Vesey,within,Yorkshire and the Humber Euro Region,"Kingstone is north Sutton Vesey, within Yorkshire and the Humber Euro Region",Which city lies north to Sutton Vesey and within Yorkshire and the Humber Euro Region?,"A. Kingstone
B. Sale Moor
C. Haydock",A. Kingstone,"correct,random,partial"
Kingstone,east,Dukinfield,borders,Dodworth,"Kingstone is east Dukinfield, borders Dodworth",Which city lies east to Dukinfield and borders Dodworth?,"A. Kingstone
B. Pudsey
C. Kippax West Yorkshire",A. Kingstone,"correct,random,partial"
Heatons South,south,Ashbrow,within,Metropolitan Borough of Stockport,"Heatons South is south Ashbrow, within Metropolitan Borough of Stockport",Which city lies south to Ashbrow and within Metropolitan Borough of Stockport?,"A. Sedgley
B. Heatons South
C. Rusholme",B. Heatons South,"partial,correct,random"
Heatons South,west,Wetherby,borders,Edgeley and Cheadle Heath,"Heatons South is west Wetherby, borders Edgeley and Cheadle Heath",Which city lies west to Wetherby and borders Edgeley and Cheadle Heath?,"A. Heatons South
B. Penn
C. Shipley",A. Heatons South,"correct,random,partial"
Priory,north,Kingstanding,within,Trafford,"Priory is north Kingstanding, within Trafford",Which city lies north to Kingstanding and within Trafford?,"A. Fulwood
B. Priory
C. Parr",B. Priory,"random,correct,partial"
Priory,west,Altofts and Whitwood,borders,Stretford,"Priory is west Altofts and Whitwood, borders Stretford",Which city lies west to Altofts and Whitwood and borders Stretford?,"A. City and Hunslet
B. Tividale
C. Priory",C. Priory,"partial,random,correct"
Hexthorpe & Balby North,south,Moortown,within,Metropolitan Borough of Doncaster,"Hexthorpe & Balby North is south Moortown, within Metropolitan Borough of Doncaster",Which city lies south to Moortown and within Metropolitan Borough of Doncaster?,"A. Hexthorpe & Balby North
B. Harton
C. Burnage",A. Hexthorpe & Balby North,"correct,random,partial"
Hexthorpe & Balby North,north,Kingshurst and Fordbridge,borders,Sprotbrough and Cusworth,"Hexthorpe & Balby North is north Kingshurst and Fordbridge, borders Sprotbrough and Cusworth",Which city lies north to Kingshurst and Fordbridge and borders Sprotbrough and Cusworth?,"A. Hexthorpe & Balby North
B. Wickersley
C. Westhoughton",A. Hexthorpe & Balby North,"correct,random,partial"
Wyken,south,Keppel,within,Coventry,"Wyken is south Keppel, within Coventry",Which city lies south to Keppel and within Coventry?,"A. Wyken
B. Wednesbury South
C. Wollaston and Stourbridge Town",A. Wyken,"correct,random,partial"
Wyken,east,Aldridge Central and South,borders,Upper Stoke,"Wyken is east Aldridge Central and South, borders Upper Stoke",Which city lies east to Aldridge Central and South and borders Upper Stoke?,"A. Wyken
B. Radford
C. Harton",A. Wyken,"correct,partial,random"
Halewood,west,Ecclesall,within,Metropolitan Borough of Knowsley,"Halewood is west Ecclesall, within Metropolitan Borough of Knowsley",Which city lies west to Ecclesall and within Metropolitan Borough of Knowsley?,"A. Atherleigh
B. Benwell and Scotswood
C. Halewood",C. Halewood,"partial,random,correct"
Halewood,north,Stechford and Yardley North,borders,Allerton and Hunts Cross,"Halewood is north Stechford and Yardley North, borders Allerton and Hunts Cross",Which city lies north to Stechford and Yardley North and borders Allerton and Hunts Cross?,"A. Halewood
B. Friar Park
C. Sutton Trinity",A. Halewood,"correct,random,partial"
Lower Stoke,east,Willenhall South,within,Coventry,"Lower Stoke is east Willenhall South, within Coventry",Which city lies east to Willenhall South and within Coventry?,"A. Lower Stoke
B. Conisbrough Parks
C. Sutton New Hall",A. Lower Stoke,"correct,random,partial"
Lower Stoke,south,West Derby,borders,Cheylesmore,"Lower Stoke is south West Derby, borders Cheylesmore",Which city lies south to West Derby and borders Cheylesmore?,"A. Bickenhill
B. Lower Stoke
C. West Ecclesfield",B. Lower Stoke,"partial,correct,random"
Page Moss,west,Great Horton,within,Metropolitan Borough of Knowsley,"Page Moss is west Great Horton, within Metropolitan Borough of Knowsley",Which city lies west to Great Horton and within Metropolitan Borough of Knowsley?,"A. Norden
B. Derby
C. Page Moss",C. Page Moss,"partial,random,correct"
Page Moss,north,Norton,borders,Roby,"Page Moss is north Norton, borders Roby",Which city lies north to Norton and borders Roby?,"A. Hulton
B. Page Moss
C. Ardsley and Robin Hood",B. Page Moss,"partial,correct,random"
Crookes & Crosspool,south,Cleckheaton,within,Sheffield,"Crookes & Crosspool is south Cleckheaton, within Sheffield",Which city lies south to Cleckheaton and within Sheffield?,"A. Crookes & Crosspool
B. Tyburn
C. Wakefield East",A. Crookes & Crosspool,"correct,partial,random"
Crookes & Crosspool,east,Hyde Newton,borders,Broomhill & Sharrow Vale,"Crookes & Crosspool is east Hyde Newton, borders Broomhill & Sharrow Vale",Which city lies east to Hyde Newton and borders Broomhill & Sharrow Vale?,"A. Erdington
B. Wingfield
C. Crookes & Crosspool",C. Crookes & Crosspool,"random,partial,correct"
Ardsley and Robin Hood,east,Royds,within,Yorkshire and the Humber Euro Region,"Ardsley and Robin Hood is east Royds, within Yorkshire and the Humber Euro Region",Which city lies east to Royds and within Yorkshire and the Humber Euro Region?,"A. Ardsley and Robin Hood
B. Hatfield
C. Keppel",A. Ardsley and Robin Hood,"correct,partial,random"
Ardsley and Robin Hood,south,Simonside and Rekendyke,borders,Batley East,"Ardsley and Robin Hood is south Simonside and Rekendyke, borders Batley East",Which city lies south to Simonside and Rekendyke and borders Batley East?,"A. Ardsley and Robin Hood
B. Kings Norton
C. Gipton and Harehills",A. Ardsley and Robin Hood,"correct,partial,random"
Tong,north,Didsbury West,within,Yorkshire and the Humber Euro Region,"Tong is north Didsbury West, within Yorkshire and the Humber Euro Region",Which city lies north to Didsbury West and within Yorkshire and the Humber Euro Region?,"A. Tong
B. Central
C. Benton",A. Tong,"correct,partial,random"
Tong,south,Adel and Wharfedale,borders,Wyke,"Tong is south Adel and Wharfedale, borders Wyke",Which city lies south to Adel and Wharfedale and borders Wyke?,"A. Tong
B. North West Euro Region
C. Longbridge",A. Tong,"correct,random,partial"
Bentley and Darlaston North,south,Windy Nook and Whitehills,within,West Midlands Euro Region,"Bentley and Darlaston North is south Windy Nook and Whitehills, within West Midlands Euro Region",Which city lies south to Windy Nook and Whitehills and within West Midlands Euro Region?,"A. Crosland Moor and Netherton
B. Bentley and Darlaston North
C. St. Matthew's",B. Bentley and Darlaston North,"random,correct,partial"
Bentley and Darlaston North,north,Soho and Victoria,borders,Darlaston South,"Bentley and Darlaston North is north Soho and Victoria, borders Darlaston South",Which city lies north to Soho and Victoria and borders Darlaston South?,"A. Old Swan
B. Bentley and Darlaston North
C. Ashton",B. Bentley and Darlaston North,"random,correct,partial"
Rock Ferry,south,Westerhope,within,Metropolitan Borough of Wirral,"Rock Ferry is south Westerhope, within Metropolitan Borough of Wirral",Which city lies south to Westerhope and within Metropolitan Borough of Wirral?,"A. Wharfedale
B. Palfrey
C. Rock Ferry",C. Rock Ferry,"random,partial,correct"
Rock Ferry,west,Warley,borders,St. Michael's,"Rock Ferry is west Warley, borders St. Michael's",Which city lies west to Warley and borders St. Michael's?,"A. Rock Ferry
B. Harewood
C. Leigh South",A. Rock Ferry,"correct,random,partial"
Manor Castle,north,Lower Stoke,within,Yorkshire and the Humber Euro Region,"Manor Castle is north Lower Stoke, within Yorkshire and the Humber Euro Region",Which city lies north to Lower Stoke and within Yorkshire and the Humber Euro Region?,"A. Kearsley
B. Manor Castle
C. Roundhay",B. Manor Castle,"partial,correct,random"
Manor Castle,east,Bredbury and Woodley,borders,Richmond,"Manor Castle is east Bredbury and Woodley, borders Richmond",Which city lies east to Bredbury and Woodley and borders Richmond?,"A. Manor Castle
B. Pelaw and Heworth
C. Norton & Askern",A. Manor Castle,"correct,random,partial"
Hemsworth,south,Valley,borders,Ackworth North Elmsall and Upton,"Hemsworth is south Valley, borders Ackworth North Elmsall and Upton",Which city lies south to Valley and borders Ackworth North Elmsall and Upton?,"A. Millfield
B. Monk Bretton
C. Hemsworth",C. Hemsworth,"random,partial,correct"
Lobley Hill and Bensham,north,Ardwick,within,Metropolitan Borough of Gateshead,"Lobley Hill and Bensham is north Ardwick, within Metropolitan Borough of Gateshead",Which city lies north to Ardwick and within Metropolitan Borough of Gateshead?,"A. Lobley Hill and Bensham
B. Adel and Wharfedale
C. Dene",A. Lobley Hill and Bensham,"correct,random,partial"
Lobley Hill and Bensham,west,Whitley Bay,borders,Bridges,"Lobley Hill and Bensham is west Whitley Bay, borders Bridges",Which city lies west to Whitley Bay and borders Bridges?,"A. Fawdon
B. North East Euro Region
C. Lobley Hill and Bensham",C. Lobley Hill and Bensham,"partial,random,correct"
Hayley Green and Cradley South,south,Keighley East,within,West Midlands Euro Region,"Hayley Green and Cradley South is south Keighley East, within West Midlands Euro Region",Which city lies south to Keighley East and within West Midlands Euro Region?,"A. Hulme
B. Adel and Wharfedale
C. Hayley Green and Cradley South",C. Hayley Green and Cradley South,"partial,random,correct"
Hayley Green and Cradley South,west,Northfield,borders,Cradley and Wollescote,"Hayley Green and Cradley South is west Northfield, borders Cradley and Wollescote",Which city lies west to Northfield and borders Cradley and Wollescote?,"A. Cradley and Wollescote
B. Pelsall
C. Hayley Green and Cradley South",C. Hayley Green and Cradley South,"partial,random,correct"
Kippax West Yorkshire,east,Moortown,borders,Airedale and Ferry Fryston,"Kippax West Yorkshire is east Moortown, borders Airedale and Ferry Fryston",Which city lies east to Moortown and borders Airedale and Ferry Fryston?,"A. Kippax West Yorkshire
B. Edenthorpe
C. Kingstone",A. Kippax West Yorkshire,"correct,partial,random"
Finningley,east,Seacombe,within,Metropolitan Borough of Doncaster,"Finningley is east Seacombe, within Metropolitan Borough of Doncaster",Which city lies east to Seacombe and within Metropolitan Borough of Doncaster?,"A. Finningley
B. Croxteth
C. Saltwell",A. Finningley,"correct,partial,random"
Finningley,north,Olton,borders,Wheatley Hills & Intake,"Finningley is north Olton, borders Wheatley Hills & Intake",Which city lies north to Olton and borders Wheatley Hills & Intake?,"A. Armthorpe
B. Hyde Godley
C. Finningley",C. Finningley,"partial,random,correct"
Kingsway,west,Bessacarr,within,Metropolitan Borough of Rochdale,"Kingsway is west Bessacarr, within Metropolitan Borough of Rochdale",Which city lies west to Bessacarr and within Metropolitan Borough of Rochdale?,"A. Moss Bank
B. Kingsway
C. Ryburn",B. Kingsway,"partial,correct,random"
Kingsway,north,Longsight,borders,Milkstone and Deeplish,"Kingsway is north Longsight, borders Milkstone and Deeplish",Which city lies north to Longsight and borders Milkstone and Deeplish?,"A. Kingsway
B. Baguley
C. Smallbridge and Firgrove",A. Kingsway,"correct,random,partial"
Horbury and South Ossett,south,Blaydon,within,Yorkshire and the Humber Euro Region,"Horbury and South Ossett is south Blaydon, within Yorkshire and the Humber Euro Region",Which city lies south to Blaydon and within Yorkshire and the Humber Euro Region?,"A. Horbury and South Ossett
B. Longdendale
C. Childwall",A. Horbury and South Ossett,"correct,random,partial"
Horbury and South Ossett,east,Shevington,borders,Wakefield West,"Horbury and South Ossett is east Shevington, borders Wakefield West",Which city lies east to Shevington and borders Wakefield West?,"A. Halliwell
B. Chirton
C. Horbury and South Ossett",C. Horbury and South Ossett,"partial,random,correct"
Bidston and St. James,west,Ashbrow,within,Metropolitan Borough of Wirral,"Bidston and St. James is west Ashbrow, within Metropolitan Borough of Wirral",Which city lies west to Ashbrow and within Metropolitan Borough of Wirral?,"A. Stockbridge
B. Longsight
C. Bidston and St. James",C. Bidston and St. James,"partial,random,correct"
Bidston and St. James,south,Harton,borders,Leasowe and Moreton East,"Bidston and St. James is south Harton, borders Leasowe and Moreton East",Which city lies south to Harton and borders Leasowe and Moreton East?,"A. Church
B. Bidston and St. James
C. Darnall",B. Bidston and St. James,"partial,correct,random"
Sparkbrook,south,Holme Valley,within,Birmingham,"Sparkbrook is south Holme Valley, within Birmingham",Which city lies south to Holme Valley and within Birmingham?,"A. Preston
B. Sparkbrook
C. Hodge Hill",B. Sparkbrook,"random,correct,partial"
Sparkbrook,west,Upper Stoke,borders,Nechells,"Sparkbrook is west Upper Stoke, borders Nechells",Which city lies west to Upper Stoke and borders Nechells?,"A. Finstall
B. Sudell
C. Sparkbrook",C. Sparkbrook,"partial,random,correct"
Beauchief & Greenhill,south,Eccleshill,within,Sheffield,"Beauchief & Greenhill is south Eccleshill, within Sheffield",Which city lies south to Eccleshill and within Sheffield?,"A. Hale Central
B. Beauchief & Greenhill
C. Failsworth West",B. Beauchief & Greenhill,"partial,correct,random"
Beauchief & Greenhill,east,Flixton,borders,Graves Park,"Beauchief & Greenhill is east Flixton, borders Graves Park",Which city lies east to Flixton and borders Graves Park?,"A. Manor Castle
B. Bramley and Stanningley
C. Beauchief & Greenhill",C. Beauchief & Greenhill,"partial,random,correct"
Walkden North,west,Crookes & Crosspool,within,City of Salford,"Walkden North is west Crookes & Crosspool, within City of Salford",Which city lies west to Crookes & Crosspool and within City of Salford?,"A. Bredbury Green and Romiley
B. Aldridge North and Walsall Wood
C. Walkden North",C. Walkden North,"partial,random,correct"
Walkden North,south,Newburn,borders,Walkden South,"Walkden North is south Newburn, borders Walkden South",Which city lies south to Newburn and borders Walkden South?,"A. Hateley Heath
B. Walkden North
C. Finningley",B. Walkden North,"partial,correct,random"
Brandwood,south,Alexandra,within,Birmingham,"Brandwood is south Alexandra, within Birmingham",Which city lies south to Alexandra and within Birmingham?,"A. Brandwood
B. Ford
C. Longdendale",A. Brandwood,"correct,random,partial"
Brandwood,west,Holbrook,borders,Bournville,"Brandwood is west Holbrook, borders Bournville",Which city lies west to Holbrook and borders Bournville?,"A. City and Hunslet
B. Newton
C. Brandwood",C. Brandwood,"random,partial,correct"
St. Michaels,north,Oldbury,within,Metropolitan Borough of Knowsley,"St. Michaels is north Oldbury, within Metropolitan Borough of Knowsley",Which city lies north to Oldbury and within Metropolitan Borough of Knowsley?,"A. Standish with Langtree
B. St. Michaels
C. Ashton upon Mersey",B. St. Michaels,"partial,correct,random"
St. Michaels,west,Sutton Weaver (civil parish),borders,St. Gabriels,"St. Michaels is west Sutton Weaver (civil parish), borders St. Gabriels",Which city lies west to Sutton Weaver (civil parish) and borders St. Gabriels?,"A. Moreton West and Saughall Massie
B. Metropolitan Borough of Doncaster
C. St. Michaels",C. St. Michaels,"partial,random,correct"
Stepping Hill,north,Ettingshall,within,Metropolitan Borough of Stockport,"Stepping Hill is north Ettingshall, within Metropolitan Borough of Stockport",Which city lies north to Ettingshall and within Metropolitan Borough of Stockport?,"A. South Heaton
B. Stepping Hill
C. Wallsend",B. Stepping Hill,"partial,correct,random"
Stepping Hill,south,Charlestown,borders,Davenport and Cale Green,"Stepping Hill is south Charlestown, borders Davenport and Cale Green",Which city lies south to Charlestown and borders Davenport and Cale Green?,"A. Silksworth
B. Darlaston South
C. Stepping Hill",C. Stepping Hill,"random,partial,correct"
Airedale and Ferry Fryston,south,West Park,within,Yorkshire and the Humber Euro Region,"Airedale and Ferry Fryston is south West Park, within Yorkshire and the Humber Euro Region",Which city lies south to West Park and within Yorkshire and the Humber Euro Region?,"A. Clayton and Fairweather Green
B. Shirley East
C. Airedale and Ferry Fryston",C. Airedale and Ferry Fryston,"partial,random,correct"
Airedale and Ferry Fryston,north,Elmdon,borders,Knottingley,"Airedale and Ferry Fryston is north Elmdon, borders Knottingley",Which city lies north to Elmdon and borders Knottingley?,"A. Clatterbridge
B. Featherstone
C. Airedale and Ferry Fryston",C. Airedale and Ferry Fryston,"random,partial,correct"
Radcliffe East,south,Low Fell,within,Metropolitan Borough of Bury,"Radcliffe East is south Low Fell, within Metropolitan Borough of Bury",Which city lies south to Low Fell and within Metropolitan Borough of Bury?,"A. Radcliffe East
B. St. Alphege
C. Charlemont with Grove Vale",A. Radcliffe East,"correct,random,partial"
Radcliffe East,north,Crumpsall,borders,Radcliffe North,"Radcliffe East is north Crumpsall, borders Radcliffe North",Which city lies north to Crumpsall and borders Radcliffe North?,"A. Metropolitan Borough of Sefton
B. Todmorden
C. Radcliffe East",C. Radcliffe East,"random,partial,correct"
Kenton,north,Shirley East,within,North East Euro Region,"Kenton is north Shirley East, within North East Euro Region",Which city lies north to Shirley East and within North East Euro Region?,"A. Ford
B. Kenton
C. Audenshaw",B. Kenton,"partial,correct,random"
Kenton,west,Whiteleas,borders,Fawdon,"Kenton is west Whiteleas, borders Fawdon",Which city lies west to Whiteleas and borders Fawdon?,"A. Wingrove
B. Kenton
C. Old Town",B. Kenton,"partial,correct,random"
Handsworth Wood,south,Spotland and Falinge,within,Birmingham,"Handsworth Wood is south Spotland and Falinge, within Birmingham",Which city lies south to Spotland and Falinge and within Birmingham?,"A. Handsworth Wood
B. Pheasey Park Farm
C. Rainford",A. Handsworth Wood,"correct,partial,random"
Handsworth Wood,east,Lye and Stourbridge North,borders,Lozells and East Handsworth,"Handsworth Wood is east Lye and Stourbridge North, borders Lozells and East Handsworth",Which city lies east to Lye and Stourbridge North and borders Lozells and East Handsworth?,"A. Kingstanding
B. Stairfoot
C. Handsworth Wood",C. Handsworth Wood,"partial,random,correct"
Pensby and Thingwall,west,Failsworth West,within,Metropolitan Borough of Wirral,"Pensby and Thingwall is west Failsworth West, within Metropolitan Borough of Wirral",Which city lies west to Failsworth West and within Metropolitan Borough of Wirral?,"A. Batley East
B. Upton
C. Pensby and Thingwall",C. Pensby and Thingwall,"random,partial,correct"
Pensby and Thingwall,north,Wednesbury South,borders,Upton,"Pensby and Thingwall is north Wednesbury South, borders Upton",Which city lies north to Wednesbury South and borders Upton?,"A. Bold St Helens
B. Cullercoats
C. Pensby and Thingwall",C. Pensby and Thingwall,"partial,random,correct"
South Jesmond,west,Millfield,within,Newcastle upon Tyne,"South Jesmond is west Millfield, within Newcastle upon Tyne",Which city lies west to Millfield and within Newcastle upon Tyne?,"A. Byker
B. South Jesmond
C. Batley West",B. South Jesmond,"partial,correct,random"
South Jesmond,north,Stalybridge South,borders,Wingrove,"South Jesmond is north Stalybridge South, borders Wingrove",Which city lies north to Stalybridge South and borders Wingrove?,"A. Castle and Priory
B. South Jesmond
C. Birstall and Birkenshaw",B. South Jesmond,"random,correct,partial"
Broadheath,south,Birtley,within,North West Euro Region,"Broadheath is south Birtley, within North West Euro Region",Which city lies south to Birtley and within North West Euro Region?,"A. Wetherby
B. Broadheath
C. Todmorden",B. Broadheath,"partial,correct,random"
Broadheath,west,Weetwood,borders,Altrincham,"Broadheath is west Weetwood, borders Altrincham",Which city lies west to Weetwood and borders Altrincham?,"A. Broadheath
B. Norwood
C. Irlam",A. Broadheath,"correct,random,partial"
Gorton North,south,Lemington,within,North West Euro Region,"Gorton North is south Lemington, within North West Euro Region",Which city lies south to Lemington and within North West Euro Region?,"A. Gorton North
B. Central Rochdale
C. Bartley Green",A. Gorton North,"correct,random,partial"
Gorton North,north,Castle and Priory,borders,Gorton South,"Gorton North is north Castle and Priory, borders Gorton South",Which city lies north to Castle and Priory and borders Gorton South?,"A. Rossington
B. South Tyneside
C. Gorton North",C. Gorton North,"partial,random,correct"
Ashton,west,Marple North,within,North West Euro Region,"Ashton is west Marple North, within North West Euro Region",Which city lies west to Marple North and within North West Euro Region?,"A. Ashton
B. Allerton and Hunts Cross
C. Norton & Askern",A. Ashton,"correct,partial,random"
Ashton,north,Wainbody,borders,Golborne and Lowton West,"Ashton is north Wainbody, borders Golborne and Lowton West",Which city lies north to Wainbody and borders Golborne and Lowton West?,"A. Ashton
B. Dinnington St. John's
C. Riverside",A. Ashton,"correct,partial,random"
Brighouse,north,Springfield,within,Calderdale,"Brighouse is north Springfield, within Calderdale",Which city lies north to Springfield and within Calderdale?,"A. Wickersley
B. Brighouse
C. Beighton",B. Brighouse,"partial,correct,random"
Brighouse,east,West Derby,borders,Dalton,"Brighouse is east West Derby, borders Dalton",Which city lies east to West Derby and borders Dalton?,"A. Brighouse
B. Radcliffe West
C. Greasby Frankby and Irby",A. Brighouse,"correct,partial,random"
Yew Tree,west,Chorlton,within,Liverpool,"Yew Tree is west Chorlton, within Liverpool",Which city lies west to Chorlton and within Liverpool?,"A. Molyneux
B. Yew Tree
C. Brandwood",B. Yew Tree,"partial,correct,random"
Yew Tree,north,Springfield,borders,Page Moss,"Yew Tree is north Springfield, borders Page Moss",Which city lies north to Springfield and borders Page Moss?,"A. Holme Valley North
B. Yew Tree
C. Todmorden",B. Yew Tree,"partial,correct,random"
North Heaton,north,Leigh West,within,Newcastle upon Tyne,"North Heaton is north Leigh West, within Newcastle upon Tyne",Which city lies north to Leigh West and within Newcastle upon Tyne?,"A. North Heaton
B. Washington Central
C. Davenport and Cale Green",A. North Heaton,"correct,partial,random"
North Heaton,east,Benwell and Scotswood,borders,South Jesmond,"North Heaton is east Benwell and Scotswood, borders South Jesmond",Which city lies east to Benwell and Scotswood and borders South Jesmond?,"A. Silksworth
B. North Heaton
C. Wednesbury North",B. North Heaton,"partial,correct,random"
