place1,top,place2_Y,dis,place2_Z,triplet,question,options,answer,option_sources
South Middleton,within,Metropolitan Borough of Rochdale,far,Weetslade,"South Middleton is within Metropolitan Borough of Rochdale, far Weetslade",Which city is within Metropolitan Borough of Rochdale and also far to Weetslade?,"A. Guiseley and Rawdon
B. Wheatley Hills & Intake
C. South Middleton",C. South Middleton,"partial,random,correct"
South Middleton,borders,Charlestown,near,Werneth,"South Middleton is borders Charlestown, near Werneth",Which city borders Charlestown and is also near to Werneth?,"A. Friar Park
B. Ashton Waterloo
C. South Middleton",C. South Middleton,"random,partial,correct"
South Middleton,borders,Charlestown,close,St. Mary's,"South Middleton is borders Charlestown, close St. Mary's",Which city borders Charlestown and is also close to St. Mary's?,"A. Pudsey
B. Leigh South
C. South Middleton",C. South Middleton,"random,partial,correct"
Bowling and Barkerend,within,City of Bradford,distant,Rockingham,"Bowling and Barkerend is within City of Bradford, distant Rockingham",Which city is within City of Bradford and also distant to Rockingham?,"A. Eccleshill
B. Balderstone and Kirkholt
C. Bowling and Barkerend",C. Bowling and Barkerend,"partial,random,correct"
Bowling and Barkerend,within,City of Bradford,far,Childwall,"Bowling and Barkerend is within City of Bradford, far Childwall",Which city is within City of Bradford and also far to Childwall?,"A. Shirley East
B. Bowling and Barkerend
C. Bede",B. Bowling and Barkerend,"random,correct,partial"
Bowling and Barkerend,borders,Tong,near,Wyke,"Bowling and Barkerend is borders Tong, near Wyke",Which city borders Tong and is also near to Wyke?,"A. Elland
B. Blakenall
C. Bowling and Barkerend",C. Bowling and Barkerend,"partial,random,correct"
Bowling and Barkerend,borders,Tong,close,Liversedge and Gomersal,"Bowling and Barkerend is borders Tong, close Liversedge and Gomersal",Which city borders Tong and is also close to Liversedge and Gomersal?,"A. Bowling and Barkerend
B. Wibsey
C. Upton",A. Bowling and Barkerend,"correct,partial,random"
Ecclesall,within,Yorkshire and the Humber Euro Region,distant,Hemsworth,"Ecclesall is within Yorkshire and the Humber Euro Region, distant Hemsworth",Which city is within Yorkshire and the Humber Euro Region and also distant to Hemsworth?,"A. Woodlands
B. Ecclesall
C. Ardsley and Robin Hood",B. Ecclesall,"random,correct,partial"
Ecclesall,within,Yorkshire and the Humber Euro Region,far,Streetly,"Ecclesall is within Yorkshire and the Humber Euro Region, far Streetly",Which city is within Yorkshire and the Humber Euro Region and also far to Streetly?,"A. Ecclesall
B. South Elmsall and South Kirkby
C. Foleshill",A. Ecclesall,"correct,partial,random"
Ecclesall,borders,Fulwood,near,Hillsborough,"Ecclesall is borders Fulwood, near Hillsborough",Which city borders Fulwood and is also near to Hillsborough?,"A. Graves Park
B. Ecclesall
C. Shipley",B. Ecclesall,"partial,correct,random"
Ecclesall,borders,Fulwood,close,Rother Vale,"Ecclesall is borders Fulwood, close Rother Vale",Which city borders Fulwood and is also close to Rother Vale?,"A. Shiregreen & Brightside
B. Darton West
C. Ecclesall",C. Ecclesall,"random,partial,correct"
Denton,within,North East Euro Region,distant,Horsley Hill,"Denton is within North East Euro Region, distant Horsley Hill",Which city is within North East Euro Region and also distant to Horsley Hill?,"A. Monkseaton South
B. Radcliffe West
C. Denton",C. Denton,"partial,random,correct"
Denton,within,North East Euro Region,far,West Bromwich Central,"Denton is within North East Euro Region, far West Bromwich Central",Which city is within North East Euro Region and also far to West Bromwich Central?,"A. Silverwood
B. Denton
C. Gleadless Valley",B. Denton,"random,correct,partial"
Denton,borders,Newburn,near,Elswick,"Denton is borders Newburn, near Elswick",Which city borders Newburn and is also near to Elswick?,"A. Stalybridge North
B. Bridges
C. Denton",C. Denton,"random,partial,correct"
Denton,borders,Newburn,close,Northumberland,"Denton is borders Newburn, close Northumberland",Which city borders Newburn and is also close to Northumberland?,"A. Worsbrough
B. Cleadon and East Boldon
C. Denton",C. Denton,"random,partial,correct"
Tong,within,Yorkshire and the Humber Euro Region,distant,Urmston,"Tong is within Yorkshire and the Humber Euro Region, distant Urmston",Which city is within Yorkshire and the Humber Euro Region and also distant to Urmston?,"A. Dearne North
B. Streetly
C. Tong",C. Tong,"partial,random,correct"
Tong,within,Yorkshire and the Humber Euro Region,far,Willenhall North,"Tong is within Yorkshire and the Humber Euro Region, far Willenhall North",Which city is within Yorkshire and the Humber Euro Region and also far to Willenhall North?,"A. Tong
B. Dene
C. Hulme",A. Tong,"correct,random,partial"
Tong,borders,Bowling and Barkerend,near,Wibsey,"Tong is borders Bowling and Barkerend, near Wibsey",Which city borders Bowling and Barkerend and is also near to Wibsey?,"A. City
B. Bartley Green
C. Tong",C. Tong,"partial,random,correct"
Tong,borders,Bowling and Barkerend,close,Worth Valley,"Tong is borders Bowling and Barkerend, close Worth Valley",Which city borders Bowling and Barkerend and is also close to Worth Valley?,"A. Church
B. Greenhead
C. Tong",C. Tong,"random,partial,correct"
Swinton,within,Yorkshire and the Humber Euro Region,distant,Kirkburton,"Swinton is within Yorkshire and the Humber Euro Region, distant Kirkburton",Which city is within Yorkshire and the Humber Euro Region and also distant to Kirkburton?,"A. Swinton
B. Little Horton
C. Earlsdon",A. Swinton,"correct,partial,random"
Swinton,within,Yorkshire and the Humber Euro Region,far,West Derby,"Swinton is within Yorkshire and the Humber Euro Region, far West Derby",Which city is within Yorkshire and the Humber Euro Region and also far to West Derby?,"A. Longsight
B. Smallbridge and Firgrove
C. Swinton",C. Swinton,"random,partial,correct"
Swinton,borders,Mexborough,near,Wingfield,"Swinton is borders Mexborough, near Wingfield",Which city borders Mexborough and is also near to Wingfield?,"A. Wath
B. Hebburn South
C. Swinton",C. Swinton,"partial,random,correct"
Swinton,borders,Mexborough,close,Wombwell,"Swinton is borders Mexborough, close Wombwell",Which city borders Mexborough and is also close to Wombwell?,"A. Darnall
B. Swinton
C. Shiregreen & Brightside",B. Swinton,"random,correct,partial"
Abbey,within,West Midlands Euro Region,distant,Sherbourne Warwickshire,"Abbey is within West Midlands Euro Region, distant Sherbourne Warwickshire",Which city is within West Midlands Euro Region and also distant to Sherbourne Warwickshire?,"A. Newton
B. Bloxwich East
C. Abbey",C. Abbey,"random,partial,correct"
Abbey,within,West Midlands Euro Region,far,Ilkley,"Abbey is within West Midlands Euro Region, far Ilkley",Which city is within West Midlands Euro Region and also far to Ilkley?,"A. Middleton Park
B. Benwell and Scotswood
C. Abbey",C. Abbey,"random,partial,correct"
Abbey,borders,Finstall,near,Soho,"Abbey is borders Finstall, near Soho",Which city borders Finstall and is also near to Soho?,"A. Walker
B. Langley
C. Abbey",C. Abbey,"random,partial,correct"
Abbey,borders,Finstall,close,Wednesbury North,"Abbey is borders Finstall, close Wednesbury North",Which city borders Finstall and is also close to Wednesbury North?,"A. Heath Town
B. Hillsborough
C. Abbey",C. Abbey,"partial,random,correct"
Walker,borders,Pelaw and Heworth,near,Wardley and Leam Lane,"Walker is borders Pelaw and Heworth, near Wardley and Leam Lane",Which city borders Pelaw and Heworth and is also near to Wardley and Leam Lane?,"A. Byker
B. Golcar
C. Walker",C. Walker,"partial,random,correct"
Walker,borders,Pelaw and Heworth,close,Whickham South and Sunniside,"Walker is borders Pelaw and Heworth, close Whickham South and Sunniside",Which city borders Pelaw and Heworth and is also close to Whickham South and Sunniside?,"A. Longford
B. Castle
C. Walker",C. Walker,"random,partial,correct"
Croxteth,within,North West Euro Region,distant,Astley Village,"Croxteth is within North West Euro Region, distant Astley Village",Which city is within North West Euro Region and also distant to Astley Village?,"A. Broughton
B. Shaw
C. Croxteth",C. Croxteth,"partial,random,correct"
Croxteth,within,North West Euro Region,far,Washington North,"Croxteth is within North West Euro Region, far Washington North",Which city is within North West Euro Region and also far to Washington North?,"A. Dukinfield Stalybridge
B. Airedale and Ferry Fryston
C. Croxteth",C. Croxteth,"random,partial,correct"
Croxteth,borders,Prescot,near,Wavertree,"Croxteth is borders Prescot, near Wavertree",Which city borders Prescot and is also near to Wavertree?,"A. Croxteth
B. Belle Vale
C. Dewsbury West",A. Croxteth,"correct,partial,random"
Croxteth,borders,Prescot,close,Eastham,"Croxteth is borders Prescot, close Eastham",Which city borders Prescot and is also close to Eastham?,"A. Croxteth
B. St. Michaels
C. Altrincham",A. Croxteth,"correct,partial,random"
Southwick,within,City of Sunderland,distant,Whickham North,"Southwick is within City of Sunderland, distant Whickham North",Which city is within City of Sunderland and also distant to Whickham North?,"A. Southwick
B. Edgeley and Cheadle Heath
C. Copt Hill",A. Southwick,"correct,random,partial"
Southwick,within,City of Sunderland,far,Stockland Green,"Southwick is within City of Sunderland, far Stockland Green",Which city is within City of Sunderland and also far to Stockland Green?,"A. Bramhall South and Woodford
B. Ryhope
C. Southwick",C. Southwick,"partial,random,correct"
Southwick,borders,Fulwell,near,Washington North,"Southwick is borders Fulwell, near Washington North",Which city borders Fulwell and is also near to Washington North?,"A. Balderstone and Kirkholt
B. Southwick
C. Pallion",B. Southwick,"random,correct,partial"
Southwick,borders,Fulwell,close,Lamesley,"Southwick is borders Fulwell, close Lamesley",Which city borders Fulwell and is also close to Lamesley?,"A. Millfield
B. Southwick
C. Nether Edge & Sharrow",B. Southwick,"partial,correct,random"
Dorridge and Hockley Heath,within,Metropolitan Borough of Solihull,distant,St. Peter's,"Dorridge and Hockley Heath is within Metropolitan Borough of Solihull, distant St. Peter's",Which city is within Metropolitan Borough of Solihull and also distant to St. Peter's?,"A. Garforth and Swillington
B. Dorridge and Hockley Heath
C. Bloxwich East",B. Dorridge and Hockley Heath,"partial,correct,random"
Dorridge and Hockley Heath,within,Metropolitan Borough of Solihull,far,Fawdon,"Dorridge and Hockley Heath is within Metropolitan Borough of Solihull, far Fawdon",Which city is within Metropolitan Borough of Solihull and also far to Fawdon?,"A. Didsbury East
B. Bentley and Darlaston North
C. Dorridge and Hockley Heath",C. Dorridge and Hockley Heath,"random,partial,correct"
Dorridge and Hockley Heath,borders,Knowle,near,Shirley East,"Dorridge and Hockley Heath is borders Knowle, near Shirley East",Which city borders Knowle and is also near to Shirley East?,"A. Dorridge and Hockley Heath
B. Amblecote
C. Olton",A. Dorridge and Hockley Heath,"correct,random,partial"
Dorridge and Hockley Heath,borders,Knowle,close,Springfield,"Dorridge and Hockley Heath is borders Knowle, close Springfield",Which city borders Knowle and is also close to Springfield?,"A. Bartley Green
B. Dorridge and Hockley Heath
C. Riverside",B. Dorridge and Hockley Heath,"partial,correct,random"
Droylsden West,within,North West Euro Region,distant,Richmond,"Droylsden West is within North West Euro Region, distant Richmond",Which city is within North West Euro Region and also distant to Richmond?,"A. Whoberley
B. Astley Mosley Common
C. Droylsden West",C. Droylsden West,"random,partial,correct"
Droylsden West,within,North West Euro Region,far,Wheatley Hills & Intake,"Droylsden West is within North West Euro Region, far Wheatley Hills & Intake",Which city is within North West Euro Region and also far to Wheatley Hills & Intake?,"A. Soho
B. Droylsden West
C. Droylsden East",B. Droylsden West,"random,correct,partial"
Droylsden West,borders,Droylsden East,near,Longsight,"Droylsden West is borders Droylsden East, near Longsight",Which city borders Droylsden East and is also near to Longsight?,"A. Droylsden West
B. Clifford
C. Kingswinford South",A. Droylsden West,"correct,partial,random"
Droylsden West,borders,Droylsden East,close,Hazel Grove,"Droylsden West is borders Droylsden East, close Hazel Grove",Which city borders Droylsden East and is also close to Hazel Grove?,"A. Maltby South Yorkshire
B. Droylsden West
C. Broadheath",B. Droylsden West,"random,correct,partial"
Whiteleas,within,South Tyneside,distant,Winlaton and High Spen,"Whiteleas is within South Tyneside, distant Winlaton and High Spen",Which city is within South Tyneside and also distant to Winlaton and High Spen?,"A. Simonside and Rekendyke
B. Whiteleas
C. Horsley Hill",B. Whiteleas,"random,correct,partial"
Whiteleas,within,South Tyneside,far,Denby Dale,"Whiteleas is within South Tyneside, far Denby Dale",Which city is within South Tyneside and also far to Denby Dale?,"A. Pelsall
B. Idle and Thackley
C. Whiteleas",C. Whiteleas,"partial,random,correct"
Whiteleas,borders,Cleadon Park,near,Castle Eden,"Whiteleas is borders Cleadon Park, near Castle Eden",Which city borders Cleadon Park and is also near to Castle Eden?,"A. Silksworth
B. Monkton
C. Whiteleas",C. Whiteleas,"random,partial,correct"
Whiteleas,borders,Cleadon Park,close,Wingrove,"Whiteleas is borders Cleadon Park, close Wingrove",Which city borders Cleadon Park and is also close to Wingrove?,"A. Redhill
B. Whiteleas
C. Rainford",B. Whiteleas,"partial,correct,random"
Aldridge North and Walsall Wood,within,West Midlands Euro Region,distant,Cheylesmore,"Aldridge North and Walsall Wood is within West Midlands Euro Region, distant Cheylesmore",Which city is within West Midlands Euro Region and also distant to Cheylesmore?,"A. Springfield
B. Aldridge North and Walsall Wood
C. East Park",B. Aldridge North and Walsall Wood,"partial,correct,random"
Aldridge North and Walsall Wood,within,West Midlands Euro Region,far,Warley,"Aldridge North and Walsall Wood is within West Midlands Euro Region, far Warley",Which city is within West Midlands Euro Region and also far to Warley?,"A. Derby
B. Tynemouth
C. Aldridge North and Walsall Wood",C. Aldridge North and Walsall Wood,"partial,random,correct"
Aldridge North and Walsall Wood,borders,Pelsall,near,Streetly,"Aldridge North and Walsall Wood is borders Pelsall, near Streetly",Which city borders Pelsall and is also near to Streetly?,"A. Aldridge North and Walsall Wood
B. Brownhills
C. Norton & Askern",A. Aldridge North and Walsall Wood,"correct,partial,random"
Aldridge North and Walsall Wood,borders,Pelsall,close,St. Peter's,"Aldridge North and Walsall Wood is borders Pelsall, close St. Peter's",Which city borders Pelsall and is also close to St. Peter's?,"A. Aldridge North and Walsall Wood
B. Kensington and Fairfield
C. Paddock",A. Aldridge North and Walsall Wood,"correct,random,partial"
Pedmore and Stourbridge East,within,West Midlands Euro Region,distant,Shirley West,"Pedmore and Stourbridge East is within West Midlands Euro Region, distant Shirley West",Which city is within West Midlands Euro Region and also distant to Shirley West?,"A. Pedmore and Stourbridge East
B. Bushbury North
C. Penn",A. Pedmore and Stourbridge East,"correct,random,partial"
Pedmore and Stourbridge East,within,West Midlands Euro Region,far,Ilkley,"Pedmore and Stourbridge East is within West Midlands Euro Region, far Ilkley",Which city is within West Midlands Euro Region and also far to Ilkley?,"A. Cherryfield
B. Pedmore and Stourbridge East
C. Wrenthorpe and Outwood West",B. Pedmore and Stourbridge East,"partial,correct,random"
Pedmore and Stourbridge East,borders,Cradley and Wollescote,near,Quarry Bank and Dudley Wood,"Pedmore and Stourbridge East is borders Cradley and Wollescote, near Quarry Bank and Dudley Wood",Which city borders Cradley and Wollescote and is also near to Quarry Bank and Dudley Wood?,"A. Bold St Helens
B. Blackheath
C. Pedmore and Stourbridge East",C. Pedmore and Stourbridge East,"random,partial,correct"
Pedmore and Stourbridge East,borders,Cradley and Wollescote,close,Tettenhall Wightwick,"Pedmore and Stourbridge East is borders Cradley and Wollescote, close Tettenhall Wightwick",Which city borders Cradley and Wollescote and is also close to Tettenhall Wightwick?,"A. Langley
B. Birtley
C. Pedmore and Stourbridge East",C. Pedmore and Stourbridge East,"partial,random,correct"
Stalybridge South,within,Tameside,distant,Alwoodley,"Stalybridge South is within Tameside, distant Alwoodley",Which city is within Tameside and also distant to Alwoodley?,"A. Cheetham
B. Stalybridge South
C. Hoyland Milton",B. Stalybridge South,"random,correct,partial"
Stalybridge South,within,Tameside,far,Whitefield,"Stalybridge South is within Tameside, far Whitefield",Which city is within Tameside and also far to Whitefield?,"A. Soho
B. Wakefield North
C. Stalybridge South",C. Stalybridge South,"random,partial,correct"
Stalybridge South,borders,Dukinfield Stalybridge,near,Mossley,"Stalybridge South is borders Dukinfield Stalybridge, near Mossley",Which city borders Dukinfield Stalybridge and is also near to Mossley?,"A. Stalybridge South
B. Castle Bromwich
C. Dukinfield",A. Stalybridge South,"correct,random,partial"
Stalybridge South,borders,Dukinfield Stalybridge,close,Stocksbridge & Upper Don,"Stalybridge South is borders Dukinfield Stalybridge, close Stocksbridge & Upper Don",Which city borders Dukinfield Stalybridge and is also close to Stocksbridge & Upper Don?,"A. Ardwick
B. Stalybridge South
C. Old Town",B. Stalybridge South,"random,correct,partial"
Kirkdale,within,North West Euro Region,distant,Rumworth,"Kirkdale is within North West Euro Region, distant Rumworth",Which city is within North West Euro Region and also distant to Rumworth?,"A. Wyken
B. Brinnington and Central
C. Kirkdale",C. Kirkdale,"random,partial,correct"
Kirkdale,within,North West Euro Region,far,Wardley and Leam Lane,"Kirkdale is within North West Euro Region, far Wardley and Leam Lane",Which city is within North West Euro Region and also far to Wardley and Leam Lane?,"A. Kirkdale
B. Liversedge and Gomersal
C. St. Peter's",A. Kirkdale,"correct,partial,random"
Kirkdale,borders,Anfield,near,Prenton,"Kirkdale is borders Anfield, near Prenton",Which city borders Anfield and is also near to Prenton?,"A. Kirkdale
B. Primrose
C. Greasby Frankby and Irby",A. Kirkdale,"correct,random,partial"
Kirkdale,borders,Anfield,close,Knotty Ash,"Kirkdale is borders Anfield, close Knotty Ash",Which city borders Anfield and is also close to Knotty Ash?,"A. Wombwell
B. Kirkdale
C. Bebington",B. Kirkdale,"random,correct,partial"
Guiseley and Rawdon,within,Yorkshire and the Humber Euro Region,distant,Thorne & Moorends,"Guiseley and Rawdon is within Yorkshire and the Humber Euro Region, distant Thorne & Moorends",Which city is within Yorkshire and the Humber Euro Region and also distant to Thorne & Moorends?,"A. Guiseley and Rawdon
B. Newsome
C. Town",A. Guiseley and Rawdon,"correct,random,partial"
Guiseley and Rawdon,within,Yorkshire and the Humber Euro Region,far,Whitley Bay,"Guiseley and Rawdon is within Yorkshire and the Humber Euro Region, far Whitley Bay",Which city is within Yorkshire and the Humber Euro Region and also far to Whitley Bay?,"A. Guiseley and Rawdon
B. Cheetham
C. St. Peter's",A. Guiseley and Rawdon,"correct,random,partial"
Guiseley and Rawdon,borders,Wharfedale,near,Baildon,"Guiseley and Rawdon is borders Wharfedale, near Baildon",Which city borders Wharfedale and is also near to Baildon?,"A. Silverwood
B. Shipley
C. Guiseley and Rawdon",C. Guiseley and Rawdon,"random,partial,correct"
Guiseley and Rawdon,borders,Wharfedale,close,Ossett,"Guiseley and Rawdon is borders Wharfedale, close Ossett",Which city borders Wharfedale and is also close to Ossett?,"A. Newsome
B. Guiseley and Rawdon
C. Valley",B. Guiseley and Rawdon,"partial,correct,random"
Manor Castle,within,Sheffield,distant,Worth Valley,"Manor Castle is within Sheffield, distant Worth Valley",Which city is within Sheffield and also distant to Worth Valley?,"A. Bamford
B. Manor Castle
C. Atherleigh",B. Manor Castle,"random,correct,partial"
Manor Castle,within,Sheffield,far,St. Michael's,"Manor Castle is within Sheffield, far St. Michael's",Which city is within Sheffield and also far to St. Michael's?,"A. Ashbrow
B. Cradley and Wollescote
C. Manor Castle",C. Manor Castle,"partial,random,correct"
Manor Castle,borders,City,near,Rotherham West,"Manor Castle is borders City, near Rotherham West",Which city borders City and is also near to Rotherham West?,"A. Manor Castle
B. Cheetham
C. Bowling and Barkerend",A. Manor Castle,"correct,random,partial"
Manor Castle,borders,City,close,Conisbrough Parks,"Manor Castle is borders City, close Conisbrough Parks",Which city borders City and is also close to Conisbrough Parks?,"A. Penistone
B. Manor Castle
C. Beauchief & Greenhill",B. Manor Castle,"random,correct,partial"
Southey,within,Yorkshire and the Humber Euro Region,distant,Harewood,"Southey is within Yorkshire and the Humber Euro Region, distant Harewood",Which city is within Yorkshire and the Humber Euro Region and also distant to Harewood?,"A. Northfield
B. West Middleton
C. Southey",C. Southey,"random,partial,correct"
Southey,within,Yorkshire and the Humber Euro Region,far,Swanside,"Southey is within Yorkshire and the Humber Euro Region, far Swanside",Which city is within Yorkshire and the Humber Euro Region and also far to Swanside?,"A. Southey
B. Northowram and Shelf
C. Adel and Wharfedale",A. Southey,"correct,partial,random"
Southey,borders,Stocksbridge & Upper Don,near,Stocksbridge & Upper Don,"Southey is borders Stocksbridge & Upper Don, near Stocksbridge & Upper Don",Which city borders Stocksbridge & Upper Don and is also near to Stocksbridge & Upper Don?,"A. Moss Side
B. Southey
C. East Ecclesfield",B. Southey,"random,correct,partial"
Southey,borders,Stocksbridge & Upper Don,close,Wickersley,"Southey is borders Stocksbridge & Upper Don, close Wickersley",Which city borders Stocksbridge & Upper Don and is also close to Wickersley?,"A. Armthorpe
B. Southey
C. Hindley Green",B. Southey,"partial,correct,random"
Pemberton,within,Metropolitan Borough of Wigan,distant,Redvales,"Pemberton is within Metropolitan Borough of Wigan, distant Redvales",Which city is within Metropolitan Borough of Wigan and also distant to Redvales?,"A. Winstanley
B. Pemberton
C. Chadderton Central",B. Pemberton,"partial,correct,random"
Pemberton,within,Metropolitan Borough of Wigan,far,Tyburn,"Pemberton is within Metropolitan Borough of Wigan, far Tyburn",Which city is within Metropolitan Borough of Wigan and also far to Tyburn?,"A. Silksworth
B. Church
C. Pemberton",C. Pemberton,"random,partial,correct"
Pemberton,borders,Orrell,near,Bryn,"Pemberton is borders Orrell, near Bryn",Which city borders Orrell and is also near to Bryn?,"A. Blackrod
B. Pemberton
C. Bentley",B. Pemberton,"partial,correct,random"
Pemberton,borders,Orrell,close,Stockbridge,"Pemberton is borders Orrell, close Stockbridge",Which city borders Orrell and is also close to Stockbridge?,"A. Wingfield
B. Pemberton
C. Linacre",B. Pemberton,"random,correct,partial"
Failsworth West,within,Metropolitan Borough of Oldham,distant,Penistone,"Failsworth West is within Metropolitan Borough of Oldham, distant Penistone",Which city is within Metropolitan Borough of Oldham and also distant to Penistone?,"A. Baildon
B. Failsworth West
C. Metropolitan Borough of Rotherham",B. Failsworth West,"partial,correct,random"
Failsworth West,within,Metropolitan Borough of Oldham,far,St. Anne's,"Failsworth West is within Metropolitan Borough of Oldham, far St. Anne's",Which city is within Metropolitan Borough of Oldham and also far to St. Anne's?,"A. Failsworth West
B. Cudworth
C. Bingley",A. Failsworth West,"correct,random,partial"
Failsworth West,borders,Moston,near,Miles Platting and Newton Heath,"Failsworth West is borders Moston, near Miles Platting and Newton Heath",Which city borders Moston and is also near to Miles Platting and Newton Heath?,"A. Failsworth West
B. Medlock Vale
C. Bentley and Darlaston North",A. Failsworth West,"correct,partial,random"
Failsworth West,borders,Moston,close,Longdendale,"Failsworth West is borders Moston, close Longdendale",Which city borders Moston and is also close to Longdendale?,"A. Failsworth West
B. Keighley
C. Brooklands",A. Failsworth West,"correct,random,partial"
Wordsley,within,Metropolitan Borough of Dudley,distant,Chelmsley Wood,"Wordsley is within Metropolitan Borough of Dudley, distant Chelmsley Wood",Which city is within Metropolitan Borough of Dudley and also distant to Chelmsley Wood?,"A. Wordsley
B. Horsley Hill
C. Castle and Priory",A. Wordsley,"correct,random,partial"
Wordsley,within,Metropolitan Borough of Dudley,far,Penistone,"Wordsley is within Metropolitan Borough of Dudley, far Penistone",Which city is within Metropolitan Borough of Dudley and also far to Penistone?,"A. Wordsley
B. Princes Park
C. Dewsbury East",A. Wordsley,"correct,partial,random"
Castleford Central and Glasshoughton,within,Yorkshire and the Humber Euro Region,distant,Colne Valley,"Castleford Central and Glasshoughton is within Yorkshire and the Humber Euro Region, distant Colne Valley",Which city is within Yorkshire and the Humber Euro Region and also distant to Colne Valley?,"A. Castleford Central and Glasshoughton
B. Yew Tree
C. Rotherham East",A. Castleford Central and Glasshoughton,"correct,random,partial"
Castleford Central and Glasshoughton,within,Yorkshire and the Humber Euro Region,far,Linacre,"Castleford Central and Glasshoughton is within Yorkshire and the Humber Euro Region, far Linacre",Which city is within Yorkshire and the Humber Euro Region and also far to Linacre?,"A. Washington Central
B. Castleford Central and Glasshoughton
C. Dukinfield Stalybridge",B. Castleford Central and Glasshoughton,"random,correct,partial"
Castleford Central and Glasshoughton,borders,Pontefract North,near,Knottingley,"Castleford Central and Glasshoughton is borders Pontefract North, near Knottingley",Which city borders Pontefract North and is also near to Knottingley?,"A. Ackworth North Elmsall and Upton
B. Blythe
C. Castleford Central and Glasshoughton",C. Castleford Central and Glasshoughton,"partial,random,correct"
Castleford Central and Glasshoughton,borders,Pontefract North,close,Old Town,"Castleford Central and Glasshoughton is borders Pontefract North, close Old Town",Which city borders Pontefract North and is also close to Old Town?,"A. Hillsborough
B. Beeston and Holbeck
C. Castleford Central and Glasshoughton",C. Castleford Central and Glasshoughton,"random,partial,correct"
Bradford,within,North West Euro Region,distant,Rastrick,"Bradford is within North West Euro Region, distant Rastrick",Which city is within North West Euro Region and also distant to Rastrick?,"A. Bradford
B. Spotland and Falinge
C. Kingsway",A. Bradford,"correct,random,partial"
Bradford,within,North West Euro Region,far,Coseley East,"Bradford is within North West Euro Region, far Coseley East",Which city is within North West Euro Region and also far to Coseley East?,"A. Moorside
B. Bradford
C. Village",B. Bradford,"partial,correct,random"
Bradford,borders,Droylsden East,near,Failsworth West,"Bradford is borders Droylsden East, near Failsworth West",Which city borders Droylsden East and is also near to Failsworth West?,"A. Bradford
B. Droylsden East
C. Great Horton",A. Bradford,"correct,partial,random"
Bradford,borders,Droylsden East,close,Brooklands,"Bradford is borders Droylsden East, close Brooklands",Which city borders Droylsden East and is also close to Brooklands?,"A. Bradford
B. Royton South
C. Bredbury and Woodley",A. Bradford,"correct,random,partial"
Ravenmeols,within,Metropolitan Borough of Sefton,distant,Westhoughton,"Ravenmeols is within Metropolitan Borough of Sefton, distant Westhoughton",Which city is within Metropolitan Borough of Sefton and also distant to Westhoughton?,"A. Stepping Hill
B. Douglas
C. Ravenmeols",C. Ravenmeols,"partial,random,correct"
Ravenmeols,within,Metropolitan Borough of Sefton,far,Tyburn,"Ravenmeols is within Metropolitan Borough of Sefton, far Tyburn",Which city is within Metropolitan Borough of Sefton and also far to Tyburn?,"A. Ravenmeols
B. Atherleigh
C. Spring Vale",A. Ravenmeols,"correct,partial,random"
Ravenmeols,borders,Manor,near,Sudell,"Ravenmeols is borders Manor, near Sudell",Which city borders Manor and is also near to Sudell?,"A. Longdendale
B. Blundellsands
C. Ravenmeols",C. Ravenmeols,"random,partial,correct"
Ravenmeols,borders,Manor,close,Rainford,"Ravenmeols is borders Manor, close Rainford",Which city borders Manor and is also close to Rainford?,"A. Bebington
B. Eccleston St Helens
C. Ravenmeols",C. Ravenmeols,"partial,random,correct"
Leigh West,within,Metropolitan Borough of Wigan,distant,Molyneux,"Leigh West is within Metropolitan Borough of Wigan, distant Molyneux",Which city is within Metropolitan Borough of Wigan and also distant to Molyneux?,"A. Leigh West
B. Crumpsall
C. Bilston North",A. Leigh West,"correct,partial,random"
Leigh West,within,Metropolitan Borough of Wigan,far,Woolsington,"Leigh West is within Metropolitan Borough of Wigan, far Woolsington",Which city is within Metropolitan Borough of Wigan and also far to Woolsington?,"A. Leigh West
B. Merry Hill
C. Sparkbrook",A. Leigh West,"correct,random,partial"
Leigh West,borders,Hindley Green,near,Newton,"Leigh West is borders Hindley Green, near Newton",Which city borders Hindley Green and is also near to Newton?,"A. Handsworth Wood
B. Leigh West
C. Kensington and Fairfield",B. Leigh West,"partial,correct,random"
Leigh West,borders,Hindley Green,close,St. Mary's,"Leigh West is borders Hindley Green, close St. Mary's",Which city borders Hindley Green and is also close to St. Mary's?,"A. Bridges
B. Rowley
C. Leigh West",C. Leigh West,"partial,random,correct"
Moreton West and Saughall Massie,within,North West Euro Region,distant,Standish with Langtree,"Moreton West and Saughall Massie is within North West Euro Region, distant Standish with Langtree",Which city is within North West Euro Region and also distant to Standish with Langtree?,"A. Toller
B. Great Lever
C. Moreton West and Saughall Massie",C. Moreton West and Saughall Massie,"random,partial,correct"
Moreton West and Saughall Massie,within,North West Euro Region,far,Rossington,"Moreton West and Saughall Massie is within North West Euro Region, far Rossington",Which city is within North West Euro Region and also far to Rossington?,"A. Moreton West and Saughall Massie
B. Hyde Newton
C. Besses",A. Moreton West and Saughall Massie,"correct,random,partial"
